Year,County,0BR,1BR,2BR,3BR,4BR
2006,Autauga,450,532,599,794,1049
2006,Baldwin,433,521,619,821,940
2006,Barbour,363,364,437,541,557
2006,Bibb,469,521,581,737,759
2006,Blount,469,521,581,737,759
2006,Bullock,322,365,447,536,577
2006,Butler,322,365,447,536,577
2006,Calhoun,346,382,474,626,736
2006,Chambers,361,392,435,590,609
2006,Cherokee,380,381,458,545,563
2006,Chilton,298,413,459,577,661
2006,Choctaw,361,381,435,552,737
2006,Clarke,282,391,435,521,765
2006,Clay,362,363,435,538,669
2006,Cleburne,365,366,439,538,669
2006,Coffee,348,397,450,616,790
2006,Colbert,399,400,486,620,768
2006,Conecuh,361,381,435,552,737
2006,Coosa,353,391,435,589,662
2006,Covington,362,363,435,593,612
2006,Crenshaw,322,365,447,536,577
2006,Cullman,379,390,457,615,632
2006,Dale,336,388,435,628,762
2006,Dallas,289,402,446,562,603
2006,DeKalb,325,345,435,579,595
2006,Elmore,450,532,599,794,1049
2006,Escambia,361,366,435,542,667
2006,Etowah,315,398,484,620,640
2006,Fayette,285,331,435,634,766
2006,Franklin,284,367,435,586,764
2006,Geneva,337,396,449,574,656
2006,Greene,391,452,586,753,776
2006,Hale,391,452,586,753,776
2006,Henry,284,392,435,520,536
2006,Houston,337,396,449,574,656
2006,Jackson,361,392,435,554,764
2006,Jefferson,469,521,581,737,759
2006,Lamar,291,361,435,581,763
2006,Lauderdale,399,400,486,620,768
2006,Lawrence,378,424,488,638,662
2006,Lee,342,407,525,691,709
2006,Limestone,419,456,538,737,809
2006,Lowndes,450,532,599,794,1049
2006,Macon,324,349,450,600,620
2006,Madison,419,456,538,737,809
2006,Marengo,361,384,435,563,579
2006,Marion,282,330,435,553,764
2006,Marshall,385,412,465,628,691
2006,Mobile,469,502,567,743,877
2006,Monroe,361,392,435,602,665
2006,Montgomery,450,532,599,794,1049
2006,Morgan,378,424,488,638,662
2006,Perry,361,384,435,563,579
2006,Pickens,291,361,435,581,763
2006,Pike,347,373,435,559,576
2006,Randolph,362,363,435,538,669
2006,Russell,454,479,548,729,863
2006,St. Clair,469,521,581,737,759
2006,Shelby,469,521,581,737,759
2006,Sumter,291,372,435,581,763
2006,Talladega,368,369,442,596,779
2006,Tallapoosa,347,356,436,615,714
2006,Tuscaloosa,391,452,586,753,776
2006,Walker,372,373,447,558,610
2006,Washington,361,381,435,552,737
2006,Wilcox,361,381,435,552,737
2006,Winston,290,331,435,521,536
2007,Autauga,468,553,623,826,1091
2007,Baldwin,450,542,644,854,978
2007,Barbour,378,379,455,563,580
2007,Bibb,487,542,604,766,789
2007,Blount,487,542,604,766,789
2007,Bullock,335,379,465,557,600
2007,Butler,335,379,465,557,600
2007,Calhoun,359,397,493,651,766
2007,Chambers,376,408,453,615,634
2007,Cherokee,395,396,476,567,585
2007,Chilton,310,429,477,599,686
2007,Choctaw,376,396,453,574,767
2007,Clarke,294,407,453,542,796
2007,Clay,377,378,453,560,697
2007,Cleburne,380,381,457,560,697
2007,Coffee,362,413,468,640,821
2007,Colbert,415,417,506,645,800
2007,Conecuh,376,396,453,574,767
2007,Coosa,368,407,453,614,689
2007,Covington,377,378,453,618,637
2007,Crenshaw,335,379,465,557,600
2007,Cullman,394,406,475,639,657
2007,Dale,350,404,453,654,793
2007,Dallas,301,418,464,585,628
2007,DeKalb,338,359,453,602,620
2007,Elmore,468,553,623,826,1091
2007,Escambia,376,381,453,565,694
2007,Etowah,328,415,504,646,667
2007,Fayette,297,344,453,660,797
2007,Franklin,295,382,453,611,795
2007,Geneva,350,412,467,597,682
2007,Greene,407,471,610,784,808
2007,Hale,407,471,610,784,808
2007,Henry,296,408,453,541,558
2007,Houston,350,412,467,597,682
2007,Jackson,376,408,453,577,795
2007,Jefferson,487,542,604,766,789
2007,Lamar,304,376,453,605,794
2007,Lauderdale,415,417,506,645,800
2007,Lawrence,393,441,508,664,689
2007,Lee,355,424,546,719,738
2007,Limestone,436,474,560,767,842
2007,Lowndes,468,553,623,826,1091
2007,Macon,337,363,468,624,645
2007,Madison,436,474,560,767,842
2007,Marengo,376,400,453,587,603
2007,Marion,294,344,453,576,796
2007,Marshall,400,429,484,653,720
2007,Mobile,489,523,590,773,912
2007,Monroe,376,408,453,627,693
2007,Montgomery,468,553,623,826,1091
2007,Morgan,393,441,508,664,689
2007,Perry,376,400,453,587,603
2007,Pickens,304,376,453,605,794
2007,Pike,361,389,453,582,600
2007,Randolph,377,378,453,560,697
2007,Russell,473,498,570,758,897
2007,St. Clair,487,542,604,766,789
2007,Shelby,487,542,604,766,789
2007,Sumter,304,387,453,605,794
2007,Talladega,383,384,460,621,811
2007,Tallapoosa,362,370,454,640,743
2007,Tuscaloosa,407,471,610,784,808
2007,Walker,387,388,465,581,634
2007,Washington,376,396,453,574,767
2007,Wilcox,376,396,453,574,767
2007,Winston,302,344,453,542,558
2008,Autauga,496,586,660,875,1156
2008,Baldwin,480,577,686,910,1041
2008,Barbour,403,404,485,600,618
2008,Bibb,557,619,690,876,901
2008,Blount,557,619,690,876,901
2008,Bullock,356,403,494,592,637
2008,Butler,356,403,494,592,637
2008,Calhoun,383,423,526,695,817
2008,Chambers,399,433,481,653,673
2008,Cherokee,418,419,504,600,619
2008,Chilton,353,488,543,682,781
2008,Choctaw,399,421,481,610,815
2008,Clarke,312,432,481,576,846
2008,Clay,400,402,481,595,740
2008,Cleburne,405,406,487,597,743
2008,Coffee,383,438,496,679,870
2008,Colbert,440,442,537,685,849
2008,Conecuh,399,421,481,610,815
2008,Coosa,391,432,481,652,732
2008,Covington,400,401,481,656,676
2008,Crenshaw,356,403,494,592,637
2008,Cullman,417,430,503,677,696
2008,Dale,372,429,481,695,842
2008,Dallas,319,442,491,619,664
2008,DeKalb,359,381,481,640,658
2008,Elmore,496,586,660,875,1156
2008,Escambia,399,405,481,600,737
2008,Etowah,348,439,534,684,706
2008,Fayette,316,366,481,701,847
2008,Franklin,314,405,481,648,845
2008,Geneva,373,439,497,635,726
2008,Greene,434,501,649,834,860
2008,Hale,434,501,649,834,860
2008,Henry,314,433,481,575,593
2008,Houston,373,439,497,635,726
2008,Jackson,400,433,481,613,845
2008,Jefferson,557,619,690,876,901
2008,Lamar,322,400,481,642,843
2008,Lauderdale,440,442,537,685,849
2008,Lawrence,419,470,541,708,734
2008,Lee,378,450,580,763,784
2008,Limestone,464,506,597,817,897
2008,Lowndes,496,586,660,875,1156
2008,Macon,358,385,496,662,683
2008,Madison,464,506,597,817,897
2008,Marengo,399,424,481,623,640
2008,Marion,312,365,481,611,845
2008,Marshall,425,456,514,694,764
2008,Mobile,520,556,628,823,971
2008,Monroe,399,433,481,666,735
2008,Montgomery,496,586,660,875,1156
2008,Morgan,419,470,541,708,734
2008,Perry,399,424,481,623,640
2008,Pickens,322,400,481,642,843
2008,Pike,383,413,481,618,637
2008,Randolph,400,402,481,595,740
2008,Russell,513,541,619,823,974
2008,St. Clair,557,619,690,876,901
2008,Shelby,557,619,690,876,901
2008,Sumter,322,411,481,642,843
2008,Talladega,407,408,489,660,862
2008,Tallapoosa,385,394,483,681,791
2008,Tuscaloosa,434,501,649,834,860
2008,Walker,440,441,529,661,722
2008,Washington,399,421,481,610,815
2008,Wilcox,399,421,481,610,815
2008,Winston,321,366,481,576,593
2009,Autauga,530,627,706,936,1236
2009,Baldwin,512,616,733,972,1113
2009,Barbour,430,431,518,641,660
2009,Bibb,563,626,698,886,912
2009,Blount,563,626,698,886,912
2009,Bullock,381,431,528,633,681
2009,Butler,381,431,528,633,681
2009,Calhoun,410,452,562,742,873
2009,Chambers,427,463,514,697,719
2009,Cherokee,446,447,538,641,661
2009,Chilton,377,521,580,728,835
2009,Choctaw,426,450,514,652,871
2009,Clarke,334,462,514,615,904
2009,Clay,428,429,514,635,791
2009,Cleburne,432,434,520,637,793
2009,Coffee,410,468,530,725,930
2009,Colbert,471,473,574,732,907
2009,Conecuh,426,450,514,652,871
2009,Coosa,417,462,514,696,782
2009,Covington,428,429,514,701,723
2009,Crenshaw,381,431,528,633,681
2009,Cullman,446,459,538,724,744
2009,Dale,397,458,514,742,900
2009,Dallas,341,473,525,662,710
2009,DeKalb,383,408,514,684,703
2009,Elmore,530,627,706,936,1236
2009,Escambia,427,433,514,641,788
2009,Etowah,371,469,570,730,754
2009,Fayette,337,391,514,749,905
2009,Franklin,335,433,514,693,903
2009,Geneva,398,469,531,679,776
2009,Greene,464,536,694,892,920
2009,Hale,464,536,694,892,920
2009,Henry,336,463,514,614,633
2009,Houston,398,469,531,679,776
2009,Jackson,427,463,514,655,903
2009,Jefferson,563,626,698,886,912
2009,Lamar,344,427,514,686,901
2009,Lauderdale,471,473,574,732,907
2009,Lawrence,448,503,579,757,786
2009,Lee,404,481,620,816,838
2009,Limestone,496,540,638,873,959
2009,Lowndes,530,627,706,936,1236
2009,Macon,382,411,530,707,730
2009,Madison,496,540,638,873,959
2009,Marengo,427,453,514,666,684
2009,Marion,334,390,514,653,903
2009,Marshall,454,487,549,741,816
2009,Mobile,556,595,671,879,1037
2009,Monroe,427,463,514,711,786
2009,Montgomery,530,627,706,936,1236
2009,Morgan,448,503,579,757,786
2009,Perry,427,453,514,666,684
2009,Pickens,344,427,514,686,901
2009,Pike,410,441,514,660,681
2009,Randolph,428,429,514,635,791
2009,Russell,531,559,640,851,1007
2009,St. Clair,563,626,698,886,912
2009,Shelby,563,626,698,886,912
2009,Sumter,344,439,514,686,901
2009,Talladega,436,437,523,706,922
2009,Tallapoosa,412,422,517,729,846
2009,Tuscaloosa,464,536,694,892,920
2009,Walker,471,472,566,707,772
2009,Washington,426,450,514,652,871
2009,Wilcox,426,450,514,652,871
2009,Winston,343,391,514,615,633
2010,Autauga,552,653,735,975,1287
2010,Baldwin,534,643,764,1013,1160
2010,Barbour,448,449,539,667,687
2010,Bibb,593,659,735,933,960
2010,Blount,593,659,735,933,960
2010,Bullock,397,449,550,659,710
2010,Butler,397,449,550,659,710
2010,Calhoun,426,471,585,773,909
2010,Chambers,445,483,536,727,750
2010,Cherokee,464,465,560,667,688
2010,Chilton,398,550,612,769,881
2010,Choctaw,444,469,536,680,908
2010,Clarke,348,481,536,642,942
