Year,County,0BR,1BR,2BR,3BR,4BR
2006,Aleutians East,Borough,673,765,970,1199
2006,Aleutians West,Census,Area,673,765,970
2006,Anchorage Municipality,Metro,646,734,921,1326
2006,Bethel Census,Area,771,966,1172,1402
2006,Bristol Bay,Borough,673,765,970,1199
2006,Denali Borough,569,702,876,1230,1385
2006,Dillingham Census,Area,673,765,970,1199
2006,Fairbanks North,Star,Borough,Metro,540,649
2006,Haines Borough,569,702,876,1230,1385
2006,Juneau City,and,Borough,687,842,1059
2006,Kenai Peninsula,Borough,508,581,707,969
2006,Ketchikan Gateway,Borough,606,774,930,1355
2006,Kodiak Island,Borough,648,759,999,1436
2006,Lake and,Peninsula,Borough,673,765,970
2006,Matanuska-Susitna Borough,Metro,524,611,779,1108
2006,Nome Census,Area,675,867,995,1201
2006,North Slope,Borough,695,812,1067,1276
2006,Northwest Arctic,Borough,673,765,970,1199
2006,Sitka City,and,Borough,646,745,889
2006,Southeast Fairbanks,Census,Area,569,702,876
2006,Valdez-Cordova Census,Area,569,702,876,1230
2006,Wade Hampton,Census,Area,673,765,970
2006,Yakutat City,and,Borough,673,765,970
2006,Yukon-Koyukuk Census,Area,673,765,970,1199
2007,Aleutians East,Borough,697,792,1004,1241
2007,Aleutians West,Census,Area,697,792,1004
2007,Anchorage Municipality,Metro,660,751,942,1356
2007,Bethel Census,Area,798,1000,1213,1451
2007,Bristol Bay,Borough,697,792,1004,1241
2007,Denali Borough,589,727,907,1273,1434
2007,Dillingham Census,Area,697,792,1004,1241
2007,Fairbanks North,Star,Borough,Metro,558,672
2007,Haines Borough,589,727,907,1273,1434
2007,Juneau City,and,Borough,711,871,1096
2007,Kenai Peninsula,Borough,526,602,732,1003
2007,Ketchikan Gateway,Borough,627,800,962,1402
2007,Kodiak Island,Borough,671,786,1034,1486
2007,Lake and,Peninsula,Borough,697,792,1004
2007,Matanuska-Susitna Borough,Metro,536,625,797,1133
2007,Nome Census,Area,698,897,1030,1243
2007,North Slope,Borough,719,840,1104,1320
2007,Northwest Arctic,Borough,697,792,1004,1241
2007,Sitka City,and,Borough,669,771,920
2007,Southeast Fairbanks,Census,Area,589,727,907
2007,Valdez-Cordova Census,Area,589,727,907,1273
2007,Wade Hampton,Census,Area,697,792,1004
2007,Yakutat City,and,Borough,697,792,1004
2007,Yukon-Koyukuk Census,Area,697,792,1004,1241
2008,Aleutians East,Borough,759,862,1093,1351
2008,Aleutians West,Census,Area,759,862,1093
2008,Anchorage Municipality,Metro,652,741,930,1339
2008,Bethel Census,Area,868,1087,1319,1578
2008,Bristol Bay,Borough,759,862,1093,1351
2008,Denali Borough,639,788,984,1382,1556
2008,Dillingham Census,Area,759,862,1093,1351
2008,Fairbanks North,Star,Borough,Metro,607,730
2008,Haines Borough,639,788,984,1382,1556
2008,Juneau City,and,Borough,774,948,1192
2008,Kenai Peninsula,Borough,572,653,795,1089
2008,Ketchikan Gateway,Borough,683,871,1047,1525
2008,Kodiak Island,Borough,731,856,1126,1618
2008,Lake and,Peninsula,Borough,759,862,1093
2008,Matanuska-Susitna Borough,Metro,592,689,879,1250
2008,Nome Census,Area,760,976,1121,1353
2008,North Slope,Borough,783,915,1202,1438
2008,Northwest Arctic,Borough,759,862,1093,1351
2008,Sitka City,and,Borough,726,837,999
2008,Southeast Fairbanks,Census,Area,639,788,984
2008,Valdez-Cordova Census,Area,639,788,984,1382
2008,Wade Hampton,Census,Area,759,862,1093
2008,Yakutat City,and,Borough,759,862,1093
2008,Yukon-Koyukuk Census,Area,759,862,1093,1351
2009,Aleutians East,Borough,777,884,1120,1384
2009,Aleutians West,Census,Area,777,884,1120
2009,Anchorage Municipality,Metro,694,789,990,1426
2009,Bethel Census,Area,890,1114,1352,1617
2009,Bristol Bay,Borough,777,884,1120,1384
