Year,County,0BR,1BR,2BR,3BR,4BR
2006,Apache,348,426,504,699,886
2006,Cochise,410,475,596,823,1011
2006,Coconino,675,803,907,1166,1471
2006,Gila,447,524,689,946,974
2006,Graham,466,502,562,777,894
2006,Greenlee,426,473,594,816,924
2006,La Paz,476,477,572,809,833
2006,Maricopa,544,638,770,1122,1338
2006,Mohave,509,560,653,903,1008
2006,Navajo,418,446,589,793,940
2006,Pima,486,571,746,1076,1209
2006,Pinal,544,638,770,1122,1338
2006,Santa Cruz,491,492,623,908,935
2006,Yavapai,551,569,719,1048,1079
2006,Yuma,476,562,672,953,1168
2007,Apache,361,442,522,724,918
2007,Cochise,424,492,617,852,1047
2007,Coconino,699,831,939,1208,1523
2007,Gila,463,542,713,979,1008
2007,Graham,482,520,582,804,925
2007,Greenlee,441,490,615,845,956
2007,La Paz,493,494,592,838,863
2007,Maricopa,553,648,782,1139,1359
2007,Mohave,527,580,676,935,1043
2007,Navajo,432,462,610,822,974
2007,Pima,503,591,772,1114,1251
2007,Pinal,553,648,782,1139,1359
2007,Santa Cruz,508,509,645,940,968
2007,Yavapai,571,589,744,1084,1117
2007,Yuma,493,582,695,986,1208
2008,Apache,397,486,574,796,1009
2008,Cochise,466,540,678,936,1151
2008,Coconino,753,896,1012,1301,1641
2008,Gila,509,596,784,1076,1109
2008,Graham,528,569,637,880,1013
2008,Greenlee,483,537,674,926,1048
2008,La Paz,542,544,652,923,950
2008,Maricopa,609,715,862,1256,1498
2008,Mohave,564,620,723,1000,1116
2008,Navajo,474,506,668,900,1066
2008,Pima,501,588,769,1110,1246
2008,Pinal,609,715,862,1256,1498
2008,Santa Cruz,557,558,707,1031,1061
2008,Yavapai,627,648,818,1192,1228
2008,Yuma,527,622,743,1054,1291
2009,Apache,410,502,593,822,1042
2009,Cochise,481,557,699,965,1186
2009,Coconino,777,924,1044,1343,1693
2009,Gila,525,615,809,1111,1144
2009,Graham,545,587,657,908,1045
2009,Greenlee,498,554,695,955,1081
2009,La Paz,559,560,672,951,979
2009,Maricopa,624,727,877,1277,1495
2009,Mohave,582,640,746,1032,1151
2009,Navajo,489,522,689,928,1100
2009,Pima,493,579,743,1070,1131
2009,Pinal,624,727,877,1277,1495
2009,Santa Cruz,574,575,729,1063,1094
2009,Yavapai,647,668,844,1230,1267
2009,Yuma,544,642,767,1088,1333
2010,Apache,433,530,627,870,1102
2010,Cochise,508,589,739,1021,1254
2010,Coconino,820,975,1102,1417,1787
2010,Gila,554,649,854,1173,1208
2010,Graham,576,621,695,960,1105
2010,Greenlee,526,585,734,1009,1141
2010,La Paz,591,592,710,1005,1034
2010,Maricopa,654,762,919,1338,1567
2010,Mohave,615,676,788,1090,1216
2010,Navajo,516,552,728,981,1162
2010,Pima,540,635,815,1174,1240
2010,Pinal,654,762,919,1338,1567
2010,Santa Cruz,607,608,770,1123,1156
2010,Yavapai,683,706,891,1298,1337
2010,Yuma,574,678,810,1149,1408
2011,Apache,447,547,647,897,1137
2011,Cochise,524,607,762,1052,1293
2011,Coconino,845,1005,1136,1461,1843
2011,Gila,571,669,880,1208,1244
2011,Graham,594,640,717,991,1140
2011,Greenlee,543,603,757,1040,1177
2011,La Paz,609,610,732,1036,1067
2011,Maricopa,666,776,936,1363,1596
2011,Mohave,633,697,812,1123,1253
2011,Navajo,532,569,751,1012,1199
2011,Pima,562,661,848,1221,1291
2011,Pinal,666,776,936,1363,1596
2011,Santa Cruz,626,626,794,1158,1192
2011,Yavapai,705,728,919,1339,1379
2011,Yuma,592,699,835,1184,1451
2012,Apache,424,519,614,852,1079
2012,Cochise,484,561,704,972,1195
2012,Coconino,660,785,887,1141,1439
2012,Gila,487,570,750,1030,1061
2012,Graham,508,547,613,847,975
2012,Greenlee,586,651,817,1123,1270
2012,La Paz,564,565,678,959,988
2012,Maricopa,619,721,870,1267,1483
2012,Mohave,599,659,768,1062,1185
2012,Navajo,490,524,691,931,1103
2012,Pima,570,670,860,1238,1309
2012,Pinal,619,721,870,1267,1483
2012,Santa Cruz,525,525,666,971,1000
2012,Yavapai,612,632,798,1163,1198
2012,Yuma,519,613,732,1038,1272
2013,Apache,379,463,626,784,942
2013,Cochise,551,569,712,1028,1261
2013,Coconino,733,852,1066,1353,1724
2013,Gila,520,541,729,1053,1235
2013,Graham,387,546,650,958,961
2013,Greenlee,446,463,626,780,837
2013,La Paz,483,500,677,843,1051
2013,Maricopa,593,748,925,1363,1592
2013,Mohave,488,603,769,1043,1206
2013,Navajo,498,502,679,958,967
2013,Pima,521,651,876,1286,1531
2013,Pinal,593,748,925,1363,1592
