Year,County,0BR,1BR,2BR,3BR,4BR
2006,Arkansas,348,367,456,662,681
2006,Ashley,355,368,483,579,637
2006,Baxter,351,408,493,663,836
2006,Benton,420,443,554,807,829
2006,Boone,386,387,465,596,669
2006,Bradley,339,345,456,565,599
2006,Calhoun,295,409,456,581,739
2006,Carroll,401,402,482,608,846
2006,Chicot,339,345,456,565,599
2006,Clark,363,368,474,611,629
2006,Clay,367,369,456,584,622
2006,Cleburne,414,414,497,681,875
2006,Cleveland,354,420,526,631,748
2006,Columbia,300,386,462,567,649
2006,Conway,379,390,456,628,683
2006,Craighead,408,428,490,677,698
2006,Crawford,335,381,474,631,688
2006,Crittenden,527,572,636,847,874
2006,Cross,383,384,461,672,734
2006,Dallas,295,409,456,581,739
2006,Desha,339,345,456,580,599
2006,Drew,338,433,521,655,913
2006,Faulkner,466,529,590,790,815
2006,Franklin,297,388,456,578,705
2006,Fulton,363,364,456,599,668
2006,Garland,358,445,553,690,712
2006,Grant,370,382,466,675,695
2006,Greene,295,412,456,667,687
2006,Hempstead,357,400,468,561,644
2006,Hot Spring,380,381,456,598,617
2006,Howard,348,404,456,587,606
2006,Independence,317,378,456,590,640
2006,Izard,363,364,456,599,668
2006,Jackson,307,403,456,643,663
2006,Jefferson,354,420,526,631,748
2006,Johnson,295,406,456,608,726
2006,Lafayette,360,412,473,566,676
2006,Lawrence,297,364,456,561,741
2006,Lee,324,366,456,608,706
2006,Lincoln,354,420,526,631,748
2006,Little River,360,412,473,577,676
2006,Logan,296,383,456,652,730
2006,Lonoke,466,529,590,790,815
2006,Madison,420,443,554,807,829
2006,Marion,378,380,456,600,661
2006,Miller,422,426,525,641,697
2006,Mississippi,322,359,470,620,748
2006,Monroe,379,380,456,571,590
2006,Montgomery,355,413,520,654,673
2006,Nevada,360,412,473,566,676
2006,Newton,382,383,460,594,667
2006,Ouachita,295,410,456,627,736
2006,Perry,466,529,590,790,815
2006,Phillips,378,381,456,594,612
2006,Pike,360,412,473,566,676
2006,Poinsett,296,383,456,607,726
2006,Polk,379,411,456,593,721
2006,Pope,344,369,478,674,693
2006,Prairie,379,380,456,571,590
2006,Pulaski,466,529,590,790,815
2006,Randolph,296,371,456,545,800
2006,St. Francis,387,401,468,660,820
2006,Saline,466,529,590,790,815
2006,Scott,379,380,456,631,799
2006,Searcy,382,383,460,594,667
2006,Sebastian,335,381,474,631,688
2006,Sevier,380,393,456,630,730
2006,Sharp,379,380,456,581,600
2006,Stone,363,364,456,599,668
2006,Union,390,410,469,608,789
2006,Van Buren,296,346,456,565,729
2006,Washington,420,443,554,807,829
2006,White,391,392,471,640,658
2006,Woodruff,379,380,456,571,590
2006,Yell,377,397,456,625,645
2007,Arkansas,362,381,474,688,708
2007,Ashley,369,382,502,601,662
2007,Baxter,365,424,513,689,870
2007,Benton,437,461,576,839,862
2007,Boone,402,403,484,620,696
2007,Bradley,353,358,474,588,623
2007,Calhoun,307,426,474,604,768
2007,Carroll,416,417,501,632,880
2007,Chicot,353,358,474,588,623
2007,Clark,378,383,493,635,655
2007,Clay,382,384,474,607,647
2007,Cleburne,430,431,517,709,910
2007,Cleveland,368,437,547,656,778
2007,Columbia,313,402,481,590,676
2007,Conway,394,406,474,653,710
2007,Craighead,435,453,523,736,758
2007,Crawford,349,396,493,657,715
2007,Crittenden,548,596,662,882,910
2007,Cross,398,400,480,700,764
2007,Dallas,307,426,474,604,768
2007,Desha,353,358,474,603,623
2007,Drew,351,451,542,681,950
2007,Faulkner,484,551,614,822,849
2007,Franklin,309,403,474,601,733
2007,Fulton,377,379,474,623,695
2007,Garland,373,462,575,718,740
2007,Grant,386,397,485,702,724
2007,Greene,307,428,474,693,714
2007,Hempstead,372,416,487,583,670
2007,Hot Spring,395,396,474,621,641
2007,Howard,362,420,474,611,630
2007,Independence,329,392,474,613,665
2007,Izard,377,379,474,623,695
2007,Jackson,319,419,474,669,690
2007,Jefferson,368,437,547,656,778
2007,Johnson,307,422,474,632,755
2007,Lafayette,374,428,492,588,704
2007,Lawrence,309,378,474,583,771
2007,Lee,337,381,474,632,734
2007,Lincoln,368,437,547,656,778
2007,Little River,374,428,492,600,704
2007,Logan,308,398,474,678,758
2007,Lonoke,484,551,614,822,849
2007,Madison,437,461,576,839,862
2007,Marion,393,395,474,624,687
2007,Miller,439,443,546,666,725
2007,Mississippi,335,374,489,645,778
2007,Monroe,394,395,474,594,613
2007,Montgomery,370,430,541,680,701
2007,Nevada,374,428,492,588,704
2007,Newton,398,399,479,618,695
2007,Ouachita,307,427,474,652,765
2007,Perry,484,551,614,822,849
2007,Phillips,393,396,474,617,637
2007,Pike,374,428,492,588,704
2007,Poinsett,308,399,474,631,755
2007,Polk,394,427,474,616,749
2007,Pope,358,384,497,700,720
2007,Prairie,394,395,474,594,613
2007,Pulaski,484,551,614,822,849
2007,Randolph,308,385,474,567,831
2007,St. Francis,402,417,487,687,853
2007,Saline,484,551,614,822,849
2007,Scott,394,395,474,656,831
2007,Searcy,398,399,479,618,695
2007,Sebastian,349,396,493,657,715
2007,Sevier,395,409,474,655,759
2007,Sharp,394,395,474,604,624
2007,Stone,377,379,474,623,695
2007,Union,406,427,488,632,821
