Year,County,0BR,1BR,2BR,3BR,4BR
2006,Alameda,865,1045,1238,1679,2079
2006,Alpine,498,559,713,1017,1047
2006,Amador,537,629,826,1200,1237
2006,Butte,473,562,678,956,1141
2006,Calaveras,548,548,659,961,1060
2006,Colusa,500,502,653,843,1146
2006,Contra Costa,865,1045,1238,1679,2079
2006,Del Norte,490,496,642,935,964
2006,El Dorado,691,786,959,1384,1586
2006,Fresno,540,595,702,1021,1100
2006,Glenn,428,439,578,752,772
2006,Humboldt,455,533,701,1005,1113
2006,Imperial,471,533,657,904,1152
2006,Inyo,450,471,613,893,1053
2006,Kern,485,524,624,902,1081
2006,Kings,495,527,612,892,1075
2006,Lake,449,527,686,994,1107
2006,Lassen,437,513,674,980,1010
2006,Los Angeles,789,952,1189,1597,1921
2006,Madera,496,521,664,965,995
2006,Marin,998,1227,1536,2051,2167
2006,Mariposa,498,559,713,1017,1047
2006,Mendocino,502,620,753,1028,1321
2006,Merced,458,523,635,906,1057
2006,Modoc,434,479,627,893,927
2006,Mono,586,705,901,1234,1583
2006,Monterey,827,931,1069,1510,1582
2006,Napa,754,845,1098,1519,1725
2006,Nevada,563,657,866,1251,1522
2006,Orange,1034,1161,1392,1992,2288
2006,Placer,691,786,959,1384,1586
2006,Plumas,445,521,687,1002,1206
2006,Riverside,715,781,911,1294,1512
2006,Sacramento,691,786,959,1384,1586
2006,San Benito,614,831,924,1309,1621
2006,San Bernardino,715,781,911,1294,1512
2006,San Diego,760,870,1065,1514,1871
2006,San Francisco,998,1227,1536,2051,2167
2006,San Joaquin,602,686,846,1162,1463
2006,San Luis,Obispo,641,758,923,1345
2006,San Mateo,998,1227,1536,2051,2167
2006,Santa Barbara,828,924,1037,1366,1559
2006,Santa Clara,914,1059,1273,1831,2015
2006,Santa Cruz,873,1030,1343,1933,1992
2006,Shasta,464,540,657,959,1155
2006,Sierra,527,615,811,1149,1422
2006,Siskiyou,389,466,596,848,874
2006,Solano,796,857,983,1378,1698
2006,Sonoma,749,912,1151,1633,1910
2006,Stanislaus,564,623,734,1053,1216
2006,Sutter,437,493,606,882,944
2006,Tehama,407,463,604,878,1054
2006,Trinity,441,463,608,834,925
2006,Tulare,481,538,625,894,918
2006,Tuolumne,484,576,744,1028,1059
2006,Ventura,982,1084,1379,1976,2260
2006,Yolo,679,719,879,1281,1362
2006,Yuba,437,493,606,882,944
2007,Alameda,874,1055,1250,1695,2099
2007,Alpine,516,579,738,1052,1083
2007,Amador,556,652,855,1242,1280
2007,Butte,489,582,702,990,1181
2007,Calaveras,567,567,682,994,1097
2007,Colusa,518,520,676,873,1186
2007,Contra Costa,874,1055,1250,1695,2099
2007,Del Norte,507,513,664,967,997
2007,El Dorado,715,813,992,1431,1641
2007,Fresno,558,615,726,1056,1138
2007,Glenn,443,454,598,778,799
2007,Humboldt,471,551,725,1040,1151
2007,Imperial,488,551,680,936,1192
2007,Inyo,465,488,634,924,1089
2007,Kern,503,542,646,933,1119
2007,Kings,512,545,633,923,1112
2007,Lake,465,545,710,1029,1145
2007,Lassen,453,531,698,1015,1046
2007,Los Angeles,843,1016,1269,1704,2051
2007,Madera,513,539,687,999,1030
2007,Marin,1008,1239,1551,2071,2188
2007,Mariposa,516,579,738,1052,1083
2007,Mendocino,520,641,779,1063,1366
2007,Merced,474,541,657,937,1094
2007,Modoc,449,496,649,925,960
2007,Mono,606,730,932,1277,1638
2007,Monterey,856,963,1106,1563,1637
2007,Napa,764,856,1112,1538,1747
2007,Nevada,582,680,896,1294,1574
2007,Orange,1103,1238,1485,2125,2441
2007,Placer,715,813,992,1431,1641
2007,Plumas,461,540,711,1037,1249
2007,Riverside,765,835,974,1383,1617
2007,Sacramento,715,813,992,1431,1641
2007,San Benito,619,838,932,1321,1635
2007,San Bernardino,765,835,974,1383,1617
2007,San Diego,870,993,1205,1757,2118
2007,San Francisco,1008,1239,1551,2071,2188
2007,San Joaquin,623,710,876,1203,1515
2007,San Luis,Obispo,663,784,955,1391
2007,San Mateo,1008,1239,1551,2071,2188
2007,Santa Barbara,856,956,1073,1413,1613
2007,Santa Clara,922,1068,1284,1846,2033
2007,Santa Cruz,883,1042,1359,1956,2015
2007,Shasta,480,559,680,992,1195
