Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,616,702,889,1262,1471
2006,Alamosa,366,453,503,684,884
2006,Arapahoe,616,702,889,1262,1471
2006,Archuleta,487,573,721,877,1132
2006,Baca,385,452,503,716,773
2006,Bent,411,424,516,676,831
2006,Boulder,702,813,1020,1487,1783
2006,Broomfield,616,702,889,1262,1471
2006,Chaffee,406,512,624,909,936
2006,Cheyenne,411,424,516,676,831
2006,Clear Creek,616,702,889,1262,1471
2006,Conejos,385,452,503,716,773
2006,Costilla,385,452,503,716,773
2006,Crowley,411,424,516,676,831
2006,Custer,434,507,668,935,1076
2006,Delta,477,487,574,788,812
2006,Denver,616,702,889,1262,1471
2006,Dolores,489,573,663,878,1133
2006,Douglas,616,702,889,1262,1471
2006,Eagle,807,942,1240,1560,2130
2006,Elbert,616,702,889,1262,1471
2006,El Paso,536,601,759,1083,1281
2006,Fremont,387,463,594,852,977
2006,Garfield,619,704,781,964,993
2006,Gilpin,616,702,889,1262,1471
2006,Grand,485,554,704,1024,1055
2006,Gunnison,501,551,716,991,1257
2006,Hinsdale,612,771,931,1159,1634
2006,Huerfano,385,452,503,716,773
2006,Jackson,543,627,696,897,1083
2006,Jefferson,616,702,889,1262,1471
2006,Kiowa,411,424,516,676,831
2006,Kit Carson,411,424,516,676,831
2006,Lake,612,771,931,1159,1634
2006,La Plata,534,652,746,1047,1191
2006,Larimer,533,639,775,1128,1315
2006,Las Animas,367,486,539,695,717
2006,Lincoln,411,424,516,676,831
2006,Logan,418,419,534,695,805
2006,Mesa,484,485,582,847,1024
2006,Mineral,612,771,931,1159,1634
2006,Moffat,392,429,538,705,945
2006,Montezuma,427,500,577,689,920
2006,Montrose,411,539,625,829,1028
2006,Morgan,464,502,560,746,901
2006,Otero,392,414,503,697,717
2006,Ouray,612,771,931,1159,1634
2006,Park,616,702,889,1262,1471
2006,Phillips,411,424,516,676,831
2006,Pitkin,852,996,1311,1821,2302
2006,Prowers,386,453,503,682,884
2006,Pueblo,455,479,630,825,934
2006,Rio Blanco,543,627,696,897,1083
2006,Rio Grande,386,452,503,730,775
2006,Routt,629,744,968,1158,1700
2006,Saguache,385,452,503,716,773
2006,San Juan,489,573,663,878,1133
2006,San Miguel,657,788,1007,1468,1513
2006,Sedgwick,411,424,516,676,831
2006,Summit,707,831,1086,1546,1906
2006,Teller,561,656,863,1257,1514
2006,Washington,411,424,516,676,831
2006,Weld,517,547,670,978,1153
2006,Yuma,411,424,516,676,831
2007,Adams,630,718,909,1291,1504
2007,Alamosa,378,468,519,705,912
2007,Arapahoe,630,718,909,1291,1504
2007,Archuleta,504,593,746,907,1171
2007,Baca,397,466,519,739,798
2007,Bent,425,439,534,700,860
2007,Boulder,716,830,1041,1518,1820
2007,Broomfield,630,718,909,1291,1504
2007,Chaffee,421,530,646,941,969
2007,Cheyenne,425,439,534,700,860
2007,Clear Creek,630,718,909,1291,1504
2007,Conejos,397,466,519,739,798
2007,Costilla,397,466,519,739,798
2007,Crowley,425,439,534,700,860
2007,Custer,448,524,691,967,1113
2007,Delta,494,504,594,815,840
2007,Denver,630,718,909,1291,1504
2007,Dolores,506,593,686,908,1172
2007,Douglas,630,718,909,1291,1504
2007,Eagle,835,975,1283,1614,2204
2007,Elbert,630,718,909,1291,1504
2007,El Paso,554,622,785,1120,1325
2007,Fremont,401,479,615,883,1012
2007,Garfield,640,729,808,997,1027
2007,Gilpin,630,718,909,1291,1504
2007,Grand,502,574,729,1061,1093
2007,Gunnison,519,570,741,1026,1301
2007,Hinsdale,633,797,963,1199,1690
2007,Huerfano,397,466,519,739,798
2007,Jackson,562,649,720,928,1120
2007,Jefferson,630,718,909,1291,1504
2007,Kiowa,425,439,534,700,860
2007,Kit Carson,425,439,534,700,860
2007,Lake,633,797,963,1199,1690
2007,La Plata,553,675,772,1083,1233
2007,Larimer,552,662,802,1168,1361
2007,Las Animas,379,503,558,719,743
2007,Lincoln,425,439,534,700,860
2007,Logan,433,434,553,720,833
2007,Mesa,500,501,602,877,1060
2007,Mineral,633,797,963,1199,1690
2007,Moffat,406,444,557,730,978
2007,Montezuma,442,517,597,713,952
2007,Montrose,426,558,647,859,1064
2007,Morgan,480,520,580,773,933
2007,Otero,405,428,519,719,740
2007,Ouray,633,797,963,1199,1690
2007,Park,630,718,909,1291,1504
2007,Phillips,425,439,534,700,860
2007,Pitkin,882,1031,1357,1885,2383
2007,Prowers,398,467,519,704,912
2007,Pueblo,471,496,652,854,966
2007,Rio Blanco,562,649,720,928,1120
2007,Rio Grande,398,466,519,753,799
2007,Routt,651,771,1002,1198,1760
2007,Saguache,397,466,519,739,798
2007,San Juan,506,593,686,908,1172
2007,San Miguel,679,816,1042,1519,1565
2007,Sedgwick,425,439,534,700,860
2007,Summit,732,860,1124,1601,1973
2007,Teller,580,679,893,1300,1566
2007,Washington,425,439,534,700,860
2007,Weld,532,564,690,1007,1187
2007,Yuma,425,439,534,700,860
2008,Adams,607,692,876,1244,1450
2008,Alamosa,404,500,555,754,975
2008,Arapahoe,607,692,876,1244,1450
2008,Archuleta,508,598,752,914,1181
2008,Baca,425,498,555,790,853
2008,Bent,442,456,555,728,894
2008,Boulder,688,797,1000,1458,1748
2008,Broomfield,607,692,876,1244,1450
2008,Chaffee,423,534,650,947,975
2008,Cheyenne,442,456,555,728,894
2008,Clear Creek,607,692,876,1244,1450
2008,Conejos,425,498,555,790,853
2008,Costilla,425,498,555,790,853
2008,Crowley,442,456,555,728,894
2008,Custer,452,528,696,974,1121
2008,Delta,497,508,598,820,846
2008,Denver,607,692,876,1244,1450
2008,Dolores,508,595,689,912,1178
2008,Douglas,607,692,876,1244,1450
