Year,County,0BR,1BR,2BR,3BR,4BR
2006,Bethel town,Metro,821,992,1148,1374
2006,Bridgeport town,Metro,627,810,966,1154
2006,Brookfield town,Metro,821,992,1148,1374
2006,Danbury town,Metro,821,992,1148,1374
2006,Darien town,Metro,987,1202,1502,1957
2006,Easton town,Metro,627,810,966,1154
2006,Fairfield town,Metro,627,810,966,1154
2006,Greenwich town,Metro,987,1202,1502,1957
2006,Monroe town,Metro,627,810,966,1154
2006,New Canaan,town,Metro,987,1202,1502
2006,New Fairfield,town,Metro,821,992,1148
2006,Newtown town,Metro,821,992,1148,1374
2006,Norwalk town,Metro,987,1202,1502,1957
2006,Redding town,Metro,821,992,1148,1374
2006,Ridgefield town,Metro,821,992,1148,1374
2006,Shelton town,Metro,627,810,966,1154
2006,Sherman town,Metro,821,992,1148,1374
2006,Stamford town,Metro,987,1202,1502,1957
2006,Stratford town,Metro,627,810,966,1154
2006,Trumbull town,Metro,627,810,966,1154
2006,Weston town,Metro,987,1202,1502,1957
2006,Westport town,Metro,987,1202,1502,1957
2006,Wilton town,Metro,987,1202,1502,1957
2006,Avon town,Metro,669,801,979,1176
2006,Berlin town,Metro,669,801,979,1176
2006,Bloomfield town,Metro,669,801,979,1176
2006,Bristol town,Metro,669,801,979,1176
2006,Burlington town,Metro,669,801,979,1176
2006,Canton town,Metro,669,801,979,1176
2006,East Granby,town,Metro,669,801,979
2006,East Hartford,town,Metro,669,801,979
2006,East Windsor,town,Metro,669,801,979
2006,Enfield town,Metro,669,801,979,1176
2006,Farmington town,Metro,669,801,979,1176
2006,Glastonbury town,Metro,669,801,979,1176
2006,Granby town,Metro,669,801,979,1176
2006,Hartford town,Metro,669,801,979,1176
2006,Hartland town,Metro,669,801,979,1176
2006,Manchester town,Metro,669,801,979,1176
2006,Marlborough town,Metro,669,801,979,1176
2006,New Britain,town,Metro,669,801,979
2006,Newington town,Metro,669,801,979,1176
2006,Plainville town,Metro,669,801,979,1176
2006,Rocky Hill,town,Metro,669,801,979
2006,Simsbury town,Metro,669,801,979,1176
2006,Southington town,Metro,669,801,979,1176
2006,South Windsor,town,Metro,669,801,979
2006,Suffield town,Metro,669,801,979,1176
2006,West Hartford,town,Metro,669,801,979
2006,Wethersfield town,Metro,669,801,979,1176
2006,Windsor town,Metro,669,801,979,1176
2006,Windsor Locks,town,Metro,669,801,979
2006,Barkhamsted town,555,723,854,1097,1233
2006,Bethlehem town,555,723,854,1097,1233
2006,Bridgewater town,555,723,854,1097,1233
2006,Canaan town,555,723,854,1097,1233
2006,Colebrook town,555,723,854,1097,1233
2006,Cornwall town,555,723,854,1097,1233
2006,Goshen town,555,723,854,1097,1233
2006,Harwinton town,555,723,854,1097,1233
2006,Kent town,555,723,854,1097,1233
2006,Litchfield town,555,723,854,1097,1233
2006,Morris town,555,723,854,1097,1233
2006,New Hartford,town,555,723,854,1097
2006,New Milford,town,555,723,854,1097
2006,Norfolk town,555,723,854,1097,1233
2006,North Canaan,town,555,723,854,1097
2006,Plymouth town,555,723,854,1097,1233
2006,Roxbury town,555,723,854,1097,1233
2006,Salisbury town,555,723,854,1097,1233
2006,Sharon town,555,723,854,1097,1233
2006,Thomaston town,555,723,854,1097,1233
2006,Torrington town,555,723,854,1097,1233
2006,Warren town,555,723,854,1097,1233
2006,Washington town,555,723,854,1097,1233
2006,Watertown town,555,723,854,1097,1233
2006,Winchester town,555,723,854,1097,1233
2006,Woodbury town,555,723,854,1097,1233
2006,Chester town,Metro,669,801,979,1176
2006,Clinton town,Metro,740,780,992,1273
2006,Cromwell town,Metro,669,801,979,1176
2006,Deep River,town,Metro,740,780,992
2006,Durham town,Metro,669,801,979,1176
2006,East Haddam,town,Metro,669,801,979
2006,East Hampton,town,Metro,669,801,979
2006,Essex town,Metro,740,780,992,1273
2006,Haddam town,Metro,669,801,979,1176
2006,Killingworth town,Metro,740,780,992,1273
2006,Middlefield town,Metro,669,801,979,1176
2006,Middletown town,Metro,669,801,979,1176
2006,Old Saybrook,town,Metro,740,780,992
2006,Portland town,Metro,669,801,979,1176
2006,Westbrook town,Metro,740,780,992,1273
2006,Ansonia town,Metro,756,877,981,1249
2006,Beacon Falls,town,Metro,756,877,981
