Year,County,0BR,1BR,2BR,3BR,4BR
2006,Alachua,498,550,626,915,943
2006,Baker,327,453,503,735,755
2006,Bay,492,519,594,820,912
2006,Bradford,327,454,503,623,643
2006,Brevard,469,574,676,911,1015
2006,Broward,652,752,911,1205,1377
2006,Calhoun,419,420,503,634,723
2006,Charlotte,496,520,674,984,1184
2006,Citrus,425,461,511,741,892
2006,Clay,565,643,749,940,1077
2006,Collier,667,765,861,1070,1114
2006,Columbia,370,428,506,631,888
2006,DeSoto,419,429,504,608,625
2006,Dixie,415,453,503,628,700
2006,Duval,565,643,749,940,1077
2006,Escambia,479,522,579,839,1015
2006,Flagler,509,588,739,1035,1103
2006,Franklin,418,420,503,633,721
2006,Gadsden,501,556,687,916,943
2006,Gilchrist,498,550,626,915,943
2006,Glades,439,468,532,650,694
2006,Gulf,419,420,503,634,723
2006,Hamilton,415,453,503,628,700
2006,Hardee,419,455,504,618,636
2006,Hendry,398,476,531,638,787
2006,Hernando,585,649,785,995,1201
2006,Highlands,450,453,542,701,838
2006,Hillsborough,585,649,785,995,1201
2006,Holmes,417,443,503,654,687
2006,Indian River,459,554,706,879,904
2006,Jackson,352,452,503,623,727
2006,Jefferson,501,556,687,916,943
2006,Lafayette,415,453,503,628,700
2006,Lake,630,684,782,979,1153
2006,Lee,592,639,728,989,1018
2006,Leon,501,556,687,916,943
2006,Levy,417,447,503,642,661
2006,Liberty,419,420,503,634,723
2006,Madison,419,420,503,634,723
2006,Manatee,625,685,824,1052,1156
2006,Marion,476,491,576,756,779
2006,Martin,556,557,706,933,962
2006,Miami-Dade,652,752,911,1205,1377
2006,Monroe,665,810,997,1451,1553
2006,Nassau,565,643,749,940,1077
2006,Okaloosa,477,558,628,916,1006
2006,Okeechobee,448,464,540,727,749
2006,Orange,630,684,782,979,1153
2006,Osceola,630,684,782,979,1153
2006,Palm Beach,652,752,911,1205,1377
2006,Pasco,585,649,785,995,1201
2006,Pinellas,585,649,785,995,1201
2006,Polk,449,496,571,724,850
2006,Putnam,417,453,503,604,622
2006,St. Johns,565,643,749,940,1077
2006,St. Lucie,556,557,706,933,962
2006,Santa Rosa,479,522,579,839,1015
2006,Sarasota,625,685,824,1052,1156
2006,Seminole,630,684,782,979,1153
2006,Sumter,416,453,503,660,883
2006,Suwannee,333,454,503,634,695
2006,Taylor,417,452,503,602,618
2006,Union,389,448,503,665,686
2006,Volusia,483,564,702,908,934
2006,Wakulla,471,512,569,748,772
2006,Walton,444,458,536,662,682
2006,Washington,335,381,503,721,741
2007,Alachua,518,572,651,952,981
2007,Baker,337,467,519,759,779
2007,Bay,512,540,618,853,949
2007,Bradford,337,468,519,643,663
2007,Brevard,488,597,703,947,1056
2007,Broward,784,877,1054,1458,1851
2007,Calhoun,432,433,519,654,746
2007,Charlotte,516,540,701,1023,1232
2007,Citrus,442,480,532,772,929
2007,Clay,588,669,779,978,1120
2007,Collier,694,796,896,1114,1159
2007,Columbia,385,445,526,656,923
2007,DeSoto,435,446,524,632,650
2007,Dixie,428,468,519,648,722
2007,Duval,588,669,779,978,1120
2007,Escambia,498,542,602,872,1055
2007,Flagler,530,611,769,1077,1148
2007,Franklin,432,433,519,653,744
2007,Gadsden,521,579,715,954,982
2007,Gilchrist,518,572,651,952,981
