Year,County,0BR,1BR,2BR,3BR,4BR
2006,Appling,380,413,458,558,575
2006,Atkinson,381,398,458,583,664
2006,Bacon,381,398,458,583,664
2006,Baker,427,456,535,718,741
2006,Baldwin,355,428,531,634,654
2006,Banks,394,427,473,575,816
2006,Barrow,633,686,763,929,1013
2006,Bartow,633,686,763,929,1013
2006,Ben Hill,300,386,461,558,573
2006,Berrien,376,376,458,567,585
2006,Bibb,449,487,542,668,696
2006,Bleckley,322,376,458,567,649
2006,Brantley,430,468,519,740,911
2006,Brooks,444,445,535,725,748
2006,Bryan,561,607,676,897,926
2006,Bulloch,421,436,516,619,636
2006,Burke,461,500,562,753,791
2006,Butts,347,463,535,781,929
2006,Calhoun,380,412,458,588,722
2006,Camden,470,471,568,826,997
2006,Candler,380,413,458,558,575
2006,Carroll,633,686,763,929,1013
2006,Catoosa,469,496,584,719,845
2006,Charlton,381,398,458,583,664
2006,Chatham,561,607,676,897,926
2006,Chattahoochee,454,479,548,729,863
2006,Chattooga,299,365,458,549,799
2006,Cherokee,633,686,763,929,1013
2006,Clarke,458,509,639,851,878
2006,Clay,380,412,458,588,722
2006,Clayton,633,686,763,929,1013
2006,Clinch,381,398,458,583,664
2006,Cobb,633,686,763,929,1013
2006,Coffee,379,393,458,570,698
2006,Colquitt,381,411,458,548,689
2006,Columbia,461,500,562,753,791
2006,Cook,380,388,458,623,805
2006,Coweta,633,686,763,929,1013
2006,Crawford,449,487,542,668,696
2006,Crisp,380,383,458,578,596
2006,Dade,469,496,584,719,845
2006,Dawson,633,686,763,929,1013
2006,Decatur,339,394,519,621,690
2006,DeKalb,633,686,763,929,1013
2006,Dodge,361,363,458,613,630
2006,Dooly,381,393,458,578,780
2006,Dougherty,427,456,535,718,741
2006,Douglas,633,686,763,929,1013
2006,Early,380,412,458,588,722
2006,Echols,444,445,535,725,748
2006,Effingham,561,607,676,897,926
2006,Elbert,381,397,458,575,593
2006,Emanuel,299,347,458,558,714
2006,Evans,380,413,458,558,575
2006,Fannin,308,428,474,567,681
2006,Fayette,633,686,763,929,1013
2006,Floyd,413,421,543,666,688
2006,Forsyth,633,686,763,929,1013
2006,Franklin,394,427,473,575,816
2006,Fulton,633,686,763,929,1013
2006,Gilmer,445,483,538,710,857
2006,Glascock,328,348,458,548,644
2006,Glynn,430,468,519,740,911
2006,Gordon,445,449,576,689,711
2006,Grady,298,411,458,635,656
2006,Greene,381,397,458,575,593
2006,Gwinnett,633,686,763,929,1013
2006,Habersham,450,452,541,648,949
2006,Hall,600,629,725,890,1032
2006,Hancock,381,397,458,575,593
2006,Haralson,381,399,458,667,808
2006,Harris,454,479,548,729,863
2006,Hart,381,412,458,547,803
2006,Heard,633,686,763,929,1013
2006,Henry,633,686,763,929,1013
2006,Houston,491,500,594,862,991
2006,Irwin,381,403,458,581,709
2006,Jackson,471,512,569,691,902
2006,Jasper,633,686,763,929,1013
2006,Jeff Davis,380,413,458,558,575
2006,Jefferson,328,365,458,548,644
2006,Jenkins,328,348,458,548,644
2006,Johnson,343,421,469,606,633
2006,Jones,449,487,542,668,696
2006,Lamar,403,405,486,641,853
2006,Lanier,444,445,535,725,748
2006,Laurens,381,414,458,615,746
2006,Lee,427,456,535,718,741
2006,Liberty,433,471,524,737,839
2006,Lincoln,381,397,458,575,593
2006,Long,387,420,467,640,659
2006,Lowndes,444,445,535,725,748
2006,Lumpkin,400,520,617,833,924
2006,McDuffie,461,500,562,753,791
2006,McIntosh,430,468,519,740,911
2006,Macon,381,393,458,578,780
2006,Madison,458,509,639,851,878
2006,Marion,454,479,548,729,863
2006,Meriwether,396,401,478,576,594
2006,Miller,353,411,458,573,683
2006,Mitchell,299,379,458,549,762
2006,Monroe,449,487,542,668,696
2006,Montgomery,347,406,458,613,701
2006,Morgan,409,410,506,606,623
2006,Murray,411,444,494,591,608
2006,Muscogee,454,479,548,729,863
2006,Newton,633,686,763,929,1013
2006,Oconee,458,509,639,851,878
2006,Oglethorpe,458,509,639,851,878
2006,Paulding,633,686,763,929,1013
2006,Peach,413,414,499,714,751
2006,Pickens,633,686,763,929,1013
2006,Pierce,381,398,458,583,664
2006,Pike,633,686,763,929,1013
2006,Polk,374,417,508,626,647
2006,Pulaski,347,406,458,666,699
2006,Putnam,345,349,458,665,685
2006,Quitman,380,412,458,588,722
2006,Rabun,447,464,539,695,838
2006,Randolph,380,412,458,588,722
2006,Richmond,461,500,562,753,791
2006,Rockdale,633,686,763,929,1013
2006,Schley,381,393,458,578,780
2006,Screven,328,348,458,548,644
2006,Seminole,353,411,458,573,683
2006,Spalding,633,686,763,929,1013
2006,Stephens,304,423,469,561,579
2006,Stewart,380,412,458,588,722
2006,Sumter,356,400,492,589,864
2006,Talbot,437,439,529,652,671
2006,Taliaferro,381,397,458,575,593
2006,Tattnall,382,412,458,604,661
2006,Taylor,381,393,458,578,780
2006,Telfair,347,406,458,613,701
2006,Terrell,427,456,535,718,741
2006,Thomas,417,453,503,646,883
2006,Tift,396,429,475,607,701
2006,Toombs,298,412,458,638,706
2006,Towns,447,464,539,692,838
2006,Treutlen,347,406,458,613,701
2006,Troup,439,444,556,703,726
2006,Turner,381,403,458,581,709
2006,Twiggs,449,487,542,668,696
2006,Union,447,464,539,692,838
2006,Upson,321,435,495,592,609
2006,Walker,469,496,584,719,845
2006,Walton,633,686,763,929,1013
2006,Ware,380,409,458,587,616
2006,Warren,381,397,458,575,593
2006,Washington,328,377,458,560,644
2006,Wayne,328,371,458,605,804
2006,Webster,381,393,458,578,780
2006,Wheeler,347,406,458,613,701
2006,White,401,500,555,700,843
2006,Whitfield,438,476,526,651,670
2006,Wilcox,347,406,458,613,701
2006,Wilkes,381,397,458,575,593
2006,Wilkinson,343,421,469,606,633
2006,Worth,427,456,535,718,741
2007,Appling,395,429,476,580,598
2007,Atkinson,396,413,476,606,690
2007,Bacon,396,413,476,606,690
2007,Baker,444,475,557,747,771
2007,Baldwin,369,445,552,659,680
2007,Banks,410,444,492,598,849
2007,Barrow,647,700,779,948,1035
2007,Bartow,647,700,779,948,1035
2007,Ben Hill,312,402,480,581,597
2007,Berrien,390,391,476,590,608
2007,Bibb,468,507,564,695,725
2007,Bleckley,334,390,476,589,675
2007,Brantley,448,487,540,770,948
2007,Brooks,462,463,557,755,779
2007,Bryan,583,631,703,933,963
2007,Bulloch,438,453,537,644,662
2007,Burke,480,521,585,783,824
2007,Butts,354,473,546,797,948
2007,Calhoun,395,428,476,611,750
2007,Camden,489,491,591,860,1037
2007,Candler,395,429,476,580,598
2007,Carroll,647,700,779,948,1035
2007,Catoosa,488,516,608,748,880
2007,Charlton,396,413,476,606,690
2007,Chatham,583,631,703,933,963
2007,Chattahoochee,473,498,570,758,897
2007,Chattooga,310,379,476,571,831
2007,Cherokee,647,700,779,948,1035
2007,Clarke,477,530,665,886,914
2007,Clay,395,428,476,611,750
2007,Clayton,647,700,779,948,1035
2007,Clinch,396,413,476,606,690
2007,Cobb,647,700,779,948,1035
2007,Coffee,394,408,476,593,725
2007,Colquitt,396,427,476,570,716
2007,Columbia,480,521,585,783,824
2007,Cook,395,404,476,647,837
2007,Coweta,647,700,779,948,1035
2007,Crawford,468,507,564,695,725
2007,Crisp,395,398,476,601,620
2007,Dade,488,516,608,748,880
2007,Dawson,647,700,779,948,1035
2007,Decatur,353,410,540,646,718
2007,DeKalb,647,700,779,948,1035
2007,Dodge,376,377,476,637,655
2007,Dooly,396,409,476,600,810
2007,Dougherty,444,475,557,747,771
2007,Douglas,647,700,779,948,1035
2007,Early,395,428,476,611,750
2007,Echols,462,463,557,755,779
2007,Effingham,583,631,703,933,963
2007,Elbert,396,413,476,598,616
2007,Emanuel,311,361,476,580,742
2007,Evans,395,429,476,580,598
2007,Fannin,320,445,493,590,708
2007,Fayette,647,700,779,948,1035
2007,Floyd,430,438,565,693,716
2007,Forsyth,647,700,779,948,1035
2007,Franklin,410,444,492,598,849
2007,Fulton,647,700,779,948,1035
2007,Gilmer,464,502,560,739,892
2007,Glascock,341,361,476,570,669
2007,Glynn,448,487,540,770,948
2007,Gordon,463,467,599,716,739
2007,Grady,309,427,476,660,682
2007,Greene,396,413,476,598,616
2007,Gwinnett,647,700,779,948,1035
2007,Habersham,468,470,563,674,988
2007,Hall,624,654,754,926,1074
2007,Hancock,396,413,476,598,616
2007,Haralson,396,415,476,693,840
2007,Harris,473,498,570,758,897
2007,Hart,396,428,476,568,834
2007,Heard,647,700,779,948,1035
2007,Henry,647,700,779,948,1035
2007,Houston,511,520,618,897,1031
2007,Irwin,396,419,476,604,736
2007,Jackson,490,532,592,719,939
2007,Jasper,647,700,779,948,1035
2007,Jeff Davis,395,429,476,580,598
2007,Jefferson,341,380,476,570,669
2007,Jenkins,341,361,476,570,669
2007,Johnson,357,438,488,630,658
2007,Jones,468,507,564,695,725
2007,Lamar,412,414,496,654,870
2007,Lanier,462,463,557,755,779
2007,Laurens,396,430,476,639,775
2007,Lee,444,475,557,747,771
2007,Liberty,451,489,545,767,873
2007,Lincoln,396,413,476,598,616
2007,Long,402,437,486,666,686
2007,Lowndes,462,463,557,755,779
2007,Lumpkin,416,541,642,867,961
2007,McDuffie,480,521,585,783,824
2007,McIntosh,448,487,540,770,948
2007,Macon,396,409,476,600,810
2007,Madison,477,530,665,886,914
2007,Marion,473,498,570,758,897
2007,Meriwether,405,409,488,589,607
2007,Miller,367,427,476,596,710
2007,Mitchell,310,394,476,571,792
2007,Monroe,452,492,545,653,675
2007,Montgomery,361,422,476,637,728
2007,Morgan,426,427,526,630,648
2007,Murray,427,462,514,615,633
2007,Muscogee,473,498,570,758,897
2007,Newton,647,700,779,948,1035
2007,Oconee,477,530,665,886,914
2007,Oglethorpe,477,530,665,886,914
2007,Paulding,647,700,779,948,1035
2007,Peach,429,430,519,743,781
2007,Pickens,647,700,779,948,1035
2007,Pierce,396,413,476,606,690
2007,Pike,647,700,779,948,1035
2007,Polk,389,433,528,651,672
2007,Pulaski,361,422,476,693,727
2007,Putnam,359,363,476,692,712
2007,Quitman,395,428,476,611,750
2007,Rabun,466,483,561,724,872
2007,Randolph,395,428,476,611,750
2007,Richmond,480,521,585,783,824
2007,Rockdale,647,700,779,948,1035
2007,Schley,396,409,476,600,810
2007,Screven,341,361,476,570,669
2007,Seminole,367,427,476,596,710
2007,Spalding,647,700,779,948,1035
2007,Stephens,317,440,488,584,603
2007,Stewart,395,428,476,611,750
2007,Sumter,371,417,512,613,900
2007,Talbot,455,456,550,678,697
2007,Taliaferro,396,413,476,598,616
2007,Tattnall,397,428,476,628,687
2007,Taylor,396,409,476,600,810
2007,Telfair,361,422,476,637,728
2007,Terrell,444,475,557,747,771
2007,Thomas,434,471,523,672,918
2007,Tift,412,446,494,631,729
2007,Toombs,309,428,476,663,734
2007,Towns,466,483,561,720,872
2007,Treutlen,361,422,476,637,728
2007,Troup,456,461,578,731,755
2007,Turner,396,419,476,604,736
2007,Twiggs,468,507,564,695,725
2007,Union,466,483,561,720,872
2007,Upson,334,453,515,615,634
2007,Walker,488,516,608,748,880
2007,Walton,647,700,779,948,1035
2007,Ware,395,426,476,610,640
2007,Warren,396,413,476,598,616
2007,Washington,341,392,476,582,669
2007,Wayne,341,386,476,628,835
2007,Webster,396,409,476,600,810
2007,Wheeler,361,422,476,637,728
2007,White,417,519,577,728,876
2007,Whitfield,455,494,547,677,697
2007,Wilcox,361,422,476,637,728
2007,Wilkes,396,413,476,598,616
2007,Wilkinson,357,438,488,630,658
2007,Worth,444,475,557,747,771
2008,Appling,429,467,518,631,651
2008,Atkinson,430,450,518,660,751
2008,Bacon,430,450,518,660,751
2008,Baker,486,519,609,817,843
2008,Baldwin,403,486,603,720,742
2008,Banks,447,484,537,652,927
2008,Barrow,684,741,824,1003,1094
2008,Bartow,684,741,824,1003,1094
2008,Ben Hill,339,437,522,632,649
2008,Berrien,425,426,518,642,661
2008,Bibb,511,555,617,761,793
2008,Bleckley,364,425,518,641,735
2008,Brantley,488,531,589,839,1034
2008,Brooks,502,504,606,822,847
2008,Bryan,638,691,769,1020,1054
2008,Bulloch,477,493,584,701,719
2008,Burke,537,582,654,876,921
2008,Butts,380,508,587,856,1020
2008,Calhoun,430,466,518,665,816
2008,Camden,532,534,643,936,1128
2008,Candler,429,467,518,631,651
2008,Carroll,684,741,824,1003,1094
2008,Catoosa,513,543,639,787,925
2008,Charlton,430,450,518,660,751
2008,Chatham,638,691,769,1020,1054
2008,Chattahoochee,513,541,619,823,974
2008,Chattooga,338,413,518,621,904
2008,Cherokee,684,741,824,1003,1094
2008,Clarke,521,579,726,967,998
2008,Clay,430,466,518,665,816
2008,Clayton,684,741,824,1003,1094
2008,Clinch,430,450,518,660,751
2008,Cobb,684,741,824,1003,1094
2008,Coffee,429,444,518,645,789
2008,Colquitt,431,465,518,620,780
2008,Columbia,537,582,654,876,921
2008,Cook,430,439,518,704,911
2008,Coweta,684,741,824,1003,1094
2008,Crawford,511,555,617,761,793
2008,Crisp,430,434,518,654,674
2008,Dade,513,543,639,787,925
2008,Dawson,684,741,824,1003,1094
2008,Decatur,384,447,588,703,781
2008,DeKalb,684,741,824,1003,1094
2008,Dodge,409,410,518,693,713
2008,Dooly,430,445,518,653,882
2008,Dougherty,486,519,609,817,843
2008,Douglas,684,741,824,1003,1094
2008,Early,430,466,518,665,816
2008,Echols,502,504,606,822,847
2008,Effingham,638,691,769,1020,1054
2008,Elbert,430,449,518,651,671
2008,Emanuel,338,393,518,631,807
2008,Evans,429,467,518,631,651
2008,Fannin,350,487,540,646,775
2008,Fayette,684,741,824,1003,1094
2008,Floyd,470,479,618,758,783
2008,Forsyth,684,741,824,1003,1094
2008,Franklin,447,484,537,652,927
2008,Fulton,684,741,824,1003,1094
2008,Gilmer,506,548,611,806,973
2008,Glascock,371,393,518,620,728
2008,Glynn,488,531,589,839,1034
2008,Gordon,506,510,655,783,808
2008,Grady,337,465,518,718,742
2008,Greene,430,449,518,651,671
2008,Gwinnett,684,741,824,1003,1094
2008,Habersham,510,513,614,736,1078
2008,Hall,680,713,822,1009,1171
2008,Hancock,430,449,518,651,671
2008,Haralson,431,452,518,754,914
2008,Harris,513,541,619,823,974
2008,Hart,430,466,518,618,908
2008,Heard,684,741,824,1003,1094
2008,Henry,684,741,824,1003,1094
2008,Houston,557,567,673,977,1123
2008,Irwin,430,456,518,657,801
2008,Jackson,533,579,644,782,1021
2008,Jasper,684,741,824,1003,1094
2008,Jeff Davis,429,467,518,631,651
2008,Jefferson,371,413,518,620,728
2008,Jenkins,371,393,518,620,728
2008,Johnson,389,477,532,687,718
2008,Jones,511,555,617,761,793
2008,Lamar,443,445,534,704,937
2008,Lanier,502,504,606,822,847
2008,Laurens,430,468,518,696,844
2008,Lee,486,519,609,817,843
2008,Liberty,492,534,595,837,953
2008,Lincoln,430,449,518,651,671
2008,Long,439,476,530,726,748
2008,Lowndes,502,504,606,822,847
2008,Lumpkin,454,589,700,945,1048
2008,McDuffie,537,582,654,876,921
2008,McIntosh,488,531,589,839,1034
2008,Macon,430,445,518,653,882
2008,Madison,521,579,726,967,998
2008,Marion,513,541,619,823,974
2008,Meriwether,435,440,525,633,653
