Year,County,0BR,1BR,2BR,3BR,4BR
2006,Ada,480,570,672,977,1039
2006,Adams,409,426,537,727,866
2006,Bannock,352,409,527,762,893
2006,Bear Lake,350,404,516,733,865
2006,Benewah,471,479,602,860,887
2006,Bingham,354,392,503,692,715
2006,Blaine,681,740,821,1166,1439
2006,Boise,480,570,672,977,1039
2006,Bonner,476,500,613,867,893
2006,Bonneville,408,430,549,753,945
2006,Boundary,471,479,602,860,887
2006,Butte,389,417,532,752,894
2006,Camas,417,456,569,750,802
2006,Canyon,480,570,672,977,1039
2006,Caribou,350,404,516,733,865
2006,Cassia,417,456,569,750,802
2006,Clark,389,417,532,752,894
2006,Clearwater,417,431,534,771,889
2006,Custer,389,417,532,752,894
2006,Elmore,354,413,543,689,843
2006,Franklin,440,475,594,797,984
2006,Fremont,389,417,532,752,894
2006,Gem,421,509,566,823,847
2006,Gooding,417,456,569,750,802
2006,Idaho,407,436,574,687,812
2006,Jefferson,408,430,549,753,945
2006,Jerome,417,456,569,750,802
2006,Kootenai,480,519,624,907,1015
2006,Latah,419,437,528,770,891
2006,Lemhi,389,417,532,752,894
2006,Lewis,417,431,534,771,889
2006,Lincoln,417,456,569,750,802
2006,Madison,391,392,503,730,795
2006,Minidoka,326,429,503,666,685
2006,Nez Perce,424,440,551,782,953
2006,Oneida,350,404,516,733,865
2006,Owyhee,480,570,672,977,1039
2006,Payette,352,424,539,682,891
2006,Power,352,409,527,762,893
2006,Shoshone,416,417,503,662,702
2006,Teton,389,417,532,752,894
2006,Twin Falls,376,457,579,746,883
2006,Valley,409,426,537,727,866
2006,Washington,409,426,537,727,866
2007,Ada,497,589,695,1011,1074
2007,Adams,424,441,556,753,897
2007,Bannock,364,423,545,788,923
2007,Bear Lake,363,418,534,759,896
2007,Benewah,487,496,623,890,918
2007,Bingham,367,406,521,717,740
2007,Blaine,705,766,850,1207,1490
2007,Boise,497,589,695,1011,1074
2007,Bonner,493,517,634,897,924
2007,Bonneville,423,445,568,779,978
2007,Boundary,487,496,623,890,918
2007,Butte,403,431,551,779,926
2007,Camas,432,472,589,776,830
2007,Canyon,497,589,695,1011,1074
2007,Caribou,363,418,534,759,896
2007,Cassia,432,472,589,776,830
2007,Clark,403,431,551,779,926
2007,Clearwater,432,446,553,798,921
2007,Custer,403,431,551,779,926
2007,Elmore,366,427,562,713,873
2007,Franklin,456,492,615,825,1018
2007,Fremont,403,431,551,779,926
2007,Gem,435,527,586,852,877
