Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,320,380,492,639,660
2006,Alexander,401,408,492,648,714
2006,Bond,355,379,492,715,841
2006,Boone,431,486,616,806,830
2006,Brown,319,388,492,657,677
2006,Bureau,347,403,533,657,720
2006,Calhoun,485,526,654,842,882
2006,Carroll,373,421,530,660,679
2006,Cass,389,391,492,625,645
2006,Champaign,429,522,614,771,1059
2006,Christian,321,412,492,636,743
2006,Clark,318,444,492,716,739
2006,Clay,322,402,492,657,676
2006,Clinton,485,526,654,842,882
2006,Coles,340,435,523,737,918
2006,Cook,701,802,901,1102,1244
2006,Crawford,321,379,492,647,678
2006,Cumberland,340,424,512,681,898
2006,DeKalb,504,569,748,970,1190
2006,De Witt,404,405,494,645,755
2006,Douglas,332,417,512,729,751
2006,DuPage,701,802,901,1102,1244
2006,Edgar,320,374,492,619,638
2006,Edwards,401,408,492,648,714
2006,Effingham,432,433,521,658,696
2006,Fayette,408,419,492,681,702
2006,Ford,429,522,614,771,1059
2006,Franklin,318,391,492,611,863
2006,Fulton,342,408,492,629,780
2006,Gallatin,401,408,492,648,714
2006,Greene,339,377,495,627,659
2006,Grundy,506,593,777,978,1317
2006,Hamilton,401,408,492,648,714
2006,Hancock,410,411,492,591,612
2006,Hardin,401,408,492,648,714
2006,Henderson,339,397,492,621,742
2006,Henry,409,457,575,733,764
2006,Iroquois,366,406,492,619,726
2006,Jackson,332,406,511,696,866
2006,Jasper,319,396,492,647,666
2006,Jefferson,420,431,514,647,666
2006,Jersey,485,526,654,842,882
2006,Jo Daviess,386,414,492,656,676
2006,Johnson,401,408,492,648,714
2006,Kane,701,802,901,1102,1244
2006,Kankakee,471,513,677,878,941
2006,Kendall,701,802,901,1102,1244
2006,Knox,338,395,520,691,712
2006,Lake,701,802,901,1102,1244
2006,La Salle,406,438,577,728,936
2006,Lawrence,319,374,492,654,675
2006,Lee,353,434,522,697,811
2006,Livingston,365,448,563,672,700
2006,Logan,420,421,504,692,793
2006,McDonough,332,391,492,631,825
2006,McHenry,701,802,901,1102,1244
2006,McLean,448,495,625,836,1045
2006,Macon,354,421,534,712,734
2006,Macoupin,408,409,492,613,635
2006,Madison,485,526,654,842,882
2006,Marion,359,411,492,629,693
2006,Marshall,398,471,586,755,857
2006,Mason,319,404,492,691,713
2006,Massac,409,410,492,716,739
2006,Menard,381,448,579,756,844
2006,Mercer,409,457,575,733,764
2006,Monroe,485,526,654,842,882
2006,Montgomery,409,410,492,590,731
2006,Morgan,345,402,529,656,713
2006,Moultrie,327,386,503,634,770
2006,Ogle,415,443,581,760,812
2006,Peoria,398,471,586,755,857
2006,Perry,319,417,492,594,764
2006,Piatt,429,522,614,771,1059
2006,Pike,319,390,492,661,681
2006,Pope,401,408,492,648,714
2006,Pulaski,401,408,492,648,714
2006,Putnam,332,388,511,646,706
2006,Randolph,320,373,492,652,800
2006,Richland,367,444,492,677,811
2006,Rock Island,409,457,575,733,764
2006,St. Clair,485,526,654,842,882
2006,Saline,320,413,492,666,863
2006,Sangamon,381,448,579,756,844
2006,Schuyler,319,390,492,661,681
2006,Scott,339,377,495,627,659
2006,Shelby,408,409,492,641,726
