Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,418,453,503,658,776
2006,Allen,446,474,592,738,759
2006,Bartholomew,564,566,679,832,891
2006,Benton,466,550,676,880,1007
2006,Blackford,430,432,518,659,712
2006,Boone,489,567,673,871,921
2006,Brown,489,567,673,871,921
2006,Carroll,355,417,547,720,741
2006,Cass,366,394,518,660,681
2006,Clark,411,473,563,785,834
2006,Clay,359,409,527,650,748
2006,Clinton,447,474,579,723,758
2006,Crawford,359,409,503,622,659
2006,Daviess,418,421,503,654,802
2006,Dearborn,427,506,655,877,910
2006,Decatur,487,489,587,761,784
2006,DeKalb,415,444,564,776,797
2006,Delaware,484,495,598,806,846
2006,Dubois,338,406,520,710,731
2006,Elkhart,465,519,641,806,844
2006,Fayette,345,427,530,702,722
2006,Floyd,411,473,563,785,834
2006,Fountain,370,444,503,673,704
2006,Franklin,427,506,655,877,910
2006,Fulton,430,447,518,731,754
2006,Gibson,421,422,505,646,888
2006,Grant,441,442,534,674,786
2006,Greene,390,391,503,730,755
2006,Hamilton,489,567,673,871,921
2006,Hancock,489,567,673,871,921
2006,Harrison,411,473,563,785,834
2006,Hendricks,489,567,673,871,921
2006,Henry,458,460,551,709,792
2006,Howard,469,474,602,768,790
2006,Huntington,395,470,556,694,840
2006,Jackson,471,472,574,738,895
2006,Jasper,480,481,598,780,804
2006,Jay,326,400,503,682,703
2006,Jefferson,375,402,529,633,783
2006,Jennings,364,429,561,679,935
2006,Johnson,489,567,673,871,921
2006,Knox,350,398,503,623,777
2006,Kosciusko,383,447,587,747,869
2006,LaGrange,465,466,559,674,748
2006,Lake,478,596,727,869,896
2006,LaPorte,404,466,592,786,809
2006,Lawrence,367,433,565,675,695
2006,Madison,487,488,586,754,785
2006,Marion,489,567,673,871,921
2006,Marshall,399,460,572,754,777
2006,Martin,359,395,503,620,724
2006,Miami,327,385,504,734,791
2006,Monroe,458,524,621,873,936
2006,Montgomery,372,439,558,759,800
2006,Morgan,489,567,673,871,921
2006,Newton,478,596,727,869,896
2006,Noble,496,497,597,713,734
2006,Ohio,427,506,655,877,910
2006,Orange,325,382,503,633,691
2006,Owen,431,433,519,657,911
2006,Parke,418,421,503,634,798
2006,Perry,327,383,503,653,674
2006,Pike,327,387,504,652,673
2006,Porter,478,596,727,869,896
2006,Posey,374,437,543,670,728
2006,Pulaski,435,436,525,697,719
2006,Putnam,486,487,586,700,789
2006,Randolph,418,419,503,717,740
2006,Ripley,481,482,581,700,801
2006,Rush,455,456,548,657,720
2006,St. Joseph,464,516,621,797,820
2006,Scott,371,415,525,678,785
2006,Shelby,489,567,673,871,921
2006,Spencer,327,387,504,652,673
2006,Starke,436,461,527,697,733
2006,Steuben,422,481,632,762,784
2006,Sullivan,326,382,503,602,619
2006,Switzerland,397,431,567,710,792
2006,Tippecanoe,466,550,676,880,1007
2006,Tipton,469,474,602,768,790
2006,Union,357,436,550,685,707
2006,Vanderburgh,374,437,543,670,728
2006,Vermillion,359,409,527,650,748
2006,Vigo,359,409,527,650,748
2006,Wabash,328,383,503,688,783
2006,Warren,359,440,552,679,788
2006,Warrick,374,437,543,670,728
2006,Washington,383,428,503,619,824
2006,Wayne,361,425,532,722,744
2006,Wells,446,474,592,738,759
2006,White,383,529,587,701,991
2006,Whitley,446,474,592,738,759
2007,Adams,431,468,519,679,801
2007,Allen,459,488,610,761,782
2007,Bartholomew,582,583,700,858,918
2007,Benton,480,567,696,906,1036
2007,Blackford,443,445,534,679,734
2007,Boone,504,584,693,897,949
2007,Brown,504,584,693,897,949
2007,Carroll,366,430,564,742,764
2007,Cass,377,406,534,680,702
2007,Clark,426,492,584,816,867
2007,Clay,370,422,543,670,771
2007,Clinton,460,488,596,744,781
2007,Crawford,370,422,519,641,680
2007,Daviess,431,434,519,675,828
2007,Dearborn,436,516,668,894,929
2007,Decatur,502,504,605,784,808
2007,DeKalb,428,458,581,799,821
2007,Delaware,498,509,616,830,871
2007,Dubois,348,418,536,732,753
2007,Elkhart,479,534,660,830,869
2007,Fayette,355,440,546,723,744
2007,Floyd,426,492,584,816,867
2007,Fountain,381,458,519,694,726
2007,Franklin,436,516,668,894,929
2007,Fulton,443,460,534,754,778
2007,Gibson,435,436,521,666,916
2007,Grant,454,455,550,694,810
2007,Greene,403,404,519,753,779
2007,Hamilton,504,584,693,897,949
2007,Hancock,504,584,693,897,949
2007,Harrison,426,492,584,816,867
2007,Hendricks,504,584,693,897,949
2007,Henry,472,474,568,730,817
2007,Howard,483,489,620,791,813
2007,Huntington,407,485,573,715,866
2007,Jackson,485,486,591,759,921
2007,Jasper,499,500,621,810,835
2007,Jay,337,413,519,703,726
2007,Jefferson,386,414,545,652,807
2007,Jennings,375,442,578,700,964
2007,Johnson,504,584,693,897,949
2007,Knox,361,411,519,643,802
2007,Kosciusko,394,460,605,770,896
2007,LaGrange,479,480,576,694,771
2007,Lake,497,619,755,902,931
2007,LaPorte,416,481,610,810,833
2007,Lawrence,378,446,582,695,716
2007,Madison,502,503,604,777,809
2007,Marion,504,584,693,897,949
2007,Marshall,411,474,589,776,800
2007,Martin,370,408,519,639,747
2007,Miami,337,396,519,756,815
2007,Monroe,473,548,668,949,981
2007,Montgomery,384,452,575,783,825
2007,Morgan,504,584,693,897,949
2007,Newton,497,619,755,902,931
2007,Noble,510,512,615,735,756
2007,Ohio,436,516,668,894,929
2007,Orange,335,394,519,653,713
2007,Owen,445,447,535,677,939
2007,Parke,432,434,519,654,823
2007,Perry,337,395,519,674,695
2007,Pike,337,398,519,672,693
2007,Porter,497,619,755,902,931
2007,Posey,386,450,560,691,751
2007,Pulaski,448,450,541,718,741
2007,Putnam,501,502,604,722,814
2007,Randolph,431,432,519,740,763
2007,Ripley,496,497,599,721,825
2007,Rush,469,470,565,677,742
2007,St. Joseph,478,532,640,821,845
2007,Scott,382,427,541,699,809
2007,Shelby,504,584,693,897,949
2007,Spencer,337,398,519,672,693
2007,Starke,450,475,543,718,755
2007,Steuben,434,495,651,785,808
2007,Sullivan,336,394,519,621,639
2007,Switzerland,409,444,584,731,815
2007,Tippecanoe,480,567,696,906,1036
2007,Tipton,483,489,620,791,813
2007,Union,368,449,567,706,729
2007,Vanderburgh,386,450,560,691,751
2007,Vermillion,370,422,543,670,771
2007,Vigo,370,422,543,670,771
2007,Wabash,339,395,519,709,808
2007,Warren,370,454,569,700,813
2007,Warrick,386,450,560,691,751
2007,Washington,395,442,519,638,850
2007,Wayne,372,437,548,744,767
2007,Wells,459,488,610,761,782
2007,White,394,545,605,723,1021
2007,Whitley,459,488,610,761,782
2008,Adams,461,500,555,726,856
2008,Allen,479,509,636,793,815
2008,Bartholomew,618,620,744,912,976
2008,Benton,511,604,742,966,1105
2008,Blackford,472,475,569,724,782
2008,Boone,528,611,726,939,994
2008,Brown,528,611,726,939,994
2008,Carroll,389,458,600,790,813
2008,Cass,402,433,569,725,748
2008,Clark,483,559,663,926,984
2008,Clay,396,451,580,715,823
2008,Clinton,492,521,637,796,834
2008,Crawford,396,451,555,686,727
2008,Daviess,461,464,555,722,885
2008,Dearborn,473,560,726,972,1009
2008,Decatur,532,535,642,832,858
2008,DeKalb,455,487,618,850,873
2008,Delaware,528,540,653,880,923
2008,Dubois,371,445,571,779,802
2008,Elkhart,511,570,704,885,927
2008,Fayette,378,468,581,769,791
