Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adair,340,379,498,608,679
2006,Adams,340,379,498,608,679
2006,Allamakee,353,388,498,645,687
2006,Appanoose,323,378,498,629,689
2006,Audubon,372,382,498,655,685
2006,Benton,323,381,498,620,830
2006,Black Hawk,373,459,549,674,825
2006,Boone,371,447,570,742,799
2006,Bremer,328,404,503,602,814
2006,Buchanan,413,414,498,642,660
2006,Buena Vista,387,391,512,614,705
2006,Butler,353,388,498,645,687
2006,Calhoun,394,395,498,640,669
2006,Carroll,338,394,520,620,640
2006,Cass,371,452,569,698,751
2006,Cedar,352,388,512,662,716
2006,Cerro Gordo,376,418,550,683,702
2006,Cherokee,372,382,498,655,685
2006,Chickasaw,353,388,498,645,687
2006,Clarke,338,387,508,608,678
2006,Clay,323,377,498,605,757
2006,Clayton,353,388,498,645,687
2006,Clinton,323,378,498,635,725
2006,Crawford,372,393,498,655,685
2006,Dallas,460,549,669,857,955
2006,Davis,340,379,498,608,679
2006,Decatur,340,379,498,608,679
2006,Delaware,352,388,512,662,716
2006,Des Moines,385,421,533,670,755
2006,Dickinson,323,398,498,630,873
2006,Dubuque,372,400,526,707,770
2006,Emmet,350,377,498,610,716
2006,Fayette,353,388,498,645,687
2006,Floyd,350,377,498,623,641
2006,Franklin,360,396,498,636,667
2006,Fremont,371,452,569,698,751
2006,Greene,372,382,498,655,685
2006,Grundy,373,459,549,674,825
2006,Guthrie,460,549,669,857,955
2006,Hamilton,387,388,498,627,656
2006,Hancock,360,396,498,636,667
2006,Hardin,425,427,511,611,650
2006,Harrison,467,531,662,884,909
2006,Henry,419,421,504,721,742
2006,Howard,353,388,498,645,687
2006,Humboldt,394,395,498,640,669
2006,Ida,372,382,498,655,685
2006,Iowa,385,407,505,661,682
2006,Jackson,352,388,512,662,716
2006,Jasper,388,423,556,707,738
2006,Jefferson,416,423,501,631,767
2006,Johnson,440,519,653,951,1059
2006,Jones,414,415,498,698,720
2006,Keokuk,340,379,498,608,679
2006,Kossuth,360,396,498,636,667
2006,Lee,363,422,498,631,649
2006,Linn,387,450,593,840,955
2006,Louisa,382,427,528,683,723
2006,Lucas,340,379,498,608,679
2006,Lyon,350,377,498,610,716
2006,Madison,460,549,669,857,955
2006,Mahaska,367,417,531,636,840
2006,Marion,371,456,569,703,723
2006,Marshall,380,441,550,707,812
2006,Mills,467,531,662,884,909
2006,Mitchell,360,396,498,636,667
2006,Monona,372,382,498,655,685
2006,Monroe,340,379,498,608,679
2006,Montgomery,371,452,569,698,751
2006,Muscatine,380,470,584,719,775
2006,O'Brien,350,377,498,610,716
2006,Osceola,350,377,498,610,716
2006,Page,322,379,498,594,612
2006,Palo Alto,350,377,498,610,716
2006,Plymouth,413,414,498,671,691
2006,Pocahontas,394,395,498,640,669
2006,Polk,460,549,669,857,955
2006,Pottawattamie,467,531,662,884,909
2006,Poweshiek,346,404,532,680,701
2006,Ringgold,340,379,498,608,679
2006,Sac,372,382,498,655,685
2006,Scott,409,457,575,733,764
2006,Shelby,371,452,569,698,751
2006,Sioux,404,410,498,673,693
2006,Story,508,536,662,947,1121
2006,Tama,385,407,505,661,682
2006,Taylor,340,379,498,608,679
2006,Union,340,379,498,608,679
2006,Van Buren,340,379,498,608,679
2006,Wapello,356,414,546,651,679
2006,Warren,460,549,669,857,955
2006,Washington,329,397,504,643,773
2006,Wayne,340,379,498,608,679
2006,Webster,380,387,502,694,717
2006,Winnebago,360,396,498,636,667
2006,Winneshiek,324,379,498,647,877
2006,Woodbury,387,455,597,752,774
2006,Worth,360,396,498,636,667
2006,Wright,394,395,498,640,669
2007,Adair,350,390,513,626,700
2007,Adams,350,390,513,626,700
2007,Allamakee,364,400,513,665,707
2007,Appanoose,333,389,513,648,710
2007,Audubon,383,393,513,675,706
2007,Benton,333,393,513,639,855
2007,Black Hawk,385,473,566,694,851
2007,Boone,382,461,587,764,822
2007,Bremer,338,416,518,620,838
2007,Buchanan,426,427,513,662,680
2007,Buena Vista,398,403,527,632,726
2007,Butler,364,400,513,665,707
2007,Calhoun,406,407,513,659,689
2007,Carroll,348,406,536,639,659
2007,Cass,382,466,586,718,774
2007,Cedar,362,399,527,681,737
2007,Cerro Gordo,388,431,567,704,724
2007,Cherokee,383,393,513,675,706
2007,Chickasaw,364,400,513,665,707
2007,Clarke,348,398,523,626,698
2007,Clay,333,389,513,623,780
2007,Clayton,364,400,513,665,707
2007,Clinton,333,390,513,654,747
2007,Crawford,383,405,513,675,706
2007,Dallas,473,565,689,883,983
2007,Davis,350,390,513,626,700
2007,Decatur,350,390,513,626,700
2007,Delaware,362,399,527,681,737
2007,Des Moines,396,433,549,690,777
2007,Dickinson,332,410,513,649,900
2007,Dubuque,383,412,542,728,793
2007,Emmet,361,389,513,628,737
2007,Fayette,364,400,513,665,707
2007,Floyd,360,389,513,642,661
2007,Franklin,370,408,513,656,687
2007,Fremont,382,466,586,718,774
2007,Greene,383,393,513,675,706
2007,Grundy,385,473,566,694,851
2007,Guthrie,473,565,689,883,983
2007,Hamilton,399,400,513,646,676
2007,Hancock,370,408,513,656,687
2007,Hardin,438,440,526,629,669
2007,Harrison,481,547,682,910,936
2007,Henry,432,434,519,742,764
2007,Howard,364,400,513,665,707
2007,Humboldt,406,407,513,659,689
2007,Ida,383,393,513,675,706
2007,Iowa,397,419,520,680,702
2007,Jackson,362,399,527,681,737
2007,Jasper,399,436,573,729,760
2007,Jefferson,429,436,516,650,790
2007,Johnson,454,541,682,994,1163
2007,Jones,427,428,513,719,741
2007,Keokuk,350,390,513,626,700
2007,Kossuth,370,408,513,656,687
2007,Lee,374,435,513,650,669
2007,Linn,398,464,611,866,984
2007,Louisa,393,440,544,704,745
2007,Lucas,350,390,513,626,700
2007,Lyon,361,389,513,628,737
2007,Madison,473,565,689,883,983
2007,Mahaska,379,429,547,655,865
2007,Marion,382,469,586,724,745
2007,Marshall,392,454,567,729,837
2007,Mills,481,547,682,910,936
2007,Mitchell,370,408,513,656,687
2007,Monona,383,393,513,675,706
2007,Monroe,350,390,513,626,700
2007,Montgomery,382,466,586,718,774
2007,Muscatine,392,484,602,741,799
2007,O'Brien,361,389,513,628,737
2007,Osceola,361,389,513,628,737
2007,Page,331,390,513,612,630
2007,Palo Alto,361,389,513,628,737
2007,Plymouth,425,426,513,691,712
2007,Pocahontas,406,407,513,659,689
2007,Polk,473,565,689,883,983
2007,Pottawattamie,481,547,682,910,936
2007,Poweshiek,357,416,548,700,722
2007,Ringgold,350,390,513,626,700
2007,Sac,383,393,513,675,706
2007,Scott,422,470,592,755,787
2007,Shelby,382,466,586,718,774
2007,Sioux,417,423,513,694,714
2007,Story,523,552,682,976,1155
2007,Tama,397,419,520,680,702
2007,Taylor,350,390,513,626,700
2007,Union,350,390,513,626,700
2007,Van Buren,350,390,513,626,700
2007,Wapello,366,426,562,670,699
2007,Warren,473,565,689,883,983
2007,Washington,339,408,519,662,796
2007,Wayne,350,390,513,626,700
2007,Webster,391,398,517,715,738
2007,Winnebago,370,408,513,656,687
2007,Winneshiek,333,390,513,666,903
2007,Woodbury,399,469,615,774,797
2007,Worth,370,408,513,656,687
2007,Wright,406,407,513,659,689
2008,Adair,360,401,527,643,719
2008,Adams,360,401,527,643,719
2008,Allamakee,374,411,527,683,727
2008,Appanoose,342,400,527,666,729
2008,Audubon,394,404,527,693,725
2008,Benton,342,404,527,656,879
2008,Black Hawk,398,489,585,718,879
2008,Boone,394,475,605,787,848
2008,Bremer,347,427,532,637,861
2008,Buchanan,437,438,527,680,698
2008,Buena Vista,411,415,543,652,748
2008,Butler,374,411,527,683,727
2008,Calhoun,417,418,527,677,708
2008,Carroll,358,417,550,656,677
2008,Cass,394,480,604,741,797
2008,Cedar,373,412,543,702,760
2008,Cerro Gordo,398,442,582,723,743
2008,Cherokee,394,404,527,693,725
2008,Chickasaw,374,411,527,683,727
2008,Clarke,360,411,540,646,720
2008,Clay,342,399,527,640,802
2008,Clayton,374,411,527,683,727
2008,Clinton,342,401,527,672,767
2008,Crawford,394,416,527,693,725
2008,Dallas,503,600,732,938,1045
2008,Davis,360,401,527,643,719
2008,Decatur,360,401,527,643,719
2008,Delaware,373,412,543,702,760
2008,Des Moines,409,447,566,711,801
2008,Dickinson,341,422,527,667,924
2008,Dubuque,397,427,561,754,821
2008,Emmet,370,399,527,645,757
2008,Fayette,374,411,527,683,727
2008,Floyd,370,399,527,659,679
2008,Franklin,380,419,527,674,706
2008,Fremont,394,480,604,741,797
2008,Greene,394,404,527,693,725
2008,Grundy,398,489,585,718,879
2008,Guthrie,503,600,732,938,1045
2008,Hamilton,409,411,527,664,694
2008,Hancock,380,419,527,674,706
2008,Hardin,451,453,542,648,689
2008,Harrison,501,569,710,948,975
2008,Henry,444,446,534,764,787
2008,Howard,374,411,527,683,727
2008,Humboldt,417,418,527,677,708
2008,Ida,394,404,527,693,725
2008,Iowa,408,431,535,700,722
2008,Jackson,373,412,543,702,760
2008,Jasper,411,448,589,749,782
2008,Jefferson,440,448,530,667,811
2008,Johnson,471,561,708,1032,1207
2008,Jones,438,440,527,739,762
2008,Keokuk,360,401,527,643,719
2008,Kossuth,380,419,527,674,706
