Year,County,0BR,1BR,2BR,3BR,4BR
2006,Allen,374,379,497,659,717
2006,Anderson,359,400,497,640,697
2006,Atchison,390,434,532,775,934
2006,Barber,323,381,497,647,763
2006,Barton,323,389,497,661,855
2006,Bourbon,360,383,497,718,809
2006,Brown,390,434,532,775,934
2006,Butler,408,457,600,767,863
2006,Chase,347,379,497,632,652
2006,Chautauqua,359,400,497,640,697
2006,Cherokee,414,429,497,696,854
2006,Cheyenne,372,378,497,636,655
2006,Clark,429,433,527,641,704
2006,Clay,385,423,520,667,822
2006,Cloud,386,393,497,653,674
2006,Coffey,347,379,497,632,652
2006,Comanche,323,381,497,647,763
2006,Cowley,332,406,497,630,648
2006,Crawford,352,412,542,730,814
2006,Decatur,372,378,497,636,655
2006,Dickinson,324,377,497,598,738
2006,Doniphan,333,412,512,645,764
2006,Douglas,484,498,640,934,1124
2006,Edwards,323,381,497,647,763
2006,Elk,359,400,497,640,697
2006,Ellis,356,404,531,734,769
2006,Ellsworth,386,393,497,653,674
2006,Finney,437,437,564,685,867
2006,Ford,455,456,549,676,722
2006,Franklin,429,430,533,679,726
2006,Geary,352,417,512,678,758
2006,Gove,372,378,497,636,655
2006,Graham,372,378,497,636,655
2006,Grant,429,433,527,641,704
2006,Gray,429,433,527,641,704
2006,Greeley,429,433,527,641,704
2006,Greenwood,347,379,497,632,652
2006,Hamilton,429,433,527,641,704
2006,Harper,323,381,497,647,763
2006,Harvey,408,457,600,767,863
2006,Haskell,429,433,527,641,704
2006,Hodgeman,429,433,527,641,704
2006,Jackson,426,464,568,720,757
2006,Jefferson,426,464,568,720,757
2006,Jewell,386,393,497,653,674
2006,Johnson,510,612,703,951,1000
2006,Kearny,429,433,527,641,704
2006,Kingman,323,381,497,647,763
2006,Kiowa,323,381,497,647,763
2006,Labette,323,387,497,673,693
2006,Lane,429,433,527,641,704
2006,Leavenworth,510,612,703,951,1000
2006,Lincoln,386,393,497,653,674
2006,Linn,510,612,703,951,1000
2006,Logan,372,378,497,636,655
2006,Lyon,324,378,497,664,786
2006,McPherson,414,414,497,651,669
2006,Marion,347,379,497,632,652
2006,Marshall,385,423,520,667,822
2006,Meade,429,433,527,641,704
2006,Miami,510,612,703,951,1000
2006,Mitchell,386,393,497,653,674
2006,Montgomery,356,398,497,611,761
2006,Morris,385,423,520,667,822
2006,Morton,429,433,527,641,704
2006,Nemaha,390,434,532,775,934
2006,Neosho,322,387,497,591,869
2006,Ness,429,433,527,641,704
2006,Norton,372,378,497,636,655
2006,Osage,426,464,568,720,757
2006,Osborne,372,378,497,636,655
2006,Ottawa,386,393,497,653,674
2006,Pawnee,323,381,497,647,763
2006,Phillips,372,378,497,636,655
2006,Pottawatomie,336,465,516,657,757
2006,Pratt,324,379,497,644,760
2006,Rawlins,372,378,497,636,655
2006,Reno,353,393,516,707,728
2006,Republic,386,393,497,653,674
2006,Rice,360,393,497,659,679
2006,Riley,405,438,543,791,953
2006,Rooks,372,378,497,636,655
2006,Rush,323,381,497,647,763
2006,Russell,372,378,497,636,655
2006,Saline,410,412,542,722,744
2006,Scott,429,433,527,641,704
2006,Sedgwick,408,457,600,767,863
2006,Seward,372,458,529,650,787
2006,Shawnee,426,464,568,720,757
2006,Sheridan,372,378,497,636,655
2006,Sherman,366,378,497,624,643
2006,Smith,372,378,497,636,655
2006,Stafford,323,381,497,647,763
2006,Stanton,429,433,527,641,704
2006,Stevens,429,433,527,641,704
2006,Sumner,322,378,497,669,778
2006,Thomas,370,377,497,632,651
2006,Trego,372,378,497,636,655
2006,Wabaunsee,426,464,568,720,757
2006,Wallace,372,378,497,636,655
2006,Washington,386,393,497,653,674
2006,Wichita,429,433,527,641,704
2006,Wilson,359,399,497,639,695
2006,Woodson,359,400,497,640,697
2006,Wyandotte,510,612,703,951,1000
2007,Allen,386,390,512,678,738
2007,Anderson,370,412,512,659,718
2007,Atchison,402,447,548,798,962
2007,Barber,333,392,512,667,786
2007,Barton,332,401,512,680,881
2007,Bourbon,371,395,512,740,834
2007,Brown,402,447,548,798,962
2007,Butler,420,470,618,790,889
2007,Chase,357,390,512,651,672
2007,Chautauqua,370,412,512,659,718
2007,Cherokee,427,442,512,717,880
2007,Cheyenne,383,389,512,655,674
2007,Clark,442,446,543,661,725
2007,Clay,397,436,536,688,847
2007,Cloud,397,404,512,672,694
2007,Coffey,357,390,512,651,672
2007,Comanche,333,392,512,667,786
2007,Cowley,342,418,512,649,668
2007,Crawford,362,424,558,752,838
2007,Decatur,383,389,512,655,674
2007,Dickinson,333,388,512,616,760
2007,Doniphan,343,424,527,663,787
2007,Douglas,499,513,659,962,1157
2007,Edwards,333,392,512,667,786
2007,Elk,370,412,512,659,718
2007,Ellis,367,416,547,757,792
2007,Ellsworth,397,404,512,672,694
2007,Finney,450,450,581,705,894
2007,Ford,469,470,566,697,744
2007,Franklin,436,437,542,691,738
2007,Geary,362,429,527,698,780
2007,Gove,383,389,512,655,674
2007,Graham,383,389,512,655,674
2007,Grant,442,446,543,661,725
2007,Gray,442,446,543,661,725
2007,Greeley,442,446,543,661,725
2007,Greenwood,357,390,512,651,672
2007,Hamilton,442,446,543,661,725
2007,Harper,333,392,512,667,786
2007,Harvey,420,470,618,790,889
2007,Haskell,442,446,543,661,725
2007,Hodgeman,442,446,543,661,725
2007,Jackson,439,478,585,742,780
2007,Jefferson,439,478,585,742,780
2007,Jewell,397,404,512,672,694
2007,Johnson,518,622,714,966,1016
2007,Kearny,442,446,543,661,725
2007,Kingman,333,392,512,667,786
2007,Kiowa,333,392,512,667,786
2007,Labette,333,398,512,694,714
2007,Lane,442,446,543,661,725
2007,Leavenworth,518,622,714,966,1016
2007,Lincoln,397,404,512,672,694
2007,Linn,518,622,714,966,1016
2007,Logan,383,389,512,655,674
2007,Lyon,333,390,512,684,809
2007,McPherson,426,427,512,670,689
2007,Marion,357,390,512,651,672
2007,Marshall,397,436,536,688,847
2007,Meade,442,446,543,661,725
2007,Miami,518,622,714,966,1016
2007,Mitchell,397,404,512,672,694
2007,Montgomery,367,410,512,630,784
2007,Morris,397,436,536,688,847
2007,Morton,442,446,543,661,725
2007,Nemaha,402,447,548,798,962
2007,Neosho,332,399,512,609,895
2007,Ness,442,446,543,661,725
2007,Norton,383,389,512,655,674
2007,Osage,439,478,585,742,780
2007,Osborne,383,389,512,655,674
2007,Ottawa,397,404,512,672,694
2007,Pawnee,333,392,512,667,786
2007,Phillips,383,389,512,655,674
2007,Pottawatomie,346,479,532,677,780
2007,Pratt,333,390,512,664,783
2007,Rawlins,383,389,512,655,674
2007,Reno,364,405,532,729,750
2007,Republic,397,404,512,672,694
2007,Rice,371,404,512,679,700
2007,Riley,417,451,559,814,981
2007,Rooks,383,389,512,655,674
2007,Rush,333,392,512,667,786
2007,Russell,383,389,512,655,674
2007,Saline,422,424,558,743,766
2007,Scott,442,446,543,661,725
2007,Sedgwick,420,470,618,790,889
2007,Seward,383,471,545,669,811
2007,Shawnee,439,478,585,742,780
2007,Sheridan,383,389,512,655,674
2007,Sherman,377,389,512,643,663
2007,Smith,383,389,512,655,674
2007,Stafford,333,392,512,667,786
2007,Stanton,442,446,543,661,725
2007,Stevens,442,446,543,661,725
2007,Sumner,331,390,512,689,802
2007,Thomas,381,389,512,651,670
2007,Trego,383,389,512,655,674
2007,Wabaunsee,439,478,585,742,780
2007,Wallace,383,389,512,655,674
2007,Washington,397,404,512,672,694
2007,Wichita,442,446,543,661,725
2007,Wilson,370,411,512,658,716
2007,Woodson,370,412,512,659,718
2007,Wyandotte,518,622,714,966,1016
2008,Allen,395,400,525,696,757
2008,Anderson,380,422,525,676,736
2008,Atchison,413,459,563,820,989
2008,Barber,341,402,525,684,806
2008,Barton,341,411,525,698,904
2008,Bourbon,381,405,525,759,855
2008,Brown,413,459,563,820,989
2008,Butler,423,473,622,796,894
2008,Chase,366,400,525,668,689
2008,Chautauqua,380,422,525,676,736
2008,Cherokee,438,454,525,735,902
2008,Cheyenne,393,399,525,672,691
2008,Clark,454,459,558,679,745
2008,Clay,408,447,550,706,869
2008,Cloud,407,415,525,689,712
2008,Coffey,366,400,525,668,689
2008,Comanche,341,402,525,684,806
2008,Cowley,351,429,525,665,685
2008,Crawford,373,436,574,773,862
2008,Decatur,393,399,525,672,691
2008,Dickinson,342,398,525,632,779
2008,Doniphan,361,446,555,699,829
2008,Douglas,517,531,683,997,1199
2008,Edwards,341,402,525,684,806
2008,Elk,380,422,525,676,736
2008,Ellis,377,427,562,777,814
2008,Ellsworth,407,415,525,689,712
2008,Finney,462,463,597,725,918
2008,Ford,481,482,580,714,763
2008,Franklin,475,476,590,752,804
2008,Geary,373,442,543,719,804
2008,Gove,393,399,525,672,691
2008,Graham,393,399,525,672,691
2008,Grant,454,459,558,679,745
2008,Gray,454,459,558,679,745
2008,Greeley,454,459,558,679,745
2008,Greenwood,366,400,525,668,689
2008,Hamilton,454,459,558,679,745
2008,Harper,341,402,525,684,806
2008,Harvey,423,473,622,796,894
2008,Haskell,454,459,558,679,745
2008,Hodgeman,454,459,558,679,745
2008,Jackson,454,494,605,767,806
2008,Jefferson,454,494,605,767,806
2008,Jewell,407,415,525,689,712
2008,Johnson,547,657,754,1020,1073
2008,Kearny,454,459,558,679,745
2008,Kingman,341,402,525,684,806
2008,Kiowa,341,402,525,684,806
2008,Labette,341,408,525,711,732
2008,Lane,454,459,558,679,745
2008,Leavenworth,547,657,754,1020,1073
2008,Lincoln,407,415,525,689,712
2008,Linn,547,657,754,1020,1073
2008,Logan,393,399,525,672,691
2008,Lyon,342,400,525,701,830
2008,McPherson,437,438,525,687,707
2008,Marion,366,400,525,668,689
2008,Marshall,408,447,550,706,869
2008,Meade,454,459,558,679,745
2008,Miami,547,657,754,1020,1073
2008,Mitchell,407,415,525,689,712
2008,Montgomery,376,420,525,646,804
2008,Morris,408,447,550,706,869
2008,Morton,454,459,558,679,745
2008,Nemaha,413,459,563,820,989
2008,Neosho,340,409,525,625,918
2008,Ness,454,459,558,679,745
2008,Norton,393,399,525,672,691
2008,Osage,454,494,605,767,806
2008,Osborne,393,399,525,672,691
2008,Ottawa,407,415,525,689,712
2008,Pawnee,341,402,525,684,806
2008,Phillips,393,399,525,672,691
2008,Pottawatomie,355,492,546,695,801
2008,Pratt,342,400,525,680,803
2008,Rawlins,393,399,525,672,691
2008,Reno,374,416,546,748,770
2008,Republic,407,415,525,689,712
2008,Rice,380,415,525,696,718
2008,Riley,429,463,575,837,1009
2008,Rooks,393,399,525,672,691
2008,Rush,341,402,525,684,806
2008,Russell,393,399,525,672,691
2008,Saline,435,436,574,765,788
2008,Scott,454,459,558,679,745
2008,Sedgwick,423,473,622,796,894
2008,Seward,394,484,560,688,833
2008,Shawnee,454,494,605,767,806
2008,Sheridan,393,399,525,672,691
2008,Sherman,386,399,525,659,679
2008,Smith,393,399,525,672,691
2008,Stafford,341,402,525,684,806
2008,Stanton,454,459,558,679,745
2008,Stevens,454,459,558,679,745
2008,Sumner,340,400,525,707,822
2008,Thomas,391,398,525,667,687
2008,Trego,393,399,525,672,691
2008,Wabaunsee,454,494,605,767,806
2008,Wallace,393,399,525,672,691
2008,Washington,407,415,525,689,712
2008,Wichita,454,459,558,679,745
2008,Wilson,379,421,525,675,734
2008,Woodson,380,422,525,676,736
2008,Wyandotte,547,657,754,1020,1073
2009,Allen,412,417,547,725,789
2009,Anderson,395,440,547,705,767
2009,Atchison,430,479,587,855,1031
2009,Barber,356,419,547,712,840
2009,Barton,355,428,547,727,941
2009,Bourbon,397,422,547,790,891
2009,Brown,430,479,587,855,1031
2009,Butler,430,481,632,808,909
2009,Chase,382,417,547,696,718
2009,Chautauqua,395,440,547,705,767
2009,Cherokee,456,473,547,766,940
2009,Cheyenne,410,416,547,700,720
2009,Clark,474,478,582,708,777
2009,Clay,425,466,573,735,905
2009,Cloud,424,432,547,718,742
2009,Coffey,382,417,547,696,718
2009,Comanche,356,419,547,712,840
2009,Cowley,365,447,547,693,713
2009,Crawford,388,454,598,806,898
2009,Decatur,410,416,547,700,720
2009,Dickinson,356,415,547,659,812
2009,Doniphan,370,457,569,716,850
2009,Douglas,539,554,712,1040,1250
2009,Edwards,356,419,547,712,840
2009,Elk,395,440,547,705,767
2009,Ellis,393,445,585,809,847
2009,Ellsworth,424,432,547,718,742
2009,Finney,481,482,622,755,957
2009,Ford,501,502,604,744,794
2009,Franklin,508,509,631,804,859
2009,Geary,389,461,566,750,838
2009,Gove,410,416,547,700,720
2009,Graham,410,416,547,700,720
2009,Grant,474,478,582,708,777
2009,Gray,474,478,582,708,777
2009,Greeley,474,478,582,708,777
2009,Greenwood,382,417,547,696,718
2009,Hamilton,474,478,582,708,777
2009,Harper,356,419,547,712,840
2009,Harvey,430,481,632,808,909
2009,Haskell,474,478,582,708,777
2009,Hodgeman,474,478,582,708,777
2009,Jackson,473,515,630,799,840
2009,Jefferson,473,515,630,799,840
2009,Jewell,424,432,547,718,742
2009,Johnson,573,689,791,1070,1126
2009,Kearny,474,478,582,708,777
2009,Kingman,356,419,547,712,840
2009,Kiowa,356,419,547,712,840
2009,Labette,356,426,547,741,763
2009,Lane,474,478,582,708,777
2009,Leavenworth,573,689,791,1070,1126
2009,Lincoln,424,432,547,718,742
2009,Linn,573,689,791,1070,1126
2009,Logan,410,416,547,700,720
2009,Lyon,356,416,547,731,865
2009,McPherson,455,456,547,716,736
2009,Marion,382,417,547,696,718
2009,Marshall,425,466,573,735,905
2009,Meade,474,478,582,708,777
2009,Miami,573,689,791,1070,1126
2009,Mitchell,424,432,547,718,742
2009,Montgomery,392,438,547,673,837
2009,Morris,425,466,573,735,905
2009,Morton,474,478,582,708,777
2009,Nemaha,430,479,587,855,1031
2009,Neosho,354,426,547,651,957
2009,Ness,474,478,582,708,777
2009,Norton,410,416,547,700,720
2009,Osage,473,515,630,799,840
2009,Osborne,410,416,547,700,720
2009,Ottawa,424,432,547,718,742
2009,Pawnee,356,419,547,712,840
2009,Phillips,410,416,547,700,720
2009,Pottawatomie,370,513,569,724,835
2009,Pratt,356,417,547,709,836
2009,Rawlins,410,416,547,700,720
2009,Reno,390,434,569,780,802
2009,Republic,424,432,547,718,742
2009,Rice,396,432,547,725,748
2009,Riley,447,483,599,872,1051
2009,Rooks,410,416,547,700,720
2009,Rush,356,419,547,712,840
2009,Russell,410,416,547,700,720
2009,Saline,453,454,598,797,820
2009,Scott,474,478,582,708,777
2009,Sedgwick,430,481,632,808,909
2009,Seward,410,504,583,716,868
2009,Shawnee,473,515,630,799,840
2009,Sheridan,410,416,547,700,720
2009,Sherman,403,416,547,686,708
2009,Smith,410,416,547,700,720
2009,Stafford,356,419,547,712,840
2009,Stanton,474,478,582,708,777
2009,Stevens,474,478,582,708,777
2009,Sumner,354,416,547,736,857
2009,Thomas,407,415,547,695,716
2009,Trego,410,416,547,700,720
2009,Wabaunsee,473,515,630,799,840
2009,Wallace,410,416,547,700,720
2009,Washington,424,432,547,718,742
2009,Wichita,474,478,582,708,777
2009,Wilson,395,439,547,703,765
2009,Woodson,395,440,547,705,767
2009,Wyandotte,573,689,791,1070,1126
2010,Allen,426,431,566,750,816
2010,Anderson,409,455,566,729,794
2010,Atchison,448,499,611,890,1073
2010,Barber,368,434,566,737,869
2010,Barton,367,443,566,752,974
2010,Bourbon,410,436,566,818,921
2010,Brown,448,499,611,890,1073
2010,Butler,435,487,640,819,920
2010,Chase,395,431,566,720,743
2010,Chautauqua,409,455,566,729,794
2010,Cherokee,472,489,566,792,972
2010,Cheyenne,424,430,566,724,745
2010,Clark,493,498,606,738,809
2010,Clay,442,485,596,765,942
2010,Cloud,442,450,569,747,772
2010,Coffey,395,431,566,720,743
2010,Comanche,368,434,566,737,869
2010,Cowley,378,462,566,717,738
2010,Crawford,404,473,622,838,934
2010,Decatur,424,430,566,724,745
2010,Dickinson,368,429,566,681,840
2010,Doniphan,376,464,577,726,861
2010,Douglas,561,576,741,1082,1301
2010,Edwards,368,434,566,737,869
2010,Elk,409,455,566,729,794
2010,Ellis,408,462,608,841,880
2010,Ellsworth,442,450,569,747,772
2010,Finney,501,501,647,785,995
2010,Ford,521,522,628,773,826
2010,Franklin,530,531,658,838,896
2010,Geary,435,502,609,848,997
2010,Gove,424,430,566,724,745
2010,Graham,424,430,566,724,745
2010,Grant,493,498,606,738,809
2010,Gray,493,498,606,738,809
2010,Greeley,493,498,606,738,809
2010,Greenwood,395,431,566,720,743
2010,Hamilton,493,498,606,738,809
2010,Harper,368,434,566,737,869
2010,Harvey,435,487,640,819,920
2010,Haskell,493,498,606,738,809
2010,Hodgeman,493,498,606,738,809
2010,Jackson,491,535,655,831,873
2010,Jefferson,491,535,655,831,873
2010,Jewell,442,450,569,747,772
2010,Johnson,605,726,834,1128,1187
2010,Kearny,493,498,606,738,809
