Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adair,325,361,429,523,583
2006,Allen,281,365,429,573,741
2006,Anderson,415,444,586,847,1010
2006,Ballard,352,389,480,615,693
2006,Barren,297,347,450,561,618
2006,Bath,337,365,450,562,581
2006,Bell,282,385,429,512,628
2006,Boone,427,506,655,877,910
2006,Bourbon,420,504,622,836,862
2006,Boyd,354,419,503,620,641
2006,Boyle,361,400,525,629,649
2006,Bracken,427,506,655,877,910
2006,Breathitt,356,374,429,533,557
2006,Breckinridge,352,354,455,608,627
2006,Bullitt,411,473,563,785,834
2006,Butler,385,457,556,731,753
2006,Caldwell,356,357,429,543,617
2006,Calloway,427,428,515,634,904
2006,Campbell,427,506,655,877,910
2006,Carlisle,352,389,480,615,693
2006,Carroll,423,424,527,697,757
2006,Carter,282,375,435,518,586
2006,Casey,325,361,429,523,583
2006,Christian,466,485,563,814,838
2006,Clark,420,504,622,836,862
2006,Clay,278,385,429,512,527
2006,Clinton,325,361,429,523,583
2006,Crittenden,356,357,429,560,636
2006,Cumberland,325,361,429,523,583
2006,Daviess,350,390,513,712,754
2006,Edmonson,391,467,568,757,892
2006,Elliott,377,378,455,578,683
2006,Estill,356,357,429,548,722
2006,Fayette,420,504,622,836,862
2006,Fleming,337,365,450,562,581
2006,Floyd,325,364,429,563,649
2006,Franklin,425,451,593,804,827
2006,Fulton,352,389,480,615,693
2006,Gallatin,427,506,655,877,910
2006,Garrard,364,407,488,583,854
2006,Grant,396,478,608,748,838
2006,Graves,344,346,429,512,625
2006,Grayson,357,358,429,559,656
2006,Green,323,358,429,519,579
2006,Greenup,354,419,503,620,641
2006,Hancock,350,390,513,712,754
2006,Hardin,362,404,487,693,853
2006,Harlan,355,382,429,528,667
2006,Harrison,370,372,486,637,658
2006,Hart,319,348,429,547,637
2006,Henderson,374,437,543,670,728
2006,Henry,411,473,563,785,834
2006,Hickman,352,389,480,615,693
2006,Hopkins,356,356,429,538,752
2006,Jackson,356,374,429,519,534
2006,Jefferson,411,473,563,785,834
2006,Jessamine,420,504,622,836,862
2006,Johnson,280,365,429,585,601
2006,Kenton,427,506,655,877,910
2006,Knott,356,374,429,537,557
2006,Knox,281,339,429,605,625
2006,Larue,362,404,487,693,853
2006,Laurel,356,386,429,527,720
2006,Lawrence,278,325,429,573,590
2006,Lee,356,374,429,537,557
2006,Leslie,356,374,429,537,557
2006,Letcher,356,374,429,533,557
2006,Lewis,337,365,450,562,581
2006,Lincoln,310,424,470,563,744
2006,Livingston,355,356,429,552,627
2006,Logan,381,414,460,630,698
2006,Lyon,419,426,505,655,679
2006,McCracken,322,405,498,668,688
2006,McCreary,356,385,429,553,568
2006,McLean,350,390,513,712,754
2006,Madison,367,390,499,704,825
2006,Magoffin,356,360,429,528,552
2006,Marion,352,354,455,608,627
2006,Marshall,385,386,465,606,788
2006,Martin,356,360,429,528,552
2006,Mason,289,370,447,652,749
2006,Meade,399,400,479,615,689
2006,Menifee,337,365,450,562,581
2006,Mercer,390,415,471,620,730
2006,Metcalfe,319,348,429,547,637
2006,Monroe,319,348,429,547,637
2006,Montgomery,346,403,532,635,654
2006,Morgan,337,365,450,562,581
2006,Muhlenberg,354,355,429,545,559
2006,Nelson,342,413,499,727,786
2006,Nicholas,439,440,576,706,778
2006,Ohio,354,377,429,569,625
2006,Oldham,411,473,563,785,834
2006,Owen,471,537,613,825,1075
2006,Owsley,356,374,429,537,557
2006,Pendleton,427,506,655,877,910
2006,Perry,356,375,429,513,629
2006,Pike,363,364,438,526,541
2006,Powell,326,411,503,602,620
2006,Pulaski,305,337,429,529,561
2006,Robertson,337,365,450,562,581
2006,Rockcastle,356,374,429,519,534
2006,Rowan,380,421,468,587,606
2006,Russell,325,361,429,523,583
2006,Scott,420,504,622,836,862
2006,Shelby,411,473,563,785,834
2006,Simpson,385,452,594,738,761
2006,Spencer,411,473,563,785,834
2006,Taylor,282,386,429,553,726
2006,Todd,419,426,505,655,679
2006,Trigg,466,485,563,814,838
2006,Trimble,411,473,563,785,834
2006,Union,380,381,459,559,588
2006,Warren,391,467,568,757,892
2006,Washington,352,354,455,608,627
2006,Wayne,281,343,429,556,573
2006,Webster,374,437,543,670,728
2006,Whitley,329,347,457,546,562
2006,Wolfe,356,374,429,537,557
2006,Woodford,420,504,622,836,862
2007,Adair,338,375,446,544,607
2007,Allen,292,379,446,595,771
2007,Anderson,432,462,610,882,1052
2007,Ballard,366,405,499,639,721
2007,Barren,308,361,468,584,643
2007,Bath,350,379,468,585,604
2007,Bell,293,400,446,532,653
2007,Boone,436,516,668,894,929
2007,Bourbon,437,525,647,870,897
2007,Boyd,365,432,519,640,661
