Year,County,0BR,1BR,2BR,3BR,4BR
2006,Acadia,346,346,421,532,610
2006,Allen,349,350,421,612,679
2006,Ascension,573,624,720,918,1009
2006,Assumption,393,394,473,577,593
2006,Avoyelles,272,371,421,573,685
2006,Beauregard,357,366,431,628,755
2006,Bienville,386,392,464,554,607
2006,Bossier,419,482,563,714,737
2006,Caddo,419,482,563,714,737
2006,Calcasieu,405,456,555,685,964
2006,Caldwell,332,355,421,533,594
2006,Cameron,405,456,555,685,964
2006,Catahoula,319,344,421,533,645
2006,Claiborne,386,392,464,554,607
2006,Concordia,319,344,421,546,645
2006,De Soto,419,482,563,714,737
2006,East Baton,Rouge,573,624,720,918
2006,East Carroll,332,355,421,533,594
2006,East Feliciana,573,624,720,918,1009
2006,Evangeline,348,350,421,539,554
2006,Franklin,332,355,421,533,594
2006,Grant,374,405,482,627,645
2006,Iberia,399,409,482,595,694
2006,Iberville,354,355,427,578,596
2006,Jackson,332,355,421,533,594
2006,Jefferson,726,804,940,1207,1247
2006,Jefferson Davis,349,351,421,533,547
2006,Lafayette,431,494,548,703,892
2006,Lafourche,416,419,520,683,778
2006,La Salle,319,344,421,533,645
2006,Lincoln,413,426,496,645,667
2006,Livingston,573,624,720,918,1009
2006,Madison,332,355,421,533,594
2006,Morehouse,357,359,446,535,579
2006,Natchitoches,403,404,484,580,749
2006,Orleans,726,804,940,1207,1247
2006,Ouachita,368,416,517,686,708
2006,Plaquemines,726,804,940,1207,1247
2006,Pointe Coupee,573,624,720,918,1009
2006,Rapides,374,405,482,627,645
2006,Red River,386,392,464,554,607
2006,Richland,332,355,421,533,594
2006,Sabine,386,392,464,554,607
2006,St. Bernard,726,804,940,1207,1247
2006,St. Charles,726,804,940,1207,1247
2006,St. Helena,573,624,720,918,1009
2006,St. James,402,469,575,706,727
2006,St. John,the,Baptist,726,804,940
2006,St. Landry,275,330,421,568,605
2006,St. Martin,431,494,548,703,892
2006,St. Mary,381,388,466,609,629
2006,St. Tammany,726,804,940,1207,1247
2006,Tangipahoa,363,422,531,636,755
2006,Tensas,332,355,421,533,594
2006,Terrebonne,416,419,520,683,778
2006,Union,368,416,517,686,708
2006,Vermilion,350,351,421,577,597
2006,Vernon,345,380,421,611,730
2006,Washington,349,353,421,561,578
2006,Webster,338,339,429,578,597
2006,West Baton,Rouge,573,624,720,918
