Year,County,0BR,1BR,2BR,3BR,4BR
2006,Auburn,370,464,567,718,796
2006,Durham,370,464,567,718,796
2006,Greene,370,464,567,718,796
2006,Leeds,370,464,567,718,796
2006,Lewiston,370,464,567,718,796
2006,Lisbon,370,464,567,718,796
2006,Livermore,370,464,567,718,796
2006,Livermore Falls,370,464,567,718,796
2006,Mechanic Falls,370,464,567,718,796
2006,Minot,370,464,567,718,796
2006,Poland,370,464,567,718,796
2006,Sabattus,370,464,567,718,796
2006,Turner,370,464,567,718,796
2006,Wales,370,464,567,718,796
2006,Allagash,349,430,516,673,742
2006,Amity,349,430,516,673,742
2006,Ashland,349,430,516,673,742
2006,Bancroft,349,430,516,673,742
2006,Blaine,349,430,516,673,742
2006,Bridgewater,349,430,516,673,742
2006,Caribou,349,430,516,673,742
2006,Cary plantation,349,430,516,673,742
2006,Castle Hill,349,430,516,673,742
2006,Caswell,349,430,516,673,742
2006,Central Aroostook,UT,349,430,516,673
2006,Chapman,349,430,516,673,742
2006,Connor UT,349,430,516,673,742
2006,Crystal,349,430,516,673,742
2006,Cyr plantation,349,430,516,673,742
2006,Dyer Brook,349,430,516,673,742
2006,Eagle Lake,349,430,516,673,742
2006,Easton,349,430,516,673,742
2006,Fort Fairfield,349,430,516,673,742
2006,Fort Kent,349,430,516,673,742
2006,Frenchville,349,430,516,673,742
2006,Garfield plantation,349,430,516,673,742
2006,Glenwood plantation,349,430,516,673,742
2006,Grand Isle,349,430,516,673,742
2006,Hamlin,349,430,516,673,742
2006,Hammond,349,430,516,673,742
2006,Haynesville,349,430,516,673,742
2006,Hersey,349,430,516,673,742
2006,Hodgdon,349,430,516,673,742
2006,Houlton,349,430,516,673,742
2006,Island Falls,349,430,516,673,742
2006,Limestone,349,430,516,673,742
2006,Linneus,349,430,516,673,742
2006,Littleton,349,430,516,673,742
2006,Ludlow,349,430,516,673,742
2006,Macwahoc plantation,349,430,516,673,742
2006,Madawaska,349,430,516,673,742
2006,Mapleton,349,430,516,673,742
2006,Mars Hill,349,430,516,673,742
2006,Masardis,349,430,516,673,742
2006,Merrill,349,430,516,673,742
2006,Monticello,349,430,516,673,742
2006,Moro plantation,349,430,516,673,742
2006,Nashville plantation,349,430,516,673,742
2006,New Canada,349,430,516,673,742
2006,New Limerick,349,430,516,673,742
2006,New Sweden,349,430,516,673,742
2006,Northwest Aroostook,UT,349,430,516,673
2006,Oakfield,349,430,516,673,742
2006,Orient,349,430,516,673,742
2006,Oxbow plantation,349,430,516,673,742
