Year,County,0BR,1BR,2BR,3BR,4BR
2006,Allegany,354,429,503,679,792
2006,Anne Arundel,700,791,950,1220,1507
2006,Baltimore,700,791,950,1220,1507
2006,Calvert,948,1080,1225,1580,2068
2006,Caroline,480,497,581,786,807
2006,Carroll,700,791,950,1220,1507
2006,Cecil,649,742,886,1061,1262
2006,Charles,948,1080,1225,1580,2068
2006,Dorchester,362,436,555,749,770
2006,Frederick,948,1080,1225,1580,2068
2006,Garrett,327,405,503,649,860
2006,Harford,700,791,950,1220,1507
2006,Howard (ex.,Columbia,City),700,791,950
2006,Kent,541,542,652,800,1074
2006,Montgomery,948,1080,1225,1580,2068
2006,Prince George's,948,1080,1225,1580,2068
2006,Queen Anne's,700,791,950,1220,1507
2006,St. Mary's,694,720,938,1233,1623
2006,Somerset,424,451,531,657,863
2006,Talbot,565,566,681,921,973
2006,Washington,442,506,629,874,971
2006,Wicomico,430,534,628,778,892
2006,Worcester,518,539,624,911,970
2006,Baltimore city,Metro,700,791,950,1220
2007,Allegany,365,442,519,700,817
2007,Anne Arundel,694,784,941,1208,1492
2007,Baltimore,694,784,941,1208,1492
2007,Calvert,995,1134,1286,1659,2171
2007,Caroline,500,516,604,817,839
2007,Carroll,694,784,941,1208,1492
2007,Cecil,676,773,923,1105,1314
2007,Charles,995,1134,1286,1659,2171
2007,Dorchester,377,453,577,778,801
2007,Frederick,995,1134,1286,1659,2171
2007,Garrett,337,418,519,670,887
2007,Harford,694,784,941,1208,1492
2007,Howard (ex.,Columbia,City),694,784,941
2007,Kent,563,563,678,832,1117
2007,Montgomery,995,1134,1286,1659,2171
2007,Prince George's,995,1134,1286,1659,2171
2007,Queen Anne's,694,784,941,1208,1492
2007,St. Mary's,722,750,976,1282,1688
2007,Somerset,440,469,552,683,898
2007,Talbot,587,588,708,958,1012
2007,Washington,459,526,673,971,1002
2007,Wicomico,447,556,653,809,928
2007,Worcester,539,560,649,948,1009
2007,Baltimore city,Metro,694,784,941,1208
2008,Allegany,391,473,555,749,874
2008,Anne Arundel,747,844,1013,1301,1607
2008,Baltimore,747,844,1013,1301,1607
2008,Calvert,1025,1168,1324,1708,2235
2008,Caroline,590,610,714,965,992
2008,Carroll,747,844,1013,1301,1607
2008,Cecil,682,781,932,1116,1327
2008,Charles,1025,1168,1324,1708,2235
2008,Dorchester,444,534,680,917,944
2008,Frederick,1025,1168,1324,1708,2235
2008,Garrett,371,460,571,737,976
2008,Harford,747,844,1013,1301,1607
2008,Howard (ex.,Columbia,City),747,844,1013
2008,Kent,664,665,800,982,1318
2008,Montgomery,1025,1168,1324,1708,2235
2008,Prince George's,1025,1168,1324,1708,2235
2008,Queen Anne's,747,844,1013,1301,1607
2008,St. Mary's,747,775,1009,1326,1746
2008,Somerset,520,554,652,807,1060
2008,Talbot,692,694,835,1130,1193
2008,Washington,486,558,713,1029,1062
2008,Wicomico,527,655,770,954,1094
2008,Worcester,635,660,765,1117,1189
2008,Baltimore city,Metro,747,844,1013,1301
2009,Allegany,406,492,577,778,908
2009,Anne Arundel,748,868,1037,1315,1532
2009,Baltimore,748,868,1037,1315,1532
2009,Calvert,1002,1131,1288,1647,2157
2009,Caroline,624,646,755,1021,1049
2009,Carroll,748,868,1037,1315,1532
2009,Cecil,736,842,1005,1203,1431
2009,Charles,1002,1131,1288,1647,2157
2009,Dorchester,470,565,720,971,999
2009,Frederick,1002,1131,1288,1647,2157
2009,Garrett,393,486,604,779,1033
2009,Harford,748,868,1037,1315,1532
2009,Howard (ex.,Columbia,City),748,868,1037
2009,Kent,703,704,847,1039,1395
2009,Montgomery,1002,1131,1288,1647,2157
2009,Prince George's,1002,1131,1288,1647,2157
2009,Queen Anne's,748,868,1037,1315,1532
2009,St. Mary's,790,820,1068,1403,1848
2009,Somerset,551,586,690,854,1122
2009,Talbot,732,734,883,1195,1262
2009,Washington,521,597,764,1102,1138
2009,Wicomico,557,694,815,1010,1158
2009,Worcester,671,698,809,1181,1257
2009,Baltimore city,Metro,748,868,1037,1315
2010,Allegany,414,501,588,793,926
2010,Anne Arundel,887,1002,1203,1545,1908
2010,Baltimore,887,1002,1203,1545,1908
2010,Calvert,1156,1318,1494,1927,2522
2010,Caroline,642,663,776,1049,1078
2010,Carroll,887,1002,1203,1545,1908
2010,Cecil,803,915,1095,1339,1615
2010,Charles,1156,1318,1494,1927,2522
2010,Dorchester,483,580,739,997,1026
2010,Frederick,1156,1318,1494,1927,2522
2010,Garrett,403,499,620,800,1060
2010,Harford,887,1002,1203,1545,1908
2010,Howard (ex.,Columbia,City),887,1002,1203
2010,Kent,722,723,870,1067,1433
2010,Montgomery,1156,1318,1494,1927,2522
2010,Prince George's,1156,1318,1494,1927,2522
2010,Queen Anne's,887,1002,1203,1545,1908
2010,St. Mary's,812,842,1097,1441,1898
2010,Somerset,565,601,708,877,1151
2010,Talbot,751,753,906,1226,1295
2010,Washington,539,619,791,1141,1178
2010,Wicomico,573,712,837,1037,1189
2010,Worcester,689,716,830,1212,1290
2010,Baltimore city,Metro,887,1002,1203,1545
2011,Allegany,425,514,603,813,949
2011,Anne Arundel,931,1052,1263,1622,2003
2011,Baltimore,931,1052,1263,1622,2003
2011,Calvert,1131,1289,1461,1885,2466
2011,Caroline,676,699,817,1105,1135
2011,Carroll,931,1052,1263,1622,2003
2011,Cecil,789,900,1077,1317,1589
2011,Charles,1131,1289,1461,1885,2466
2011,Dorchester,509,612,779,1051,1081
2011,Frederick,1131,1289,1461,1885,2466
2011,Garrett,424,526,653,842,1117
2011,Harford,931,1052,1263,1622,2003
2011,Howard (ex.,Columbia,City),931,1052,1263
2011,Kent,760,761,916,1124,1509
2011,Montgomery,1131,1289,1461,1885,2466
2011,Prince George's,1131,1289,1461,1885,2466
2011,Queen Anne's,931,1052,1263,1622,2003
2011,St. Mary's,854,886,1154,1516,1996
2011,Somerset,595,633,745,922,1211
2011,Talbot,791,793,954,1291,1363
2011,Washington,568,651,833,1202,1240
2011,Wicomico,603,751,882,1093,1253
2011,Worcester,725,753,873,1275,1357
2011,Baltimore city,Metro,931,1052,1263,1622
2012,Allegany,411,498,584,788,919
2012,Anne Arundel,907,1025,1231,1581,1952
2012,Baltimore,907,1025,1231,1581,1952
2012,Calvert,1166,1328,1506,1943,2542
2012,Caroline,713,737,862,1165,1197
2012,Carroll,907,1025,1231,1581,1952
2012,Cecil,788,899,1075,1315,1586
2012,Charles,1166,1328,1506,1943,2542
2012,Dorchester,510,613,781,1054,1084
2012,Frederick,1166,1328,1506,1943,2542
2012,Garrett,380,470,584,753,999
2012,Harford,907,1025,1231,1581,1952
2012,Howard (ex.,Columbia,City),907,1025,1231
2012,Kent,696,697,839,1029,1382
2012,Montgomery,1166,1328,1506,1943,2542
2012,Prince George's,1166,1328,1506,1943,2542
2012,Queen Anne's,907,1025,1231,1581,1952
2012,St. Mary's,793,823,1071,1407,1853
2012,Somerset,584,621,732,906,1190
2012,Talbot,747,749,901,1219,1288
2012,Washington,574,658,842,1215,1254
2012,Wicomico,625,778,914,1132,1299
2012,Worcester,751,781,905,1321,1406
2012,Baltimore city,Metro,907,1025,1231,1581
2013,Allegany,451,533,632,860,980
2013,Anne Arundel,846,1000,1251,1598,1740
2013,Baltimore,846,1000,1251,1598,1740
2013,Calvert,1130,1191,1412,1890,2374
2013,Caroline,752,758,1025,1365,1533
2013,Carroll,846,1000,1251,1598,1740
2013,Cecil,788,929,1119,1394,1496
2013,Charles,1130,1191,1412,1890,2374
2013,Dorchester,720,754,927,1155,1239
2013,Frederick,1130,1191,1412,1890,2374
2013,Garrett,543,583,699,889,934
2013,Harford,846,1000,1251,1598,1740
2013,Howard (ex.,Columbia,City),846,1000,1251
2013,Kent,750,755,1022,1344,1810
2013,Montgomery,1130,1191,1412,1890,2374
2013,Prince George's,1130,1191,1412,1890,2374
2013,Queen Anne's,846,1000,1251,1598,1740
2013,St. Mary's,767,961,1139,1656,2011
2013,Somerset,426,604,716,900,989
2013,Talbot,893,899,1171,1458,2012
2013,Washington,528,642,831,1150,1167
2013,Wicomico,539,670,906,1166,1286
2013,Worcester,695,796,1057,1316,1604
2013,Baltimore city,Metro,846,1000,1251,1598
2014,Allegany,454,537,637,867,988
2014,Anne Arundel,847,1001,1252,1599,1741
2014,Baltimore,847,1001,1252,1599,1741
2014,Calvert,1176,1239,1469,1966,2470
2014,Caroline,654,659,891,1186,1332
2014,Carroll,847,1001,1252,1599,1741
2014,Cecil,799,942,1135,1414,1518
2014,Charles,1176,1239,1469,1966,2470
2014,Dorchester,658,689,847,1055,1132
2014,Frederick,1176,1239,1469,1966,2470
2014,Garrett,537,576,691,879,923
2014,Harford,847,1001,1252,1599,1741
2014,Howard (ex.,Columbia,City),847,1001,1252
2014,Kent,693,698,944,1241,1672
2014,Montgomery,1176,1239,1469,1966,2470
2014,Prince George's,1176,1239,1469,1966,2470
2014,Queen Anne's,847,1001,1252,1599,1741
2014,St. Mary's,819,1026,1216,1768,2147
2014,Somerset,414,587,696,875,962
2014,Talbot,808,814,1060,1320,1821
2014,Washington,616,748,968,1340,1359
2014,Wicomico,521,647,875,1126,1242
2014,Worcester,584,669,888,1106,1348
2014,Baltimore city,Metro,847,1001,1252,1599
2015,Allegany,459,542,643,875,997
2015,Anne Arundel,833,985,1232,1574,1713
2015,Baltimore,833,985,1232,1574,1713
2015,Calvert,1167,1230,1458,1951,2451
2015,Caroline,617,622,841,1120,1257
2015,Carroll,833,985,1232,1574,1713
2015,Cecil,814,959,1156,1440,1546
2015,Charles,1167,1230,1458,1951,2451
2015,Dorchester,649,680,836,1041,1117
2015,Frederick,1167,1230,1458,1951,2451
2015,Garrett,508,545,654,832,874
2015,Harford,833,985,1232,1574,1713
2015,Howard (ex.,Columbia,City),833,985,1232
2015,Kent,636,640,866,1139,1534
2015,Montgomery,1167,1230,1458,1951,2451
2015,Prince George's,1167,1230,1458,1951,2451
2015,Queen Anne's,833,985,1232,1574,1713
2015,St. Mary's,834,1045,1239,1801,2187
2015,Somerset,415,589,698,878,965
2015,Talbot,796,801,1043,1299,1792
2015,Washington,545,662,857,1186,1203
2015,Wicomico,549,681,922,1186,1308
2015,Worcester,580,663,881,1097,1337
2015,Baltimore city,Metro,833,985,1232,1574
2016,Allegany,450,569,658,908,1111
2016,Anne Arundel,851,1033,1298,1663,1934
2016,Baltimore,851,1033,1298,1663,1934
2016,Calvert,1307,1402,1623,2144,2726
2016,Caroline,620,624,835,1159,1257
2016,Carroll,851,1033,1298,1663,1934
2016,Cecil,830,1003,1210,1502,1659
2016,Charles,1307,1402,1623,2144,2726
2016,Dorchester,644,648,814,1088,1116
2016,Frederick,1307,1402,1623,2144,2726
2016,Garrett,431,551,688,854,1153
2016,Harford,851,1033,1298,1663,1934
2016,Howard,851,1033,1298,1663,1934
2016,Kent,640,645,863,1071,1507
2016,Montgomery,1307,1402,1623,2144,2726
2016,Prince George's,1307,1402,1623,2144,2726
2016,Queen Anne's,851,1033,1298,1663,1934
2016,St. Mary's,816,994,1155,1574,2017
2016,Somerset,499,621,719,1028,1033
2016,Talbot,668,810,1083,1344,1564
2016,Washington,554,678,898,1224,1502
2016,Wicomico,590,714,956,1196,1541
2016,Worcester,610,676,873,1190,1524
2016,Baltimore city,Metro,851,1033,1298,1663
2017,Allegany,511,592,683,934,1193
2017,Anne Arundel,903,1097,1376,1769,2072
2017,Baltimore,903,1097,1376,1769,2072
2017,Calvert,1440,1513,1746,2300,2855
2017,Caroline,702,706,939,1308,1450
2017,Carroll,903,1097,1376,1769,2072
2017,Cecil,845,1003,1211,1515,1686
2017,Charles,1440,1513,1746,2300,2855
2017,Dorchester,763,776,924,1250,1274
2017,Frederick,1440,1513,1746,2300,2855
2017,Garrett,482,606,759,982,1266
2017,Harford,903,1097,1376,1769,2072
2017,Howard,903,1097,1376,1769,2072
2017,Kent,840,846,1124,1406,1980
2017,Montgomery,1440,1513,1746,2300,2855
2017,Prince George's,1440,1513,1746,2300,2855
2017,Queen Anne's,903,1097,1376,1769,2072
2017,St. Mary's,887,1080,1260,1699,2167
2017,Somerset,496,636,734,1048,1052
2017,Talbot,895,901,1198,1499,1797
2017,Washington,551,658,868,1189,1487
2017,Wicomico,639,712,946,1193,1602
2017,Worcester,665,719,956,1260,1684
2017,Baltimore city,Metro,903,1097,1376,1769
2018,Allegany,527,606,697,957,1228
2018,Anne Arundel,918,1125,1411,1815,2108
2018,Baltimore,918,1125,1411,1815,2108
2018,Calvert,1504,1561,1793,2353,2902
2018,Caroline,683,688,915,1227,1429
2018,Carroll,918,1125,1411,1815,2108
2018,Cecil,883,1047,1266,1587,1787
2018,Charles,1504,1561,1793,2353,2902
2018,Dorchester,743,765,878,1191,1196
2018,Frederick,1504,1561,1793,2353,2902
2018,Garrett,468,579,733,975,1227
2018,Harford,918,1125,1411,1815,2108
2018,Howard,918,1125,1411,1815,2108
2018,Kent,791,796,1039,1303,1782
2018,Montgomery,1504,1561,1793,2353,2902
2018,Prince George's,1504,1561,1793,2353,2902
2018,Queen Anne's,918,1125,1411,1815,2108
2018,St. Mary's,938,1126,1329,1792,2263
2018,Somerset,505,664,763,1079,1083
2018,Talbot,806,872,1160,1485,1786
2018,Washington,582,695,913,1261,1608
2018,Wicomico,662,782,1001,1300,1710
2018,Worcester,670,761,1012,1305,1765
2018,Baltimore city,Metro,918,1125,1411,1815
2019,Allegany,513,593,700,948,1180
2019,Anne Arundel,862,1074,1342,1732,1992
2019,Baltimore,862,1074,1342,1732,1992
2019,Calvert,1415,1454,1665,2176,2678
2019,Caroline,725,730,965,1287,1535
2019,Carroll,862,1074,1342,1732,1992
2019,Cecil,840,992,1200,1503,1715
2019,Charles,1415,1454,1665,2176,2678
2019,Dorchester,754,773,886,1220,1283
2019,Frederick,1415,1454,1665,2176,2678
2019,Garrett,471,579,733,1012,1287
2019,Harford,862,1074,1342,1732,1992
2019,Howard,862,1074,1342,1732,1992
2019,Kent,790,795,1029,1299,1604
2019,Montgomery,1415,1454,1665,2176,2678
2019,Prince George's,1415,1454,1665,2176,2678
2019,Queen Anne's,862,1074,1342,1732,1992
2019,St. Mary's,874,1102,1325,1821,2287
2019,Somerset,552,718,822,1107,1111
2019,Talbot,837,878,1161,1546,1915
2019,Washington,621,742,967,1342,1698
2019,Wicomico,715,899,1113,1488,1902
2019,Worcester,725,816,1079,1396,1795
2019,Baltimore city,Metro,862,1074,1342,1732
2020,Allegany,519,587,714,961,1192
2020,Anne Arundel,897,1105,1376,1781,2037
2020,Baltimore,897,1105,1376,1781,2037
2020,Calvert,1457,1500,1707,2215,2707
2020,Caroline,727,732,964,1263,1514
2020,Carroll,897,1105,1376,1781,2037
2020,Cecil,864,1013,1226,1528,1754
2020,Charles,1457,1500,1707,2215,2707
2020,Dorchester,783,784,917,1268,1393
2020,Frederick,1457,1500,1707,2215,2707
2020,Garrett,477,588,732,1039,1285
2020,Harford,897,1105,1376,1781,2037
2020,Howard,897,1105,1376,1781,2037
2020,Kent,775,781,1028,1416,1526
2020,Montgomery,1457,1500,1707,2215,2707
2020,Prince George's,1457,1500,1707,2215,2707
2020,Queen Anne's,897,1105,1376,1781,2037
2020,St. Mary's,865,1091,1328,1856,2275
2020,Somerset,501,647,740,1030,1151
2020,Talbot,862,883,1163,1534,1975
2020,Washington,568,676,871,1238,1529
2020,Wicomico,652,810,1002,1365,1712
2020,Worcester,658,735,972,1257,1616
2020,Baltimore city,Metro,897,1105,1376,1781
2021,Allegany,499,587,734,965,1223
2021,Anne Arundel,917,1115,1384,1793,2053
2021,Baltimore,917,1115,1384,1793,2053
2021,Calvert,1513,1548,1765,2263,2742
2021,Caroline,677,711,937,1238,1524
2021,Carroll,917,1115,1384,1793,2053
2021,Cecil,900,1040,1260,1567,1796
2021,Charles,1513,1548,1765,2263,2742
2021,Dorchester,748,753,902,1240,1367
2021,Frederick,1513,1548,1765,2263,2742
2021,Garrett,484,604,734,1050,1271
