Year,County,0BR,1BR,2BR,3BR,4BR
2006,Barnstable,619,725,954,1138,1174
2006,Bourne,619,725,954,1138,1174
2006,Brewster,619,725,954,1138,1174
2006,Chatham,619,725,954,1138,1174
2006,Dennis,619,725,954,1138,1174
2006,Eastham,619,725,954,1138,1174
2006,Falmouth,619,725,954,1138,1174
2006,Harwich,619,725,954,1138,1174
2006,Mashpee,619,725,954,1138,1174
2006,Orleans,619,725,954,1138,1174
2006,Provincetown,619,725,954,1138,1174
2006,Sandwich,619,725,954,1138,1174
2006,Truro,619,725,954,1138,1174
2006,Wellfleet,619,725,954,1138,1174
2006,Yarmouth,619,725,954,1138,1174
2006,Adams,464,542,672,864,890
2006,Alford,491,551,636,871,895
2006,Becket,491,551,636,871,895
2006,Cheshire,464,542,672,864,890
2006,Clarksburg,491,551,636,871,895
2006,Dalton,464,542,672,864,890
2006,Egremont,491,551,636,871,895
2006,Florida,491,551,636,871,895
2006,Great Barrington,491,551,636,871,895
2006,Hancock,491,551,636,871,895
2006,Hinsdale,464,542,672,864,890
2006,Lanesborough,464,542,672,864,890
2006,Lee,464,542,672,864,890
2006,Lenox,464,542,672,864,890
2006,Monterey,491,551,636,871,895
2006,Mount Washington,491,551,636,871,895
2006,New Ashford,491,551,636,871,895
2006,New Marlborough,491,551,636,871,895
2006,North Adams,491,551,636,871,895
2006,Otis,491,551,636,871,895
2006,Peru,491,551,636,871,895
2006,Pittsfield,464,542,672,864,890
2006,Richmond,464,542,672,864,890
2006,Sandisfield,491,551,636,871,895
2006,Savoy,491,551,636,871,895
2006,Sheffield,491,551,636,871,895
2006,Stockbridge,464,542,672,864,890
2006,Tyringham,491,551,636,871,895
2006,Washington,491,551,636,871,895
2006,West Stockbridge,491,551,636,871,895
2006,Williamstown,491,551,636,871,895
2006,Windsor,491,551,636,871,895
2006,Acushnet,514,658,753,902,1217
2006,Attleboro,757,827,965,1155,1472
2006,Berkley,644,812,992,1217,1313
2006,Dartmouth,514,658,753,902,1217
2006,Dighton,644,812,992,1217,1313
2006,Easton,833,1103,1283,1534,2218
2006,Fairhaven,514,658,753,902,1217
2006,Fall River,757,827,965,1155,1472
2006,Freetown,514,658,753,902,1217
2006,Mansfield,644,812,992,1217,1313
2006,New Bedford,514,658,753,902,1217
2006,North Attleborough,757,827,965,1155,1472
2006,Norton,644,812,992,1217,1313
2006,Raynham,833,1103,1283,1534,2218
2006,Rehoboth,757,827,965,1155,1472
2006,Seekonk,757,827,965,1155,1472
2006,Somerset,757,827,965,1155,1472
2006,Swansea,757,827,965,1155,1472
2006,Taunton,644,812,992,1217,1313
2006,Westport,757,827,965,1155,1472
2006,Aquinnah,742,942,1121,1340,1381
2006,Chilmark,742,942,1121,1340,1381
2006,Edgartown,742,942,1121,1340,1381
2006,Gosnold,742,942,1121,1340,1381
2006,Oak Bluffs,742,942,1121,1340,1381
2006,Tisbury,742,942,1121,1340,1381
2006,West Tisbury,742,942,1121,1340,1381
2006,Amesbury,1063,1128,1324,1584,1740
2006,Andover,677,862,1042,1244,1283
2006,Beverly,1063,1128,1324,1584,1740
2006,Boxford,677,862,1042,1244,1283
2006,Danvers,1063,1128,1324,1584,1740
2006,Essex,1063,1128,1324,1584,1740
2006,Georgetown,677,862,1042,1244,1283
2006,Gloucester,1063,1128,1324,1584,1740
2006,Groveland,677,862,1042,1244,1283
2006,Hamilton,1063,1128,1324,1584,1740
2006,Haverhill,677,862,1042,1244,1283
2006,Ipswich,1063,1128,1324,1584,1740
2006,Lawrence,677,862,1042,1244,1283
2006,Lynn,1063,1128,1324,1584,1740
2006,Lynnfield,1063,1128,1324,1584,1740
2006,Manchester-by-the-Sea,1063,1128,1324,1584,1740
2006,Marblehead,1063,1128,1324,1584,1740
2006,Merrimac,677,862,1042,1244,1283
2006,Methuen,677,862,1042,1244,1283
2006,Middleton,1063,1128,1324,1584,1740
2006,Nahant,1063,1128,1324,1584,1740
2006,Newbury,1063,1128,1324,1584,1740
2006,Newburyport,1063,1128,1324,1584,1740
2006,North Andover,677,862,1042,1244,1283
2006,Peabody,1063,1128,1324,1584,1740
2006,Rockport,1063,1128,1324,1584,1740
2006,Rowley,1063,1128,1324,1584,1740
2006,Salem,1063,1128,1324,1584,1740
2006,Salisbury,1063,1128,1324,1584,1740
2006,Saugus,1063,1128,1324,1584,1740
2006,Swampscott,1063,1128,1324,1584,1740
2006,Topsfield,1063,1128,1324,1584,1740
2006,Wenham,1063,1128,1324,1584,1740
2006,West Newbury,677,862,1042,1244,1283
2006,Ashfield,471,550,681,908,1097
2006,Bernardston,471,550,681,908,1097
2006,Buckland,471,550,681,908,1097
2006,Charlemont,471,550,681,908,1097
2006,Colrain,471,550,681,908,1097
2006,Conway,471,550,681,908,1097
2006,Deerfield,471,550,681,908,1097
2006,Erving,471,550,681,908,1097
2006,Gill,471,550,681,908,1097
2006,Greenfield,471,550,681,908,1097
2006,Hawley,471,550,681,908,1097
2006,Heath,471,550,681,908,1097
2006,Leverett,471,550,681,908,1097
2006,Leyden,471,550,681,908,1097
2006,Monroe,471,550,681,908,1097
2006,Montague,471,550,681,908,1097
2006,New Salem,471,550,681,908,1097
2006,Northfield,471,550,681,908,1097
2006,Orange,471,550,681,908,1097
2006,Rowe,471,550,681,908,1097
2006,Shelburne,471,550,681,908,1097
2006,Shutesbury,471,550,681,908,1097
2006,Sunderland,529,629,799,956,1110
2006,Warwick,471,550,681,908,1097
2006,Wendell,471,550,681,908,1097
2006,Whately,471,550,681,908,1097
2006,Agawam,529,629,799,956,1110
2006,Blandford,529,629,799,956,1110
2006,Brimfield,529,629,799,956,1110
2006,Chester,529,629,799,956,1110
2006,Chicopee,529,629,799,956,1110
2006,East Longmeadow,529,629,799,956,1110
2006,Granville,529,629,799,956,1110
2006,Hampden,529,629,799,956,1110
2006,Holland,529,629,799,956,1110
2006,Holyoke,529,629,799,956,1110
2006,Longmeadow,529,629,799,956,1110
2006,Ludlow,529,629,799,956,1110
2006,Monson,529,629,799,956,1110
2006,Montgomery,529,629,799,956,1110
2006,Palmer,529,629,799,956,1110
2006,Russell,529,629,799,956,1110
2006,Southwick,529,629,799,956,1110
