Year,County,0BR,1BR,2BR,3BR,4BR
2006,Alcona,356,412,504,679,719
2006,Alger,332,422,503,620,698
2006,Allegan,423,510,611,766,821
2006,Alpena,397,451,503,695,768
2006,Antrim,440,441,532,739,933
2006,Arenac,400,422,503,673,745
2006,Baraga,332,422,503,620,698
2006,Barry,368,464,567,817,899
2006,Bay,390,436,530,708,728
2006,Benzie,544,545,660,824,848
2006,Berrien,415,465,567,693,890
2006,Branch,422,450,592,710,730
2006,Calhoun,422,484,592,721,742
2006,Cass,411,469,519,688,799
2006,Charlevoix,461,499,553,795,821
2006,Cheboygan,355,413,510,685,720
2006,Chippewa,336,418,516,625,701
2006,Clare,369,383,503,678,698
2006,Clinton,490,532,659,835,905
2006,Crawford,355,413,515,679,719
2006,Delta,349,415,503,662,702
2006,Dickinson,327,397,503,607,826
2006,Eaton,490,532,659,835,905
2006,Emmet,387,476,593,799,846
2006,Genesee,494,521,626,776,800
2006,Gladwin,400,422,503,673,745
2006,Gogebic,347,415,503,615,731
2006,Grand Traverse,556,557,698,914,942
2006,Gratiot,420,421,503,670,749
2006,Hillsdale,355,437,521,733,801
2006,Houghton,358,418,503,654,749
2006,Huron,418,421,503,667,810
2006,Ingham,490,532,659,835,905
2006,Ionia,392,455,555,664,740
2006,Iosco,410,435,503,731,759
2006,Iron,347,415,503,615,731
2006,Isabella,417,451,503,724,790
2006,Jackson,442,493,588,731,753
2006,Kalamazoo,472,504,612,813,849
2006,Kalkaska,436,474,526,639,659
2006,Kent,528,564,679,866,908
2006,Keweenaw,347,415,503,615,731
2006,Lake,385,421,503,658,792
2006,Lapeer,565,644,770,921,949
2006,Leelanau,544,545,660,824,848
2006,Lenawee,420,527,647,826,901
2006,Livingston,670,706,831,1198,1458
2006,Luce,347,424,503,660,719
2006,Mackinac,336,418,517,624,679
2006,Macomb,565,644,770,921,949
2006,Manistee,405,419,550,658,738
2006,Marquette,326,423,503,633,688
2006,Mason,327,384,503,658,723
2006,Mecosta,371,441,534,710,936
2006,Menominee,418,419,503,663,885
2006,Midland,412,469,578,796,851
2006,Missaukee,390,469,553,727,799
2006,Monroe,599,601,723,944,1040
2006,Montcalm,391,454,519,701,722
2006,Montmorency,356,413,516,680,719
2006,Muskegon,393,410,533,705,725
2006,Newaygo,432,456,521,705,725
2006,Oakland,565,644,770,921,949
2006,Oceana,367,425,507,613,654
2006,Ogemaw,387,406,503,650,719
2006,Ontonagon,347,415,503,615,731
2006,Osceola,417,418,503,689,868
2006,Oscoda,356,412,504,679,719
2006,Otsego,415,485,638,765,804
2006,Ottawa,532,541,649,898,970
2006,Presque Isle,356,412,504,679,719
2006,Roscommon,417,420,503,653,804
2006,Saginaw,408,467,590,707,726
2006,St. Clair,565,644,770,921,949
2006,St. Joseph,419,467,551,680,763
2006,Sanilac,419,452,503,708,728
2006,Schoolcraft,347,424,503,660,719
2006,Shiawassee,363,446,556,766,853
2006,Tuscola,366,418,530,636,761
2006,Van Buren,472,504,612,813,849
2006,Washtenaw,669,750,913,1149,1182
2006,Wayne,565,644,770,921,949
2006,Wexford,355,469,547,724,798
2007,Alcona,366,424,519,699,740
2007,Alger,343,435,519,640,720
2007,Allegan,435,525,629,788,845
2007,Alpena,410,466,519,717,793
2007,Antrim,453,454,548,762,961
2007,Arenac,413,435,519,694,769
2007,Baraga,343,435,519,640,720
2007,Barry,379,478,584,842,926
2007,Bay,402,449,546,729,750
2007,Benzie,560,561,680,849,874
2007,Berrien,427,479,584,714,916
2007,Branch,434,464,610,731,752
2007,Calhoun,434,498,610,743,765
2007,Cass,423,484,535,709,823
2007,Charlevoix,475,514,570,820,846
2007,Cheboygan,366,425,525,705,741
2007,Chippewa,346,431,532,645,722
2007,Clare,380,395,519,699,720
2007,Clinton,505,549,679,860,933
2007,Crawford,366,426,531,700,742
2007,Delta,360,429,519,683,724
2007,Dickinson,337,410,519,626,853
2007,Eaton,505,549,679,860,933
2007,Emmet,398,491,611,824,871
2007,Genesee,512,541,649,804,829
2007,Gladwin,413,435,519,694,769
2007,Gogebic,358,428,519,635,755
2007,Grand Traverse,572,574,719,941,971
2007,Gratiot,433,434,519,692,773
2007,Hillsdale,366,451,537,755,825
2007,Houghton,369,432,519,675,773
2007,Huron,431,434,519,688,836
2007,Ingham,505,549,679,860,933
2007,Ionia,404,469,572,685,762
2007,Iosco,424,449,519,755,783
2007,Iron,358,428,519,635,755
2007,Isabella,431,466,519,747,815
2007,Jackson,455,508,606,753,776
2007,Kalamazoo,486,518,630,837,874
2007,Kalkaska,449,488,542,658,679
2007,Kent,544,581,700,893,936
2007,Keweenaw,358,428,519,635,755
2007,Lake,398,434,519,679,817
2007,Lapeer,582,663,793,948,978
2007,Leelanau,560,561,680,849,874
2007,Lenawee,434,544,668,852,930
2007,Livingston,690,728,856,1234,1502
2007,Luce,358,438,519,681,742
2007,Mackinac,346,431,533,643,700
2007,Macomb,582,663,793,948,978
2007,Manistee,417,432,567,679,761
2007,Marquette,336,436,519,653,709
2007,Mason,337,397,519,679,746
2007,Mecosta,382,454,550,731,964
2007,Menominee,431,432,519,685,913
2007,Midland,424,483,595,820,876
2007,Missaukee,402,483,570,749,823
2007,Monroe,617,619,745,973,1071
2007,Montcalm,403,468,535,722,745
2007,Montmorency,367,426,532,701,742
2007,Muskegon,405,423,549,726,747
2007,Newaygo,445,470,537,727,748
2007,Oakland,582,663,793,948,978
2007,Oceana,378,438,522,632,673
2007,Ogemaw,399,419,519,671,742
2007,Ontonagon,358,428,519,635,755
2007,Osceola,431,432,519,711,895
2007,Oscoda,366,424,519,699,740
2007,Otsego,428,499,657,788,828
2007,Ottawa,549,557,669,926,999
2007,Presque Isle,366,424,519,699,740
2007,Roscommon,431,433,519,674,830
2007,Saginaw,421,482,608,728,748
2007,St. Clair,582,663,793,948,978
2007,St. Joseph,432,482,568,701,786
2007,Sanilac,432,466,519,731,751
2007,Schoolcraft,358,438,519,681,742
2007,Shiawassee,374,460,573,789,880
2007,Tuscola,377,430,546,655,784
2007,Van Buren,486,518,630,837,874
2007,Washtenaw,685,768,934,1175,1210
2007,Wayne,582,663,793,948,978
2007,Wexford,366,484,564,746,822
2008,Alcona,395,458,560,754,799
2008,Alger,367,465,555,684,770
2008,Allegan,471,567,680,852,914
2008,Alpena,438,498,555,766,847
2008,Antrim,489,490,591,821,1037
2008,Arenac,441,465,555,743,822
2008,Baraga,367,465,555,684,770
2008,Barry,411,519,634,914,1006
2008,Bay,435,486,591,789,812
2008,Benzie,605,606,734,917,943
2008,Berrien,463,518,632,773,992
2008,Branch,468,500,658,789,811
2008,Calhoun,471,541,662,806,830
2008,Cass,457,523,578,766,890
2008,Charlevoix,513,555,615,884,913
2008,Cheboygan,395,458,566,760,799
2008,Chippewa,374,465,574,696,779
2008,Clare,407,422,555,748,770
2008,Clinton,550,597,739,936,1015
2008,Crawford,395,460,573,756,800
2008,Delta,385,458,555,730,774
2008,Dickinson,361,438,555,669,912
2008,Eaton,550,597,739,936,1015
2008,Emmet,430,529,659,888,940
2008,Genesee,495,522,627,777,801
2008,Gladwin,441,465,555,743,822
2008,Gogebic,383,458,555,679,807
2008,Grand Traverse,618,619,776,1016,1048
2008,Gratiot,463,464,555,740,826
2008,Hillsdale,396,487,580,815,891
2008,Houghton,395,462,555,722,827
2008,Huron,461,464,555,736,894
2008,Ingham,550,597,739,936,1015
2008,Ionia,438,508,619,741,825
2008,Iosco,453,480,555,807,837
2008,Iron,383,458,555,679,807
2008,Isabella,461,498,555,799,872
2008,Jackson,492,549,655,814,838
2008,Kalamazoo,507,541,657,873,911
2008,Kalkaska,485,527,585,710,732
2008,Kent,545,583,702,896,939
2008,Keweenaw,383,458,555,679,807
2008,Lake,428,468,559,732,880
2008,Lapeer,591,673,805,963,993
2008,Leelanau,605,606,734,917,943
2008,Lenawee,452,567,696,888,969
2008,Livingston,721,760,894,1289,1569
2008,Luce,383,468,555,728,794
2008,Mackinac,374,465,575,693,756
2008,Macomb,591,673,805,963,993
2008,Manistee,450,466,611,731,820
2008,Marquette,360,467,555,698,759
2008,Mason,361,424,555,726,798
2008,Mecosta,412,491,594,789,1041
2008,Menominee,461,462,555,732,976
2008,Midland,459,522,644,887,948
2008,Missaukee,434,522,615,808,888
2008,Monroe,645,647,779,1017,1120
2008,Montcalm,436,505,578,780,805
2008,Montmorency,395,459,574,756,800
2008,Muskegon,438,457,594,785,808
2008,Newaygo,482,510,582,787,810
2008,Oakland,591,673,805,963,993
2008,Oceana,408,472,563,681,726
2008,Ogemaw,427,448,555,717,793
