Year,County,0BR,1BR,2BR,3BR,4BR
2006,Aitkin,361,424,557,695,752
2006,Anoka,598,705,855,1119,1258
2006,Becker,326,386,503,630,654
2006,Beltrami,349,413,525,722,921
2006,Benton,428,472,565,799,928
2006,Big Stone,326,397,503,643,665
2006,Blue Earth,411,514,594,855,1045
2006,Brown,372,423,508,608,625
2006,Carlton,351,427,539,677,862
2006,Carver,598,705,855,1119,1258
2006,Cass,326,417,503,634,653
2006,Chippewa,385,419,503,602,621
2006,Chisago,598,705,855,1119,1258
2006,Clay,373,443,563,812,939
2006,Clearwater,352,397,503,635,882
2006,Cook,326,414,503,630,649
2006,Cottonwood,368,402,503,641,671
2006,Crow Wing,372,435,574,736,861
2006,Dakota,598,705,855,1119,1258
2006,Dodge,520,556,730,947,988
2006,Douglas,355,423,532,771,843
2006,Faribault,368,402,503,641,671
2006,Fillmore,346,417,520,679,851
2006,Freeborn,326,382,503,600,791
2006,Goodhue,402,472,620,789,854
2006,Grant,326,397,503,643,665
2006,Hennepin,598,705,855,1119,1258
2006,Houston,359,420,553,734,901
2006,Hubbard,352,397,503,635,882
2006,Isanti,598,705,855,1119,1258
2006,Itasca,340,420,523,633,743
2006,Jackson,368,402,503,641,671
2006,Kanabec,393,461,606,756,817
2006,Kandiyohi,405,415,515,694,715
2006,Kittson,331,396,503,640,750
2006,Koochiching,326,417,503,634,653
2006,Lac qui,Parle,385,419,503,602
2006,Lake,326,414,503,630,649
2006,Lake of,the,Woods,352,397,503
2006,Le Sueur,447,461,555,773,797
2006,Lincoln,385,419,503,602,621
2006,Lyon,384,431,530,661,680
2006,McLeod,468,469,581,832,859
2006,Mahnomen,352,397,503,635,882
2006,Marshall,331,396,503,640,750
2006,Martin,417,418,503,730,752
2006,Meeker,404,447,519,678,698
2006,Mille Lacs,423,435,573,710,788
2006,Morrison,336,400,517,618,907
2006,Mower,337,394,503,625,644
2006,Murray,368,402,503,641,671
2006,Nicollet,466,478,562,737,760
2006,Nobles,331,414,503,667,688
2006,Norman,331,396,503,640,750
2006,Olmsted,520,556,730,947,988
2006,Otter Tail,328,390,503,613,632
2006,Pennington,328,387,503,635,694
2006,Pine,403,437,564,737,760
2006,Pipestone,368,402,503,641,671
2006,Polk,363,456,559,708,963
2006,Pope,326,397,503,643,665
2006,Ramsey,598,705,855,1119,1258
2006,Red Lake,331,396,503,640,750
2006,Redwood,385,419,503,602,621
2006,Renville,404,421,519,678,698
2006,Rice,489,511,672,803,933
2006,Rock,368,402,503,641,671
2006,Roseau,326,388,503,627,734
2006,St. Louis,351,427,539,677,862
2006,Scott,598,705,855,1119,1258
2006,Sherburne,598,705,855,1119,1258
2006,Sibley,404,421,519,678,698
2006,Stearns,428,472,565,799,928
2006,Steele,391,474,599,754,982
2006,Stevens,327,410,503,606,818
2006,Swift,326,397,503,643,665
2006,Todd,363,408,504,608,808
2006,Traverse,326,397,503,643,665
2006,Wabasha,358,398,510,638,896
2006,Wadena,363,408,504,608,808
2006,Waseca,361,424,557,666,696
2006,Washington,598,705,855,1119,1258
2006,Watonwan,368,402,503,641,671
2006,Wilkin,326,397,503,643,665
2006,Winona,367,433,565,781,991
2006,Wright,598,705,855,1119,1258
2006,Yellow Medicine,385,419,503,602,621
2007,Aitkin,372,437,574,716,775
2007,Anoka,600,707,858,1123,1262
2007,Becker,336,399,519,650,675
2007,Beltrami,360,425,541,744,949
2007,Benton,441,486,582,823,956
2007,Big Stone,336,409,519,663,686
2007,Blue Earth,424,530,612,881,1077
2007,Brown,383,436,523,626,644
2007,Carlton,361,440,555,697,888
2007,Carver,600,707,858,1123,1262
2007,Cass,337,431,519,654,674
2007,Chippewa,398,432,519,621,640
2007,Chisago,600,707,858,1123,1262
2007,Clay,384,456,580,837,967
2007,Clearwater,363,409,519,655,910
2007,Cook,337,428,519,650,670
2007,Cottonwood,380,415,519,662,692
2007,Crow Wing,383,448,591,758,887
2007,Dakota,600,707,858,1123,1262
2007,Dodge,536,572,752,975,1018
2007,Douglas,366,436,548,794,869
2007,Faribault,380,415,519,662,692
2007,Fillmore,357,430,536,699,877
2007,Freeborn,337,394,519,619,816
2007,Goodhue,415,486,639,813,880
2007,Grant,336,409,519,663,686
2007,Hennepin,600,707,858,1123,1262
2007,Houston,370,433,570,756,929
2007,Hubbard,363,409,519,655,910
2007,Isanti,600,707,858,1123,1262
2007,Itasca,350,433,539,653,765
2007,Jackson,380,415,519,662,692
2007,Kanabec,405,475,624,779,842
2007,Kandiyohi,417,428,531,715,738
2007,Kittson,342,409,519,661,774
2007,Koochiching,337,431,519,654,674
2007,Lac qui,Parle,398,432,519,621
2007,Lake,337,428,519,650,670
2007,Lake of,the,Woods,363,409,519
2007,Le Sueur,460,475,572,796,821
2007,Lincoln,398,432,519,621,640
2007,Lyon,395,444,546,681,701
2007,McLeod,482,483,599,858,885
2007,Mahnomen,363,409,519,655,910
2007,Marshall,342,409,519,661,774
2007,Martin,430,431,519,754,776
2007,Meeker,416,461,535,699,719
2007,Mille Lacs,435,448,590,731,812
2007,Morrison,346,412,533,637,935
2007,Mower,347,407,519,645,664
2007,Murray,380,415,519,662,692
2007,Nicollet,480,493,579,759,783
2007,Nobles,342,428,519,689,710
2007,Norman,342,409,519,661,774
2007,Olmsted,536,572,752,975,1018
2007,Otter Tail,338,402,519,633,652
2007,Pennington,339,399,519,655,716
2007,Pine,415,450,581,759,783
2007,Pipestone,380,415,519,662,692
2007,Polk,374,469,576,730,992
2007,Pope,336,409,519,663,686
2007,Ramsey,600,707,858,1123,1262
2007,Red Lake,342,409,519,661,774
2007,Redwood,398,432,519,621,640
2007,Renville,416,434,535,699,719
2007,Rice,504,526,692,827,961
2007,Rock,380,415,519,662,692
2007,Roseau,337,400,519,647,757
2007,St. Louis,361,440,555,697,888
2007,Scott,600,707,858,1123,1262
2007,Sherburne,600,707,858,1123,1262
2007,Sibley,416,434,535,699,719
2007,Stearns,441,486,582,823,956
2007,Steele,402,489,617,776,1012
2007,Stevens,337,424,519,625,844
2007,Swift,336,409,519,663,686
2007,Todd,374,420,519,626,832
2007,Traverse,336,409,519,663,686
2007,Wabasha,368,410,525,657,922
2007,Wadena,374,420,519,626,832
2007,Waseca,372,437,574,687,718
2007,Washington,600,707,858,1123,1262
2007,Watonwan,380,415,519,662,692
2007,Wilkin,336,409,519,663,686
2007,Winona,378,446,582,804,1021
2007,Wright,600,707,858,1123,1262
2007,Yellow Medicine,398,432,519,621,640
2008,Aitkin,405,476,625,780,844
2008,Anoka,593,699,848,1110,1247
2008,Becker,360,426,555,695,722
2008,Beltrami,392,463,589,810,1034
2008,Benton,482,531,636,899,1044
2008,Big Stone,360,438,555,709,734
2008,Blue Earth,462,578,668,961,1175
2008,Brown,418,476,571,683,703
2008,Carlton,394,480,605,760,968
2008,Carver,593,699,848,1110,1247
2008,Cass,362,463,558,704,724
2008,Chippewa,425,462,555,664,685
2008,Chisago,593,699,848,1110,1247
2008,Clay,394,468,595,859,992
2008,Clearwater,391,442,560,707,982
2008,Cook,365,463,562,704,725
2008,Cottonwood,406,444,555,708,740
2008,Crow Wing,417,488,644,826,966
2008,Dakota,593,699,848,1110,1247
2008,Dodge,586,626,822,1066,1113
2008,Douglas,399,475,597,865,946
2008,Faribault,406,444,555,708,740
2008,Fillmore,389,468,584,762,956
2008,Freeborn,360,422,555,662,872
2008,Goodhue,452,530,696,886,958
2008,Grant,360,438,555,709,734
2008,Hennepin,593,699,848,1110,1247
2008,Houston,398,466,613,813,999
2008,Hubbard,391,442,560,707,982
2008,Isanti,593,699,848,1110,1247
2008,Itasca,382,472,588,712,835
2008,Jackson,406,444,555,708,740
2008,Kanabec,434,509,669,835,902
2008,Kandiyohi,454,466,578,779,803
2008,Kittson,365,437,555,707,828
2008,Koochiching,362,463,558,704,724
2008,Lac qui,Parle,425,462,555,664
2008,Lake,365,463,562,704,725
2008,Lake of,the,Woods,391,442,560
2008,Le Sueur,502,518,623,867,895
2008,Lincoln,425,462,555,664,685
2008,Lyon,432,485,596,743,765
2008,McLeod,525,526,652,934,964
2008,Mahnomen,391,442,560,707,982
2008,Marshall,365,437,555,707,828
2008,Martin,460,461,555,806,830
2008,Meeker,454,503,583,762,784
2008,Mille Lacs,468,481,634,786,872
2008,Morrison,378,449,581,695,1020
2008,Mower,371,435,555,689,710
2008,Murray,406,444,555,708,740
2008,Nicollet,523,537,631,827,854
2008,Nobles,365,457,555,736,759
2008,Norman,365,437,555,707,828
2008,Olmsted,586,626,822,1066,1113
2008,Otter Tail,362,430,555,677,697
2008,Pennington,362,427,555,701,765
2008,Pine,453,491,634,828,855
2008,Pipestone,406,444,555,708,740
2008,Polk,382,480,589,746,1014
2008,Pope,360,438,555,709,734
2008,Ramsey,593,699,848,1110,1247
2008,Red Lake,365,437,555,707,828
2008,Redwood,425,462,555,664,685
2008,Renville,454,473,583,762,784
2008,Rice,550,574,755,902,1049
2008,Rock,406,444,555,708,740
2008,Roseau,365,433,562,701,820
2008,St. Louis,394,480,605,760,968
2008,Scott,593,699,848,1110,1247
2008,Sherburne,593,699,848,1110,1247
2008,Sibley,454,473,583,762,784
2008,Stearns,482,531,636,899,1044
2008,Steele,439,533,673,847,1104
2008,Stevens,364,457,560,675,911
2008,Swift,360,438,555,709,734
2008,Todd,408,458,566,683,908
2008,Traverse,360,438,555,709,734
2008,Wabasha,401,446,572,716,1004
2008,Wadena,408,458,566,683,908
2008,Waseca,405,476,625,748,781
2008,Washington,593,699,848,1110,1247
2008,Watonwan,406,444,555,708,740
2008,Wilkin,360,438,555,709,734
2008,Winona,412,487,635,878,1114
2008,Wright,593,699,848,1110,1247
2008,Yellow Medicine,425,462,555,664,685
2009,Aitkin,416,489,642,801,867
2009,Anoka,610,719,873,1143,1284
2009,Becker,374,443,577,722,751
2009,Beltrami,402,476,605,832,1062
2009,Benton,495,545,653,923,1072
2009,Big Stone,374,455,577,737,763
2009,Blue Earth,475,594,686,987,1207
2009,Brown,430,489,587,703,723
2009,Carlton,404,492,621,780,994
2009,Carver,610,719,873,1143,1284
2009,Cass,374,479,577,728,749
2009,Chippewa,442,481,577,690,712
2009,Chisago,610,719,873,1143,1284
2009,Clay,410,487,620,895,1034
2009,Clearwater,403,455,577,728,1012
2009,Cook,374,475,577,723,744
2009,Cottonwood,422,462,577,736,770
2009,Crow Wing,429,502,662,849,993
2009,Dakota,610,719,873,1143,1284
2009,Dodge,602,642,844,1095,1143
2009,Douglas,409,487,613,888,972
2009,Faribault,422,462,577,736,770
2009,Fillmore,400,481,600,783,982
2009,Freeborn,374,439,577,688,907
2009,Goodhue,464,544,715,910,985
2009,Grant,374,455,577,737,763
2009,Hennepin,610,719,873,1143,1284
2009,Houston,407,477,627,832,1022
2009,Hubbard,403,455,577,728,1012
2009,Isanti,610,719,873,1143,1284
2009,Itasca,393,486,605,733,859
2009,Jackson,422,462,577,736,770
2009,Kanabec,446,523,687,857,927
2009,Kandiyohi,467,479,594,800,825
2009,Kittson,380,455,577,735,861
2009,Koochiching,374,479,577,728,749
2009,Lac qui,Parle,442,481,577,690
2009,Lake,374,475,577,723,744
2009,Lake of,the,Woods,403,455,577
2009,Le Sueur,515,532,640,891,919
2009,Lincoln,442,481,577,690,712
2009,Lyon,443,498,612,763,785
2009,McLeod,539,541,670,959,990
2009,Mahnomen,403,455,577,728,1012
2009,Marshall,380,455,577,735,861
2009,Martin,478,479,577,838,863
2009,Meeker,466,516,599,783,805
2009,Mille Lacs,480,494,651,807,896
2009,Morrison,388,461,597,714,1048
2009,Mower,386,452,577,717,739
2009,Murray,422,462,577,736,770
2009,Nicollet,538,552,649,851,878
2009,Nobles,380,475,577,766,789
2009,Norman,380,455,577,735,861
2009,Olmsted,602,642,844,1095,1143
2009,Otter Tail,376,447,577,703,725
2009,Pennington,377,444,577,729,796
2009,Pine,465,504,651,850,878
2009,Pipestone,422,462,577,736,770
2009,Polk,398,500,613,777,1056
2009,Pope,374,455,577,737,763
2009,Ramsey,610,719,873,1143,1284
2009,Red Lake,380,455,577,735,861
2009,Redwood,442,481,577,690,712
2009,Renville,466,486,599,783,805
2009,Rice,565,590,776,927,1078
2009,Rock,422,462,577,736,770
2009,Roseau,374,445,577,720,842
2009,St. Louis,404,492,621,780,994
2009,Scott,610,719,873,1143,1284
2009,Sherburne,610,719,873,1143,1284
2009,Sibley,466,486,599,783,805
2009,Stearns,495,545,653,923,1072
2009,Steele,451,548,692,871,1135
2009,Stevens,375,471,577,695,939
2009,Swift,374,455,577,737,763
2009,Todd,418,470,581,701,932
2009,Traverse,374,455,577,737,763
2009,Wabasha,412,459,588,736,1033
2009,Wadena,418,470,581,701,932
2009,Waseca,416,489,642,768,803
2009,Washington,610,719,873,1143,1284
2009,Watonwan,422,462,577,736,770
2009,Wilkin,374,455,577,737,763
2009,Winona,423,500,652,901,1144
2009,Wright,610,719,873,1143,1284
2009,Yellow Medicine,442,481,577,690,712
2010,Aitkin,421,495,650,811,878
2010,Anoka,628,741,899,1177,1322
2010,Becker,381,452,588,736,765
2010,Beltrami,408,482,613,843,1076
2010,Benton,502,553,662,936,1087
2010,Big Stone,381,464,588,751,777
2010,Blue Earth,504,587,682,951,1103
2010,Brown,435,495,594,711,731
2010,Carlton,409,499,629,790,1006
2010,Carver,628,741,899,1177,1322
2010,Cass,382,488,588,741,763
2010,Chippewa,450,490,588,703,726
2010,Chisago,628,741,899,1177,1322
2010,Clay,416,494,628,906,1048
2010,Clearwater,411,464,588,742,1031
2010,Cook,382,485,588,737,759
2010,Cottonwood,430,470,588,750,784
2010,Crow Wing,435,509,671,861,1007
2010,Dakota,628,741,899,1177,1322
2010,Dodge,610,651,855,1109,1158
2010,Douglas,415,494,621,900,984
2010,Faribault,430,470,588,750,784
2010,Fillmore,404,487,607,792,994
2010,Freeborn,382,447,588,701,924
2010,Goodhue,470,551,724,922,997
2010,Grant,381,464,588,751,777
2010,Hennepin,628,741,899,1177,1322
2010,Houston,412,483,635,843,1035
2010,Hubbard,411,464,588,742,1031
2010,Isanti,628,741,899,1177,1322
2010,Itasca,398,492,613,742,870
2010,Jackson,430,470,588,750,784
2010,Kanabec,452,530,696,869,939
2010,Kandiyohi,473,485,602,811,836
2010,Kittson,387,463,588,749,877
