Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,313,433,481,577,826
2006,Alcorn,378,408,455,632,800
2006,Amite,364,409,455,550,625
2006,Attala,373,384,455,610,763
2006,Benton,415,465,515,618,634
2006,Bolivar,370,418,481,577,846
2006,Calhoun,373,384,455,610,763
2006,Carroll,307,344,455,604,632
2006,Chickasaw,343,421,493,591,621
2006,Choctaw,373,384,455,610,763
2006,Claiborne,378,379,455,571,669
2006,Clarke,378,420,483,632,654
2006,Clay,377,379,455,663,684
2006,Coahoma,387,400,528,631,927
2006,Copiah,468,528,613,737,760
2006,Covington,378,379,455,571,669
2006,DeSoto,527,572,636,847,874
2006,Forrest,389,444,528,769,794
2006,Franklin,364,409,455,550,625
2006,George,427,489,587,808,867
2006,Greene,345,369,455,594,626
2006,Grenada,354,389,455,641,763
2006,Hancock,497,526,615,801,823
2006,Harrison,497,526,615,801,823
2006,Hinds,468,528,613,737,760
2006,Holmes,383,443,493,590,618
2006,Humphreys,307,344,455,604,632
2006,Issaquena,383,443,493,590,618
2006,Itawamba,295,402,455,601,710
2006,Jackson,427,489,587,808,867
2006,Jasper,358,386,455,547,582
2006,Jefferson,378,379,455,571,669
2006,Jefferson Davis,378,379,455,571,669
2006,Jones,308,357,455,599,619
2006,Kemper,378,420,483,632,654
2006,Lafayette,407,481,593,710,731
2006,Lamar,389,444,528,769,794
2006,Lauderdale,383,429,503,691,713
2006,Lawrence,378,379,455,571,669
2006,Leake,358,386,455,547,582
2006,Lee,413,430,496,677,763
2006,Leflore,295,346,455,604,711
2006,Lincoln,332,410,455,624,799
2006,Lowndes,397,407,477,693,715
2006,Madison,468,528,613,737,760
2006,Marion,358,406,455,597,680
2006,Marshall,295,369,455,664,685
2006,Monroe,377,402,455,569,609
2006,Montgomery,373,384,455,610,763
2006,Neshoba,294,397,455,541,796
2006,Newton,378,420,483,632,654
2006,Noxubee,383,397,462,633,675
2006,Oktibbeha,361,438,534,696,716
2006,Panola,295,409,455,545,628
2006,Pearl River,400,401,480,586,826
2006,Perry,389,444,528,769,794
2006,Pike,377,409,455,599,617
2006,Pontotoc,377,378,455,619,637
2006,Prentiss,296,344,455,546,562
2006,Quitman,370,396,467,559,701
2006,Rankin,468,528,613,737,760
2006,Scott,378,402,455,545,587
2006,Sharkey,383,443,493,590,618
2006,Simpson,377,398,455,545,787
2006,Smith,358,386,455,547,582
2006,Stone,497,526,615,801,823
2006,Sunflower,330,406,455,648,669
2006,Tallahatchie,307,344,455,604,632
2006,Tate,356,413,459,643,806
2006,Tippah,378,410,455,592,738
2006,Tishomingo,295,384,455,571,591
2006,Tunica,388,467,598,718,881
2006,Union,308,428,474,567,687
2006,Walthall,364,409,455,550,625
2006,Warren,462,507,566,676,697
2006,Washington,313,408,481,624,763
2006,Wayne,345,369,455,594,626
2006,Webster,373,384,455,610,763
2006,Wilkinson,364,409,455,550,625
2006,Winston,343,421,493,591,621
2006,Yalobusha,373,384,455,610,763
2006,Yazoo,377,399,455,543,561
2007,Adams,326,451,500,600,859
2007,Alcorn,393,424,473,657,832
2007,Amite,378,425,473,572,650
2007,Attala,388,400,473,634,794
2007,Benton,432,483,536,643,660
2007,Bolivar,385,435,500,600,879
2007,Calhoun,388,400,473,634,794
2007,Carroll,319,358,473,628,657
2007,Chickasaw,357,438,513,615,646
2007,Choctaw,388,400,473,634,794
2007,Claiborne,393,394,473,593,695
2007,Clarke,393,437,502,657,680
2007,Clay,392,394,473,689,711
2007,Coahoma,402,416,549,656,964
2007,Copiah,487,550,638,768,791
2007,Covington,393,394,473,593,695
2007,DeSoto,548,596,662,882,910
2007,Forrest,405,461,549,799,825
2007,Franklin,378,425,473,572,650
2007,George,445,509,611,841,902
2007,Greene,359,384,473,618,650
2007,Grenada,368,404,473,666,793
2007,Hancock,517,548,640,834,857
2007,Harrison,517,548,640,834,857
2007,Hinds,487,550,638,768,791
