Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adair,334,388,512,672,743
2006,Andrew,333,412,512,645,764
2006,Atchison,372,373,464,578,715
2006,Audrain,384,386,464,586,744
2006,Barry,303,381,464,605,625
2006,Barton,302,380,464,562,617
2006,Bates,305,358,468,657,679
2006,Benton,302,359,464,644,667
2006,Bollinger,339,381,500,639,740
2006,Boone,380,455,565,823,918
2006,Buchanan,333,412,512,645,764
2006,Butler,384,385,464,643,688
2006,Caldwell,510,612,703,951,1000
2006,Callaway,364,392,504,700,782
2006,Camden,423,429,527,768,789
2006,Cape Girardeau,343,399,527,681,858
2006,Carroll,404,405,511,641,715
2006,Carter,385,386,464,645,693
2006,Cass,510,612,703,951,1000
2006,Cedar,302,359,464,644,667
2006,Chariton,404,405,511,641,715
2006,Christian,347,410,524,747,853
2006,Clark,342,352,464,574,677
2006,Clay,510,612,703,951,1000
2006,Clinton,510,612,703,951,1000
2006,Cole,364,392,504,700,782
2006,Cooper,369,388,505,674,784
2006,Crawford,302,383,464,618,814
2006,Dade,356,375,493,631,681
2006,Dallas,302,392,464,633,654
2006,Daviess,372,373,464,578,715
2006,DeKalb,333,412,512,645,764
2006,Dent,348,378,464,612,778
2006,Douglas,342,384,464,614,711
2006,Dunklin,360,391,464,593,662
2006,Franklin,485,526,654,842,882
2006,Gasconade,329,358,464,581,739
2006,Gentry,372,373,464,578,715
2006,Greene,347,410,524,747,853
2006,Grundy,372,373,464,578,715
2006,Harrison,372,373,464,578,715
2006,Henry,334,388,512,614,633
2006,Hickory,302,359,464,644,667
2006,Holt,372,373,464,578,715
2006,Howard,380,455,565,823,918
2006,Howell,319,367,464,575,814
2006,Iron,339,381,500,639,740
2006,Jackson,510,612,703,951,1000
2006,Jasper,330,396,505,643,662
2006,Jefferson,485,526,654,842,882
2006,Johnson,406,433,525,702,790
2006,Knox,342,352,464,574,677
2006,Laclede,380,381,464,607,796
2006,Lafayette,510,612,703,951,1000
2006,Lawrence,385,386,464,632,728
2006,Lewis,342,352,464,574,677
2006,Lincoln,485,526,654,842,882
2006,Linn,342,352,464,574,677
2006,Livingston,365,366,464,620,812
2006,McDonald,369,370,464,660,682
2006,Macon,375,376,464,555,597
2006,Madison,339,381,500,639,740
2006,Maries,348,378,464,612,778
2006,Marion,305,355,468,609,626
2006,Mercer,372,373,464,578,715
2006,Miller,387,388,464,619,645
2006,Mississippi,325,354,464,612,706
2006,Moniteau,304,356,469,567,756
2006,Monroe,304,356,469,603,620
2006,Montgomery,304,356,469,603,620
2006,Morgan,391,392,471,640,745
2006,New Madrid,330,380,464,619,637
2006,Newton,330,396,505,643,662
2006,Nodaway,410,411,511,611,713
2006,Oregon,342,384,464,614,711
2006,Osage,364,392,504,700,782
2006,Ozark,342,384,464,614,711
2006,Pemiscot,303,354,464,583,600
2006,Perry,345,375,492,589,865
2006,Pettis,404,405,525,655,784
2006,Phelps,343,370,464,642,790
2006,Pike,301,352,464,607,664
2006,Platte,510,612,703,951,1000
2006,Polk,302,353,464,676,775
2006,Pulaski,397,428,476,692,757
2006,Putnam,342,352,464,574,677
2006,Ralls,304,356,469,603,620
2006,Randolph,313,367,481,610,627
2006,Ray,510,612,703,951,1000
2006,Reynolds,385,386,464,645,693
2006,Ripley,385,386,464,645,693
2006,St. Charles,485,526,654,842,882
2006,St. Clair,302,359,464,644,667
2006,Ste. Genevieve,339,381,500,639,740
2006,St. Francois,401,404,485,677,705
2006,St. Louis,485,526,654,842,882
2006,Saline,306,359,472,612,718
2006,Schuyler,342,352,464,574,677
2006,Scotland,342,352,464,574,677
2006,Scott,385,386,483,602,712
2006,Shannon,342,384,464,614,711
2006,Shelby,342,352,464,574,677
2006,Stoddard,360,374,464,632,684
2006,Stone,342,398,526,690,759
2006,Sullivan,342,352,464,574,677
2006,Taney,439,440,556,663,844
2006,Texas,366,386,464,639,736
2006,Vernon,323,384,465,651,671
2006,Warren,485,526,654,842,882
2006,Washington,355,413,464,611,681
2006,Wayne,385,386,464,645,693
2006,Webster,347,410,524,747,853
