Year,County,0BR,1BR,2BR,3BR,4BR
2006,Beaverhead,415,484,636,823,997
2006,Big Horn,375,390,503,623,664
2006,Blaine,336,401,508,677,773
2006,Broadwater,370,424,539,729,783
2006,Carbon,376,447,578,780,939
2006,Carter,408,424,503,678,721
2006,Cascade,344,414,531,718,864
2006,Chouteau,336,401,508,677,773
2006,Custer,328,455,503,732,758
2006,Daniels,408,424,503,678,721
2006,Dawson,408,424,503,678,721
2006,Deer Lodge,370,424,539,729,783
2006,Fallon,408,424,503,678,721
2006,Fergus,367,382,503,609,649
2006,Flathead,375,461,579,819,1004
2006,Gallatin,424,505,657,877,1151
2006,Garfield,408,424,503,678,721
2006,Glacier,336,401,508,677,773
2006,Golden Valley,408,424,503,678,721
2006,Granite,370,424,539,729,783
2006,Hill,327,403,503,725,770
2006,Jefferson,370,424,539,729,783
2006,Judith Basin,336,401,508,677,773
2006,Lake,441,443,537,724,780
2006,Lewis and,Clark,400,457,571,829
2006,Liberty,336,401,508,677,773
2006,Lincoln,360,442,552,764,856
2006,McCone,408,424,503,678,721
2006,Madison,415,484,636,823,997
2006,Meagher,415,484,636,823,997
2006,Mineral,444,503,631,809,968
2006,Missoula,444,511,645,836,1000
2006,Musselshell,408,424,503,678,721
2006,Park,395,461,606,725,958
2006,Petroleum,408,424,503,678,721
2006,Phillips,408,424,503,678,721
2006,Pondera,336,401,508,677,773
2006,Powder River,408,424,503,678,721
2006,Powell,370,424,539,729,783
2006,Prairie,408,424,503,678,721
2006,Ravalli,422,460,590,773,915
2006,Richland,408,424,503,678,721
2006,Roosevelt,408,424,503,678,721
2006,Rosebud,374,388,503,621,661
2006,Sanders,360,442,552,764,856
2006,Sheridan,408,424,503,678,721
2006,Silver Bow,364,392,504,659,721
2006,Stillwater,408,424,503,678,721
2006,Sweet Grass,408,424,503,678,721
2006,Teton,336,401,508,677,773
2006,Toole,336,401,508,677,773
2006,Treasure,408,424,503,678,721
2006,Valley,408,424,503,678,721
2006,Wheatland,408,424,503,678,721
2006,Wibaux,408,424,503,678,721
2006,Yellowstone,376,447,578,780,939
2007,Beaverhead,430,501,658,851,1032
2007,Big Horn,387,403,519,643,686
2007,Blaine,348,415,526,701,801
2007,Broadwater,383,439,558,754,810
2007,Carbon,389,462,598,807,971
2007,Carter,421,437,519,700,744
2007,Cascade,356,429,550,744,895
2007,Chouteau,348,415,526,701,801
2007,Custer,338,470,519,756,782
2007,Daniels,421,437,519,700,744
2007,Dawson,421,437,519,700,744
2007,Deer Lodge,383,439,558,754,810
2007,Fallon,421,437,519,700,744
2007,Fergus,378,394,519,629,670
2007,Flathead,388,477,599,847,1039
2007,Gallatin,439,523,680,908,1191
2007,Garfield,421,437,519,700,744
2007,Glacier,348,415,526,701,801
2007,Golden Valley,421,437,519,700,744
2007,Granite,383,439,558,754,810
2007,Hill,337,416,519,748,795
2007,Jefferson,383,439,558,754,810
2007,Judith Basin,348,415,526,701,801
2007,Lake,456,459,556,749,807
2007,Lewis and,Clark,414,473,591,858
2007,Liberty,348,415,526,701,801
