Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,348,407,535,677,697
2006,Antelope,417,418,502,629,650
2006,Arthur,379,438,502,663,683
2006,Banner,375,381,502,652,781
2006,Blaine,418,419,503,622,725
2006,Boone,417,418,502,629,650
2006,Box Butte,375,381,502,657,781
2006,Boyd,375,381,502,652,781
2006,Brown,375,381,502,652,781
2006,Buffalo,378,442,582,792,920
2006,Burt,417,418,502,629,650
2006,Butler,417,418,502,637,667
2006,Cass,467,531,662,884,909
2006,Cedar,417,418,502,629,650
2006,Chase,379,438,502,663,683
2006,Cherry,375,381,502,652,781
2006,Cheyenne,375,381,502,652,781
2006,Clay,352,412,542,693,805
2006,Colfax,417,418,502,629,650
2006,Cuming,417,418,502,629,650
2006,Custer,418,419,503,622,725
2006,Dakota,387,455,597,752,774
2006,Dawes,325,383,502,601,747
2006,Dawson,432,469,522,635,655
2006,Deuel,375,381,502,652,781
2006,Dixon,387,455,597,752,774
2006,Dodge,397,465,611,730,891
2006,Douglas,467,531,662,884,909
2006,Dundy,379,438,502,663,683
2006,Fillmore,417,418,502,637,667
2006,Franklin,352,412,542,693,805
2006,Frontier,379,438,502,663,683
2006,Furnas,379,438,502,663,683
2006,Gage,417,418,502,612,631
2006,Garden,375,381,502,652,781
2006,Garfield,418,419,503,622,725
2006,Gosper,379,438,502,663,683
2006,Grant,379,438,502,663,683
2006,Greeley,418,419,503,622,725
2006,Hall,423,424,531,664,859
2006,Hamilton,418,419,503,622,725
2006,Harlan,352,412,542,693,805
2006,Hayes,379,438,502,663,683
2006,Hitchcock,379,438,502,663,683
2006,Holt,375,381,502,652,781
2006,Hooker,379,438,502,663,683
2006,Howard,418,419,503,622,725
2006,Jefferson,417,418,502,637,667
2006,Johnson,417,418,502,637,667
2006,Kearney,352,412,542,693,805
2006,Keith,379,438,502,663,683
2006,Keya Paha,375,381,502,652,781
2006,Kimball,375,381,502,652,781
2006,Knox,417,418,502,629,650
2006,Lancaster,417,468,596,836,1013
2006,Lincoln,366,412,524,642,809
2006,Logan,379,438,502,663,683
2006,Loup,418,419,503,622,725
2006,McPherson,379,438,502,663,683
2006,Madison,370,390,513,699,721
2006,Merrick,418,419,503,622,725
2006,Morrill,375,381,502,652,781
2006,Nance,417,418,502,629,650
2006,Nemaha,417,418,502,637,667
2006,Nuckolls,352,412,542,693,805
2006,Otoe,417,419,502,622,652
2006,Pawnee,417,418,502,637,667
2006,Perkins,379,438,502,663,683
2006,Phelps,352,412,542,693,805
2006,Pierce,417,418,502,629,650
2006,Platte,418,419,502,732,754
2006,Polk,417,418,502,637,667
2006,Red Willow,347,452,502,730,753
2006,Richardson,417,418,502,637,667
2006,Rock,375,381,502,652,781
2006,Saline,442,466,533,651,673
2006,Sarpy,467,531,662,884,909
2006,Saunders,481,483,580,846,871
2006,Scotts Bluff,417,418,502,640,844
2006,Seward,325,402,502,667,846
2006,Sheridan,375,381,502,652,781
2006,Sherman,418,419,503,622,725
2006,Sioux,375,381,502,652,781
2006,Stanton,417,418,502,629,650
2006,Thayer,417,418,502,637,667
2006,Thomas,379,438,502,663,683
2006,Thurston,417,418,502,629,650
2006,Valley,418,419,503,622,725
2006,Washington,467,531,662,884,909
2006,Wayne,417,418,502,629,650
2006,Webster,352,412,542,693,805
2006,Wheeler,418,419,503,622,725
2006,York,354,418,547,664,798
2007,Adams,359,419,551,697,717
2007,Antelope,430,431,517,648,669
2007,Arthur,390,451,517,682,704
2007,Banner,387,392,517,671,804
2007,Blaine,430,431,518,640,746
2007,Boone,430,431,517,648,669
2007,Box Butte,387,392,517,677,804
2007,Boyd,387,392,517,671,804
2007,Brown,387,392,517,671,804
2007,Buffalo,389,456,600,816,949
2007,Burt,430,431,517,648,669
2007,Butler,429,430,517,656,687
2007,Cass,481,547,682,910,936
2007,Cedar,430,431,517,648,669
2007,Chase,390,451,517,682,704
2007,Cherry,387,392,517,671,804
2007,Cheyenne,387,392,517,671,804
2007,Clay,362,424,558,714,829
2007,Colfax,430,431,517,648,669
2007,Cuming,430,431,517,648,669
2007,Custer,430,431,518,640,746
2007,Dakota,399,469,615,774,797
2007,Dawes,334,394,517,619,770
2007,Dawson,445,483,538,655,675
2007,Deuel,387,392,517,671,804
2007,Dixon,399,469,615,774,797
2007,Dodge,408,479,629,751,917
2007,Douglas,481,547,682,910,936
2007,Dundy,390,451,517,682,704
2007,Fillmore,429,430,517,656,687
2007,Franklin,362,424,558,714,829
2007,Frontier,390,451,517,682,704
2007,Furnas,390,451,517,682,704
2007,Gage,430,431,517,631,650
2007,Garden,387,392,517,671,804
2007,Garfield,430,431,518,640,746
2007,Gosper,390,451,517,682,704
2007,Grant,390,451,517,682,704
2007,Greeley,430,431,518,640,746
