Year,County,0BR,1BR,2BR,3BR,4BR
2006,Churchill,570,572,718,908,1067
2006,Clark,622,728,861,1195,1453
2006,Douglas,597,734,892,1242,1376
2006,Elko,514,559,725,903,1163
2006,Esmeralda,447,517,659,875,968
2006,Eureka,447,517,659,875,968
2006,Humboldt,450,528,693,830,854
2006,Lander,447,517,659,875,968
2006,Lincoln,447,517,659,875,968
2006,Lyon,472,530,698,1017,1048
2006,Mineral,447,517,659,875,968
2006,Nye,409,568,631,919,947
2006,Pershing,447,517,659,875,968
2006,Storey,596,712,880,1279,1545
2006,Washoe,596,712,880,1279,1545
2006,White Pine,447,517,659,875,968
2006,Carson City,Metro,528,637,767,1118
2007,Churchill,590,591,743,940,1104
2007,Clark,643,754,891,1237,1503
2007,Douglas,617,760,923,1285,1424
2007,Elko,532,578,750,935,1203
2007,Esmeralda,463,535,682,906,1002
2007,Eureka,463,535,682,906,1002
2007,Humboldt,466,546,717,858,883
2007,Lander,463,535,682,906,1002
2007,Lincoln,463,535,682,906,1002
2007,Lyon,488,549,722,1052,1084
2007,Mineral,463,535,682,906,1002
2007,Nye,423,588,653,951,980
2007,Pershing,463,535,682,906,1002
2007,Storey,617,737,911,1324,1600
2007,Washoe,617,737,911,1324,1600
2007,White Pine,463,535,682,906,1002
2007,Carson City,Metro,547,659,794,1157
2008,Churchill,612,614,771,975,1146
2008,Clark,719,843,996,1382,1680
2008,Douglas,640,788,957,1332,1477
2008,Elko,552,601,779,971,1250
2008,Esmeralda,481,555,708,940,1040
2008,Eureka,481,555,708,940,1040
2008,Humboldt,484,568,745,892,918
2008,Lander,481,555,708,940,1040
2008,Lincoln,481,555,708,940,1040
2008,Lyon,507,570,750,1093,1126
2008,Mineral,481,555,708,940,1040
2008,Nye,429,596,662,965,994
2008,Pershing,481,555,708,940,1040
2008,Storey,638,763,943,1370,1656
2008,Washoe,638,763,943,1370,1656
2008,White Pine,481,555,708,940,1040
2008,Carson City,Metro,567,683,823,1199
2009,Churchill,646,648,814,1030,1210
2009,Clark,731,861,1013,1408,1695
2009,Douglas,676,832,1011,1407,1560
2009,Elko,583,634,822,1024,1318
2009,Esmeralda,507,586,747,992,1097
2009,Eureka,507,586,747,992,1097
2009,Humboldt,512,600,787,942,970
2009,Lander,507,586,747,992,1097
2009,Lincoln,507,586,747,992,1097
2009,Lyon,535,602,792,1154,1189
2009,Mineral,507,586,747,992,1097
2009,Nye,453,629,699,1018,1049
2009,Pershing,507,586,747,992,1097
2009,Storey,655,782,967,1405,1698
2009,Washoe,655,782,967,1405,1698
2009,White Pine,507,586,747,992,1097
2009,Carson City,Metro,599,721,869,1266
2010,Churchill,677,679,853,1079,1268
2010,Clark,767,904,1063,1478,1778
2010,Douglas,709,872,1060,1476,1636
2010,Elko,610,664,861,1073,1381
2010,Esmeralda,531,613,782,1038,1149
