Year,County,0BR,1BR,2BR,3BR,4BR
2006,Alton,475,584,729,962,1237
2006,Barnstead,475,584,729,962,1237
2006,Belmont,475,584,729,962,1237
2006,Center Harbor,475,584,729,962,1237
2006,Gilford,475,584,729,962,1237
2006,Gilmanton,475,584,729,962,1237
2006,Laconia,475,584,729,962,1237
2006,Meredith,475,584,729,962,1237
2006,New Hampton,475,584,729,962,1237
2006,Sanbornton,475,584,729,962,1237
2006,Tilton,475,584,729,962,1237
2006,Albany,526,556,733,997,1224
2006,Bartlett,526,556,733,997,1224
2006,Brookfield,526,556,733,997,1224
2006,Chatham,526,556,733,997,1224
2006,Conway,526,556,733,997,1224
2006,Eaton,526,556,733,997,1224
2006,Effingham,526,556,733,997,1224
2006,Freedom,526,556,733,997,1224
2006,Hale's location,526,556,733,997,1224
2006,Hart's Location,526,556,733,997,1224
2006,Jackson,526,556,733,997,1224
2006,Madison,526,556,733,997,1224
2006,Moultonborough,526,556,733,997,1224
2006,Ossipee,526,556,733,997,1224
2006,Sandwich,526,556,733,997,1224
2006,Tamworth,526,556,733,997,1224
2006,Tuftonboro,526,556,733,997,1224
2006,Wakefield,526,556,733,997,1224
2006,Wolfeboro,526,556,733,997,1224
2006,Alstead,583,622,780,941,1145
2006,Chesterfield,583,622,780,941,1145
2006,Dublin,583,622,780,941,1145
2006,Fitzwilliam,583,622,780,941,1145
2006,Gilsum,583,622,780,941,1145
2006,Harrisville,583,622,780,941,1145
2006,Hinsdale,583,622,780,941,1145
2006,Jaffrey,583,622,780,941,1145
2006,Keene,583,622,780,941,1145
2006,Marlborough,583,622,780,941,1145
2006,Marlow,583,622,780,941,1145
2006,Nelson,583,622,780,941,1145
2006,Richmond,583,622,780,941,1145
2006,Rindge,583,622,780,941,1145
2006,Roxbury,583,622,780,941,1145
2006,Stoddard,583,622,780,941,1145
2006,Sullivan,583,622,780,941,1145
2006,Surry,583,622,780,941,1145
2006,Swanzey,583,622,780,941,1145
2006,Troy,583,622,780,941,1145
2006,Walpole,583,622,780,941,1145
2006,Westmoreland,583,622,780,941,1145
2006,Winchester,583,622,780,941,1145
2006,Atkinson and,Gilmanton,Academy,grant,342,447
2006,Beans grant,342,447,525,737,827
2006,Beans purchase,342,447,525,737,827
2006,Berlin,342,447,525,737,827
2006,Cambridge township,342,447,525,737,827
2006,Carroll,342,447,525,737,827
2006,Chandlers purchase,342,447,525,737,827
2006,Clarksville,342,447,525,737,827
2006,Colebrook,342,447,525,737,827
2006,Columbia,342,447,525,737,827
2006,Crawfords purchase,342,447,525,737,827
2006,Cutts grant,342,447,525,737,827
2006,Dalton,342,447,525,737,827
2006,Dixs grant,342,447,525,737,827
2006,Dixville township,342,447,525,737,827
2006,Dummer,342,447,525,737,827
2006,Errol,342,447,525,737,827
2006,Ervings location,342,447,525,737,827
2006,Gorham,342,447,525,737,827
2006,Greens grant,342,447,525,737,827
2006,Hadleys purchase,342,447,525,737,827
2006,Jefferson,342,447,525,737,827
2006,Kilkenny township,342,447,525,737,827
2006,Lancaster,342,447,525,737,827
2006,Low and,Burbanks,grant,342,447,525
2006,Martins location,342,447,525,737,827
2006,Milan,342,447,525,737,827
2006,Millsfield township,342,447,525,737,827
2006,Northumberland,342,447,525,737,827
2006,Odell township,342,447,525,737,827
2006,Pinkhams grant,342,447,525,737,827
2006,Pittsburg,342,447,525,737,827
2006,Randolph,342,447,525,737,827
2006,Sargents purchase,342,447,525,737,827
2006,Second College,grant,342,447,525,737
2006,Shelburne,342,447,525,737,827
2006,Stark,342,447,525,737,827
2006,Stewartstown,342,447,525,737,827
2006,Stratford,342,447,525,737,827
2006,Success township,342,447,525,737,827
2006,Thompson and,Meserves,purchase,342,447,525
2006,Wentworth location,342,447,525,737,827
2006,Whitefield,342,447,525,737,827
2006,Alexandria,517,569,721,970,1022
2006,Ashland,517,569,721,970,1022
2006,Bath,517,569,721,970,1022
2006,Benton,517,569,721,970,1022
2006,Bethlehem,517,569,721,970,1022
2006,Bridgewater,517,569,721,970,1022
2006,Bristol,517,569,721,970,1022
2006,Campton,517,569,721,970,1022
2006,Canaan,517,569,721,970,1022
2006,Dorchester,517,569,721,970,1022
2006,Easton,517,569,721,970,1022
2006,Ellsworth,517,569,721,970,1022
2006,Enfield,517,569,721,970,1022
2006,Franconia,517,569,721,970,1022
2006,Grafton,517,569,721,970,1022
2006,Groton,517,569,721,970,1022
2006,Hanover,517,569,721,970,1022
2006,Haverhill,517,569,721,970,1022
2006,Hebron,517,569,721,970,1022
2006,Holderness,517,569,721,970,1022
2006,Landaff,517,569,721,970,1022
2006,Lebanon,517,569,721,970,1022
2006,Lincoln,517,569,721,970,1022
2006,Lisbon,517,569,721,970,1022
2006,Littleton,517,569,721,970,1022
2006,Livermore,517,569,721,970,1022
2006,Lyman,517,569,721,970,1022
2006,Lyme,517,569,721,970,1022
2006,Monroe,517,569,721,970,1022
2006,Orange,517,569,721,970,1022
2006,Orford,517,569,721,970,1022
2006,Piermont,517,569,721,970,1022
2006,Plymouth,517,569,721,970,1022
2006,Rumney,517,569,721,970,1022
2006,Sugar Hill,517,569,721,970,1022
2006,Thornton,517,569,721,970,1022
2006,Warren,517,569,721,970,1022
2006,Waterville Valley,517,569,721,970,1022
2006,Wentworth,517,569,721,970,1022
2006,Woodstock,517,569,721,970,1022
2006,Amherst,734,863,1079,1443,1544
2006,Antrim,602,611,802,1169,1408
2006,Bedford,689,822,1013,1211,1383
2006,Bennington,602,611,802,1169,1408
2006,Brookline,734,863,1079,1443,1544
2006,Deering,602,611,802,1169,1408
2006,Francestown,602,611,802,1169,1408
2006,Goffstown,689,822,1013,1211,1383
2006,Greenfield,602,611,802,1169,1408
2006,Greenville,734,863,1079,1443,1544
2006,Hancock,602,611,802,1169,1408
2006,Hillsborough,602,611,802,1169,1408
2006,Hollis,734,863,1079,1443,1544
2006,Hudson,734,863,1079,1443,1544
2006,Litchfield,734,863,1079,1443,1544
2006,Lyndeborough,602,611,802,1169,1408
2006,Manchester,689,822,1013,1211,1383
2006,Mason,734,863,1079,1443,1544
2006,Merrimack,734,863,1079,1443,1544
2006,Milford,734,863,1079,1443,1544
2006,Mont Vernon,734,863,1079,1443,1544
2006,Nashua,734,863,1079,1443,1544
2006,New Boston,602,611,802,1169,1408
2006,New Ipswich,734,863,1079,1443,1544
2006,Pelham,734,863,1079,1443,1544
2006,Peterborough,602,611,802,1169,1408
2006,Sharon,602,611,802,1169,1408
2006,Temple,602,611,802,1169,1408
2006,Weare,689,822,1013,1211,1383
2006,Wilton,734,863,1079,1443,1544
