Year,County,0BR,1BR,2BR,3BR,4BR
2006,Atlantic,704,775,925,1173,1315
2006,Bergen,875,979,1098,1356,1561
2006,Burlington,649,742,886,1061,1262
2006,Camden,649,742,886,1061,1262
2006,Cape May,623,636,800,1048,1079
2006,Cumberland,674,676,852,1035,1091
2006,Essex,719,879,1004,1202,1329
2006,Gloucester,649,742,886,1061,1262
2006,Hudson,884,934,1090,1321,1422
2006,Hunterdon,973,1009,1187,1490,1757
2006,Mercer,739,850,1022,1221,1371
2006,Middlesex,973,1009,1187,1490,1757
2006,Monmouth,940,1003,1133,1406,1556
2006,Morris,719,879,1004,1202,1329
2006,Ocean,940,1003,1133,1406,1556
2006,Passaic,875,979,1098,1356,1561
2006,Salem,649,742,886,1061,1262
2006,Somerset,973,1009,1187,1490,1757
2006,Sussex,719,879,1004,1202,1329
2006,Union,719,879,1004,1202,1329
2006,Warren,763,854,999,1196,1231
2007,Atlantic,734,808,964,1222,1371
2007,Bergen,927,1037,1163,1436,1654
2007,Burlington,676,773,923,1105,1314
2007,Camden,676,773,923,1105,1314
2007,Cape May,650,663,834,1093,1125
2007,Cumberland,703,706,889,1080,1138
2007,Essex,761,930,1063,1272,1407
2007,Gloucester,676,773,923,1105,1314
2007,Hudson,936,989,1154,1399,1506
2007,Hunterdon,1031,1068,1257,1578,1860
2007,Mercer,784,902,1084,1295,1454
2007,Middlesex,1031,1068,1257,1578,1860
2007,Monmouth,830,958,1170,1525,1654
2007,Morris,761,930,1063,1272,1407
2007,Ocean,830,958,1170,1525,1654
2007,Passaic,927,1037,1163,1436,1654
2007,Salem,676,773,923,1105,1314
2007,Somerset,1031,1068,1257,1578,1860
2007,Sussex,761,930,1063,1272,1407
2007,Union,761,930,1063,1272,1407
2007,Warren,802,898,1050,1257,1294
2008,Atlantic,786,866,1033,1310,1469
2008,Bergen,1001,1120,1256,1551,1786
2008,Burlington,682,781,932,1116,1327
2008,Camden,682,781,932,1116,1327
2008,Cape May,697,712,895,1172,1207
2008,Cumberland,756,759,956,1162,1224
2008,Essex,790,965,1103,1320,1460
2008,Gloucester,682,781,932,1116,1327
2008,Hudson,967,1022,1192,1445,1556
2008,Hunterdon,1099,1139,1340,1682,1983
2008,Mercer,810,932,1120,1338,1502
2008,Middlesex,1099,1139,1340,1682,1983
2008,Monmouth,887,1025,1251,1630,1769
2008,Morris,790,965,1103,1320,1460
2008,Ocean,887,1025,1251,1630,1769
2008,Passaic,1001,1120,1256,1551,1786
2008,Salem,682,781,932,1116,1327
2008,Somerset,1099,1139,1340,1682,1983
2008,Sussex,790,965,1103,1320,1460
2008,Union,790,965,1103,1320,1460
2008,Warren,769,861,1007,1205,1241
2009,Atlantic,813,895,1068,1354,1519
2009,Bergen,995,1114,1249,1543,1776
2009,Burlington,736,842,1005,1203,1431
2009,Camden,736,842,1005,1203,1431
2009,Cape May,719,734,923,1209,1245
2009,Cumberland,779,782,985,1197,1261
2009,Essex,869,1061,1213,1452,1606
2009,Gloucester,736,842,1005,1203,1431
2009,Hudson,989,1045,1219,1477,1591
2009,Hunterdon,1106,1147,1349,1693,1997
2009,Mercer,833,958,1152,1377,1545
2009,Middlesex,1106,1147,1349,1693,1997
2009,Monmouth,895,1034,1263,1646,1786
2009,Morris,869,1061,1213,1452,1606
