Year,County,0BR,1BR,2BR,3BR,4BR
2006,Bernalillo,485,571,721,1050,1259
2006,Catron,338,381,456,664,684
2006,Chaves,363,365,466,610,628
2006,Cibola,380,409,456,663,720
2006,Colfax,404,431,485,612,637
2006,Curry,379,393,456,617,803
2006,De Baca,379,390,456,615,749
2006,Dona Ana,418,451,503,694,771
2006,Eddy,304,388,456,612,743
2006,Grant,364,422,480,676,696
2006,Guadalupe,445,451,537,674,703
2006,Harding,379,390,456,615,749
2006,Hidalgo,338,381,456,664,684
2006,Lea,378,411,456,600,632
2006,Lincoln,354,446,543,684,954
2006,Los Alamos,568,661,868,1042,1073
2006,Luna,378,411,456,581,698
2006,McKinley,360,423,556,664,861
2006,Mora,445,451,537,674,703
2006,Otero,348,412,456,667,803
2006,Quay,379,390,456,615,749
2006,Rio Arriba,406,414,489,633,702
2006,Roosevelt,378,388,456,632,782
2006,Sandoval,485,571,721,1050,1259
2006,San Juan,433,458,552,730,823
2006,San Miguel,381,411,506,672,781
2006,Santa Fe,559,693,843,1103,1319
2006,Sierra,295,368,456,666,802
2006,Socorro,379,380,456,546,774
2006,Taos,540,587,650,778,802
2006,Torrance,485,571,721,1050,1259
2006,Union,379,390,456,615,749
2006,Valencia,485,571,721,1050,1259
2007,Bernalillo,502,591,746,1086,1303
2007,Catron,350,394,472,688,708
2007,Chaves,376,377,482,630,650
2007,Cibola,393,424,472,686,745
2007,Colfax,418,446,502,634,659
2007,Curry,393,407,472,639,831
2007,De Baca,392,404,472,637,775
2007,Dona Ana,433,467,521,719,798
2007,Eddy,315,402,472,633,769
2007,Grant,377,437,497,700,720
2007,Guadalupe,461,467,556,698,728
2007,Harding,392,404,472,637,775
2007,Hidalgo,350,394,472,688,708
2007,Lea,391,425,472,621,654
2007,Lincoln,366,461,562,708,987
2007,Los Alamos,587,684,898,1078,1110
2007,Luna,392,425,472,602,723
2007,McKinley,372,437,575,687,890
2007,Mora,461,467,556,698,728
2007,Otero,361,427,472,690,831
2007,Quay,392,404,472,637,775
2007,Rio Arriba,420,428,506,655,727
2007,Roosevelt,391,402,472,654,809
2007,Sandoval,502,591,746,1086,1303
2007,San Juan,448,474,571,755,851
2007,San Miguel,395,425,524,696,809
2007,Santa Fe,578,717,872,1141,1365
2007,Sierra,306,380,472,690,830
2007,Socorro,393,394,472,565,801
2007,Taos,559,608,673,806,830
2007,Torrance,502,591,746,1086,1303
2007,Union,392,404,472,637,775
2007,Valencia,502,591,746,1086,1303
2008,Bernalillo,511,602,760,1107,1327
2008,Catron,355,400,479,698,719
2008,Chaves,382,384,490,641,661
2008,Cibola,399,430,479,696,756
2008,Colfax,423,453,509,642,668
2008,Curry,399,413,479,649,843
2008,De Baca,398,410,479,646,787
2008,Dona Ana,438,473,527,727,807
2008,Eddy,319,408,479,643,781
2008,Grant,383,444,504,710,730
2008,Guadalupe,469,475,566,711,741
2008,Harding,398,410,479,646,787
2008,Hidalgo,355,400,479,698,719
2008,Lea,397,432,479,630,663
2008,Lincoln,374,470,573,721,1007
2008,Los Alamos,596,694,911,1093,1126
2008,Luna,398,432,479,611,733
2008,McKinley,377,443,583,697,902
2008,Mora,469,475,566,711,741
2008,Otero,366,433,479,700,843
2008,Quay,398,410,479,646,787
2008,Rio Arriba,427,435,514,665,738
2008,Roosevelt,397,408,479,664,821
2008,Sandoval,511,602,760,1107,1327
2008,San Juan,455,481,579,765,863
2008,San Miguel,401,432,532,707,821
2008,Santa Fe,586,727,884,1157,1383
2008,Sierra,310,386,479,700,842
2008,Socorro,399,399,479,574,813
2008,Taos,569,619,685,820,845
2008,Torrance,511,602,760,1107,1327
2008,Union,398,410,479,646,787
2008,Valencia,511,602,760,1107,1327
2009,Bernalillo,507,596,753,1096,1315
2009,Catron,372,419,502,731,754
2009,Chaves,401,402,514,672,693
2009,Cibola,418,451,502,729,792
2009,Colfax,444,475,534,674,701
2009,Curry,418,433,502,680,884
2009,De Baca,417,430,502,677,824
2009,Dona Ana,460,496,553,763,847
2009,Eddy,335,427,502,674,818
2009,Grant,402,466,529,745,767
2009,Guadalupe,492,498,593,745,777
2009,Harding,417,430,502,677,824
2009,Hidalgo,372,419,502,731,754
2009,Lea,416,452,502,660,695
2009,Lincoln,392,493,601,757,1056
2009,Los Alamos,625,728,955,1146,1180
2009,Luna,417,452,502,640,769
2009,McKinley,396,465,612,731,947
2009,Mora,492,498,593,745,777
2009,Otero,384,454,502,734,884
2009,Quay,417,430,502,677,824
2009,Rio Arriba,448,456,539,697,774
2009,Roosevelt,416,427,502,696,860
2009,Sandoval,507,596,753,1096,1315
2009,San Juan,476,504,607,802,905
2009,San Miguel,419,452,557,740,859
2009,Santa Fe,615,763,928,1215,1452
2009,Sierra,325,405,502,733,883
2009,Socorro,418,419,502,601,852
2009,Taos,597,648,718,859,886
2009,Torrance,507,596,753,1096,1315
2009,Union,417,430,502,677,824
2009,Valencia,507,596,753,1096,1315
2010,Bernalillo,526,619,782,1139,1365
2010,Catron,388,437,523,762,785
2010,Chaves,418,420,536,701,723
2010,Cibola,436,470,523,760,825
2010,Colfax,463,494,556,702,730
2010,Curry,435,451,523,708,920
2010,De Baca,435,448,523,706,859
2010,Dona Ana,479,517,576,795,882
2010,Eddy,349,445,523,702,852
2010,Grant,419,486,552,778,800
2010,Guadalupe,513,520,619,777,811
2010,Harding,435,448,523,706,859
2010,Hidalgo,388,437,523,762,785
2010,Lea,433,471,523,688,724
2010,Lincoln,409,515,627,789,1102
2010,Los Alamos,651,759,996,1195,1231
2010,Luna,434,471,523,667,801
2010,McKinley,413,485,638,762,988
2010,Mora,513,520,619,777,811
2010,Otero,400,473,523,765,920
2010,Quay,435,448,523,706,859
2010,Rio Arriba,467,475,562,727,807
2010,Roosevelt,434,445,523,725,896
2010,Sandoval,526,619,782,1139,1365
2010,San Juan,496,525,632,836,942
2010,San Miguel,437,472,581,772,896
2010,Santa Fe,641,795,967,1266,1513
2010,Sierra,339,422,523,764,919
2010,Socorro,435,436,523,627,888
2010,Taos,622,675,748,895,923
2010,Torrance,526,619,782,1139,1365
2010,Union,435,448,523,706,859
2010,Valencia,526,619,782,1139,1365
2011,Bernalillo,546,642,811,1181,1416
2011,Catron,391,440,527,768,791
2011,Chaves,421,423,540,706,728
2011,Cibola,439,473,527,766,832
2011,Colfax,466,498,560,707,735
2011,Curry,438,454,527,714,928
2011,De Baca,438,451,527,711,865
2011,Dona Ana,483,520,580,800,889
2011,Eddy,352,448,527,707,859
2011,Grant,423,490,557,785,807
2011,Guadalupe,516,523,623,782,816
2011,Harding,438,451,527,711,865
2011,Hidalgo,391,440,527,768,791
2011,Lea,436,475,527,693,730
2011,Lincoln,412,519,632,796,1110
2011,Los Alamos,656,764,1003,1204,1240
2011,Luna,437,475,527,672,807
2011,McKinley,416,489,643,768,995
2011,Mora,516,523,623,782,816
2011,Otero,403,476,527,770,928
2011,Quay,438,451,527,711,865
2011,Rio Arriba,471,480,567,734,814
2011,Roosevelt,437,448,527,730,903
2011,Sandoval,546,642,811,1181,1416
2011,San Juan,499,528,636,841,948
2011,San Miguel,441,475,585,777,903
2011,Santa Fe,646,801,974,1275,1524
2011,Sierra,341,425,527,770,926
2011,Socorro,438,440,527,631,894
2011,Taos,627,681,754,903,930
2011,Torrance,546,642,811,1181,1416
2011,Union,438,451,527,711,865
2011,Valencia,546,642,811,1181,1416
2012,Bernalillo,472,555,701,1021,1224
2012,Catron,402,453,542,790,814
2012,Chaves,423,424,542,709,731
2012,Cibola,451,487,542,788,855
2012,Colfax,473,505,568,717,746
2012,Curry,451,467,542,734,954
2012,De Baca,450,464,542,731,890
2012,Dona Ana,471,508,566,781,867
2012,Eddy,379,483,568,762,926
2012,Grant,411,477,542,764,785
2012,Guadalupe,449,455,542,681,710
2012,Harding,450,464,542,731,890
2012,Hidalgo,402,453,542,790,814
2012,Lea,472,514,570,750,789
2012,Lincoln,420,529,644,811,1132
2012,Los Alamos,617,719,944,1133,1167
2012,Luna,450,488,542,691,830
2012,McKinley,351,412,542,648,839
2012,Mora,449,455,542,681,710
2012,Otero,414,490,542,792,954
2012,Quay,450,464,542,731,890
2012,Rio Arriba,533,542,641,829,920
2012,Roosevelt,449,461,542,751,929
2012,Sandoval,472,555,701,1021,1224
2012,San Juan,513,542,653,863,974
2012,San Miguel,422,456,561,746,866
2012,Santa Fe,583,723,880,1152,1377
2012,Sierra,368,458,568,830,999
2012,Socorro,457,458,549,658,932
2012,Taos,647,703,779,932,961
2012,Torrance,472,555,701,1021,1224
2012,Union,450,464,542,731,890
2012,Valencia,472,555,701,1021,1224
2013,Bernalillo,507,637,780,1129,1381
2013,Catron,470,528,626,922,939
2013,Chaves,525,577,780,1101,1361
2013,Cibola,475,479,626,864,1109
2013,Colfax,460,463,626,780,837
2013,Curry,471,475,639,934,1132
2013,De Baca,470,528,626,922,939
2013,Dona Ana,444,534,633,906,1007
2013,Eddy,483,496,659,847,881
2013,Grant,470,528,626,922,1006
2013,Guadalupe,470,487,626,922,939
2013,Harding,470,487,626,829,939
2013,Hidalgo,470,487,626,922,939
2013,Lea,485,489,661,840,889
