Year,County,0BR,1BR,2BR,3BR,4BR
2006,Albany,565,586,715,856,935
2006,Allegany,440,443,530,660,811
2006,Bronx,940,1003,1133,1406,1556
2006,Broome,454,456,546,713,836
2006,Cattaraugus,446,447,538,707,811
2006,Cayuga,471,472,566,753,874
2006,Chautauqua,444,446,535,690,754
2006,Chemung,498,499,599,770,802
2006,Chenango,449,453,542,683,952
2006,Clinton,507,509,610,775,1007
2006,Columbia,554,566,667,806,859
2006,Cortland,484,485,592,752,924
2006,Delaware,454,456,547,676,890
2006,Dutchess,694,815,998,1224,1303
2006,Erie,487,488,586,725,800
2006,Essex,477,478,574,763,830
2006,Franklin,438,439,524,673,745
2006,Fulton,375,457,578,692,735
2006,Genesee,515,516,620,769,870
2006,Greene,479,517,630,819,892
2006,Hamilton,482,483,580,723,838
2006,Herkimer,470,471,567,695,789
2006,Jefferson,500,501,602,776,815
2006,Kings,940,1003,1133,1406,1556
2006,Lewis,444,446,535,669,747
2006,Livingston,485,537,656,788,834
2006,Madison,485,486,586,750,812
2006,Monroe,485,537,656,788,834
2006,Montgomery,438,470,528,668,723
2006,Nassau,938,1084,1280,1699,1851
2006,New York,940,1003,1133,1406,1556
2006,Niagara,487,488,586,725,800
2006,Oneida,470,471,567,695,789
2006,Onondaga,485,486,586,750,812
2006,Ontario,485,537,656,788,834
2006,Orange,694,815,998,1224,1303
2006,Orleans,485,537,656,788,834
2006,Oswego,485,486,586,750,812
2006,Otsego,471,483,567,754,784
2006,Putnam,940,1003,1133,1406,1556
2006,Queens,940,1003,1133,1406,1556
2006,Rensselaer,565,586,715,856,935
2006,Richmond,940,1003,1133,1406,1556
2006,Rockland,940,1003,1133,1406,1556
2006,St. Lawrence,445,446,537,680,743
2006,Saratoga,565,586,715,856,935
2006,Schenectady,565,586,715,856,935
2006,Schoharie,565,586,715,856,935
2006,Schuyler,484,486,583,777,803
2006,Seneca,513,514,616,811,1026
2006,Steuben,474,475,571,733,809
2006,Suffolk,938,1084,1280,1699,1851
2006,Sullivan,488,541,694,831,973
2006,Tioga,454,456,546,713,836
2006,Tompkins,610,628,735,889,922
2006,Ulster,590,640,766,971,1206
2006,Warren,474,501,630,795,895
2006,Washington,474,501,630,795,895
