Year,County,0BR,1BR,2BR,3BR,4BR
2006,Alamance,558,577,673,914,942
2006,Alexander,440,462,531,681,793
2006,Alleghany,374,439,503,660,680
2006,Anson,418,450,503,707,746
2006,Ashe,416,418,503,665,786
2006,Avery,385,475,562,672,794
2006,Beaufort,327,427,503,606,623
2006,Bertie,345,437,503,602,621
2006,Bladen,327,397,503,733,792
2006,Brunswick,512,566,683,957,984
2006,Buncombe,447,522,596,799,1047
2006,Burke,440,462,531,681,793
2006,Cabarrus,565,613,680,857,997
2006,Caldwell,440,462,531,681,793
2006,Camden,371,483,570,770,789
2006,Carteret,460,460,553,805,970
2006,Caswell,420,421,515,629,657
2006,Catawba,440,462,531,681,793
2006,Chatham,492,673,755,987,1064
2006,Cherokee,327,424,503,731,881
2006,Chowan,371,483,570,770,789
2006,Clay,417,420,503,660,769
2006,Cleveland,494,495,595,784,880
2006,Columbus,352,453,503,603,620
2006,Craven,418,476,546,736,919
2006,Cumberland,487,526,588,835,988
2006,Currituck,672,706,811,1118,1401
2006,Dare,567,568,697,921,948
2006,Davidson,450,451,543,708,809
2006,Davie,466,531,615,838,985
2006,Duplin,417,452,503,636,656
2006,Durham,492,673,755,987,1064
2006,Edgecombe,376,454,578,718,739
2006,Forsyth,466,531,615,838,985
2006,Franklin,655,734,817,1027,1064
2006,Gaston,565,613,680,857,997
2006,Gates,371,483,570,770,789
2006,Graham,417,420,503,660,769
2006,Granville,462,463,557,695,827
2006,Greene,418,419,503,711,734
2006,Guilford,533,608,678,859,919
2006,Halifax,327,454,503,640,734
2006,Harnett,427,465,515,695,904
2006,Haywood,425,426,531,688,890
2006,Henderson,447,522,596,799,1047
2006,Hertford,327,451,503,660,679
2006,Hoke,451,490,543,743,906
2006,Hyde,371,483,570,770,789
2006,Iredell,503,507,607,804,1050
2006,Jackson,457,473,563,739,763
2006,Johnston,655,734,817,1027,1064
2006,Jones,421,455,544,753,957
2006,Lee,367,502,567,697,995
2006,Lenoir,381,383,503,601,863
2006,Lincoln,357,494,549,663,682
2006,McDowell,361,431,557,688,707
2006,Macon,380,413,532,646,933
2006,Madison,447,522,596,799,1047
2006,Martin,418,443,503,651,670
2006,Mecklenburg,565,613,680,857,997
2006,Mitchell,385,475,562,672,794
2006,Montgomery,417,453,503,627,883
2006,Moore,460,461,580,834,1017
2006,Nash,376,454,578,718,739
2006,New Hanover,512,566,683,957,984
2006,Northampton,328,443,503,640,658
2006,Onslow,445,476,535,751,882
2006,Orange,492,673,755,987,1064
2006,Pamlico,337,428,503,633,651
2006,Pasquotank,367,473,563,817,842
2006,Pender,445,448,538,707,727
2006,Perquimans,371,483,570,770,789
2006,Person,438,439,530,633,726
2006,Pitt,436,452,557,772,797
2006,Polk,466,467,573,716,739
2006,Randolph,533,608,678,859,919
2006,Richmond,362,453,503,632,652
2006,Robeson,359,434,503,604,672
2006,Rockingham,409,433,513,637,657
2006,Rowan,493,533,592,845,902
2006,Rutherford,456,458,560,670,690
2006,Sampson,418,427,503,699,885
2006,Scotland,415,416,527,640,798
2006,Stanly,390,421,515,701,763
2006,Stokes,466,531,615,838,985
2006,Surry,376,452,503,672,691
2006,Swain,417,420,503,660,769
2006,Transylvania,329,458,507,640,675
2006,Tyrrell,371,483,570,770,789
2006,Union,565,613,680,857,997
2006,Vance,417,418,503,603,621
2006,Wake,655,734,817,1027,1064
2006,Warren,423,425,509,622,640
2006,Washington,349,470,536,643,660
2006,Watauga,416,508,639,777,1003
2006,Wayne,377,447,523,655,875
2006,Wilkes,368,422,503,645,672
2006,Wilson,472,473,574,687,728
2006,Yadkin,466,531,615,838,985
2006,Yancey,416,418,503,601,619
2007,Alamance,580,601,700,951,979
2007,Alexander,457,480,552,708,825
2007,Alleghany,386,453,519,681,702
2007,Anson,432,464,519,730,770
2007,Ashe,430,431,519,686,811
2007,Avery,401,495,585,700,826
2007,Beaufort,338,441,519,625,643
2007,Bertie,356,451,519,621,640
2007,Bladen,337,409,519,756,817
2007,Brunswick,533,589,711,996,1025
2007,Buncombe,465,543,620,831,1089
2007,Burke,457,480,552,708,825
2007,Cabarrus,588,637,707,891,1036
2007,Caldwell,457,480,552,708,825
2007,Camden,385,502,593,801,821
2007,Carteret,478,478,575,837,1009
2007,Caswell,437,438,536,655,684
2007,Catawba,457,480,552,708,825
2007,Chatham,511,700,785,1026,1106
2007,Cherokee,337,437,519,754,909
2007,Chowan,385,502,593,801,821
2007,Clay,431,433,519,681,793
2007,Cleveland,514,515,619,815,916
2007,Columbus,363,468,519,622,640
2007,Craven,435,495,568,766,957
2007,Cumberland,507,548,612,869,1028
2007,Currituck,700,735,844,1164,1458
2007,Dare,590,591,725,958,986
2007,Davidson,468,469,565,736,841
2007,Davie,485,552,640,872,1025
2007,Duplin,431,466,519,657,677
2007,Durham,511,700,785,1026,1106
2007,Edgecombe,391,472,601,746,769
2007,Forsyth,485,552,640,872,1025
2007,Franklin,682,764,850,1068,1107
2007,Gaston,588,637,707,891,1036
2007,Gates,385,502,593,801,821
2007,Graham,431,433,519,681,793
2007,Granville,481,482,579,723,859
2007,Greene,431,432,519,733,757
2007,Guilford,554,632,705,893,955
2007,Halifax,338,469,519,660,757
2007,Harnett,445,483,536,724,941
2007,Haywood,442,443,552,715,925
2007,Henderson,465,543,620,831,1089
2007,Hertford,338,466,519,681,700
2007,Hoke,470,510,565,773,943
2007,Hyde,385,502,593,801,821
2007,Iredell,523,528,631,836,1091
2007,Jackson,476,493,586,769,794
2007,Johnston,682,764,850,1068,1107
2007,Jones,438,473,566,783,996
2007,Lee,382,523,590,725,1035
2007,Lenoir,393,395,519,620,891
2007,Lincoln,371,513,571,690,709
2007,McDowell,376,448,579,715,735
2007,Macon,395,429,553,672,970
2007,Madison,465,543,620,831,1089
2007,Martin,431,457,519,672,691
2007,Mecklenburg,588,637,707,891,1036
2007,Mitchell,401,495,585,700,826
2007,Montgomery,430,467,519,647,911
2007,Moore,478,479,603,867,1058
2007,Nash,391,472,601,746,769
2007,New Hanover,533,589,711,996,1025
2007,Northampton,339,457,519,660,679
2007,Onslow,463,496,557,782,918
2007,Orange,511,700,785,1026,1106
2007,Pamlico,347,441,519,653,672
2007,Pasquotank,381,493,586,851,876
2007,Pender,464,466,560,736,757
2007,Perquimans,385,502,593,801,821
2007,Person,456,457,551,658,754
2007,Pitt,453,470,579,802,829
2007,Polk,485,486,596,745,768
2007,Randolph,554,632,705,893,955
2007,Richmond,373,468,519,652,673
2007,Robeson,370,447,519,623,693
2007,Rockingham,426,451,534,663,684
2007,Rowan,513,555,616,879,939
2007,Rutherford,475,477,583,698,719
2007,Sampson,431,440,519,721,913
2007,Scotland,431,432,548,666,830
2007,Stanly,406,438,536,730,794
2007,Stokes,485,552,640,872,1025
2007,Surry,388,467,519,693,713
2007,Swain,431,433,519,681,793
2007,Transylvania,342,476,527,665,701
2007,Tyrrell,385,502,593,801,821
2007,Union,588,637,707,891,1036
2007,Vance,431,432,520,623,642
2007,Wake,682,764,850,1068,1107
2007,Warren,441,442,530,648,666
2007,Washington,363,489,558,670,687
2007,Watauga,433,529,665,809,1044
2007,Wayne,392,465,544,681,910
2007,Wilkes,380,435,519,666,693
2007,Wilson,491,492,597,715,758
2007,Yadkin,485,552,640,872,1025
2007,Yancey,430,431,519,620,638
2008,Alamance,599,619,722,980,1010
2008,Alexander,495,520,598,767,893
2008,Alleghany,413,485,555,728,750
2008,Anson,462,496,555,780,824
2008,Ashe,460,461,555,734,867
2008,Avery,432,533,630,753,890
2008,Beaufort,361,471,555,668,687
2008,Bertie,380,482,555,664,685
2008,Bladen,361,438,555,809,874
2008,Brunswick,575,635,767,1075,1105
2008,Buncombe,521,609,695,931,1220
2008,Burke,495,520,598,767,893
2008,Cabarrus,615,667,740,932,1085
2008,Caldwell,495,520,598,767,893
2008,Camden,415,541,639,863,884
2008,Carteret,514,514,618,900,1084
2008,Caswell,471,472,577,705,736
2008,Catawba,495,520,598,767,893
2008,Chatham,518,710,796,1040,1122
2008,Cherokee,361,467,555,806,972
2008,Chowan,415,541,639,863,884
2008,Clay,461,463,555,728,848
2008,Cleveland,552,553,665,876,984
2008,Columbus,389,500,555,665,684
2008,Craven,470,535,614,828,1034
2008,Cumberland,546,591,660,937,1109
2008,Currituck,749,787,904,1247,1561
2008,Dare,636,637,781,1032,1062
2008,Davidson,483,484,583,760,868
2008,Davie,494,563,652,889,1045
2008,Duplin,461,498,555,702,724
2008,Durham,518,710,796,1040,1122
2008,Edgecombe,361,436,555,689,710
2008,Forsyth,494,563,652,889,1045
2008,Franklin,639,717,797,1002,1038
2008,Gaston,615,667,740,932,1085
2008,Gates,415,541,639,863,884
2008,Graham,461,463,555,728,848
2008,Granville,518,519,624,779,926
2008,Greene,461,462,555,784,810
2008,Guilford,565,645,719,911,974
2008,Halifax,361,501,555,706,810
2008,Harnett,479,520,577,779,1013
2008,Haywood,494,495,617,799,1034
2008,Henderson,521,609,695,931,1220
2008,Hertford,361,498,555,728,749
2008,Hoke,507,551,610,835,1018
2008,Hyde,415,541,639,863,884
2008,Iredell,565,569,681,902,1177
2008,Jackson,486,504,599,786,812
2008,Johnston,639,717,797,1002,1038
2008,Jones,473,512,612,847,1077
2008,Lee,411,563,635,780,1114
2008,Lenoir,422,424,557,666,956
2008,Lincoln,391,541,602,727,748
2008,McDowell,404,482,623,769,791
2008,Macon,426,463,597,725,1047
2008,Madison,521,609,695,931,1220
2008,Martin,461,489,555,719,739
2008,Mecklenburg,615,667,740,932,1085
2008,Mitchell,432,533,630,753,890
2008,Montgomery,460,500,555,692,975
2008,Moore,516,517,651,936,1142
2008,Nash,361,436,555,689,710
2008,New Hanover,575,635,767,1075,1105
2008,Northampton,362,489,555,706,726
2008,Onslow,501,537,603,847,994
2008,Orange,518,710,796,1040,1122
2008,Pamlico,371,472,555,699,719
2008,Pasquotank,411,531,631,916,943
2008,Pender,501,503,605,796,818
2008,Perquimans,415,541,639,863,884
2008,Person,485,487,587,701,804
2008,Pitt,488,506,624,865,893
2008,Polk,520,522,640,800,825
2008,Randolph,565,645,719,911,974
2008,Richmond,399,500,555,698,719
2008,Robeson,396,478,555,666,741
2008,Rockingham,454,480,569,707,729
2008,Rowan,533,578,641,915,977
2008,Rutherford,509,511,625,748,771
2008,Sampson,461,471,555,771,977
2008,Scotland,464,466,590,717,893
2008,Stanly,437,472,577,786,855
2008,Stokes,494,563,652,889,1045
2008,Surry,415,499,555,741,763
2008,Swain,461,463,555,728,848
2008,Transylvania,462,643,712,899,948
2008,Tyrrell,415,541,639,863,884
2008,Union,615,667,740,932,1085
2008,Vance,464,465,560,671,692
2008,Wake,639,717,797,1002,1038
2008,Warren,477,478,573,700,720
2008,Washington,392,528,602,722,742
2008,Watauga,467,571,718,873,1127
2008,Wayne,423,501,587,735,982
2008,Wilkes,406,465,555,712,741
2008,Wilson,530,531,644,771,817
2008,Yadkin,494,563,652,889,1045
2008,Yancey,460,461,555,663,683
2009,Alamance,615,637,742,1008,1038
2009,Alexander,508,534,614,788,917
2009,Alleghany,429,504,577,757,780
2009,Anson,480,516,577,811,856
2009,Ashe,478,479,577,763,902
2009,Avery,443,547,647,774,914
2009,Beaufort,376,490,577,695,714
2009,Bertie,395,501,577,691,712
2009,Bladen,375,455,577,841,908
2009,Brunswick,590,652,787,1103,1134
2009,Buncombe,518,604,690,925,1212
2009,Burke,508,534,614,788,917
2009,Cabarrus,629,682,757,954,1110
2009,Caldwell,508,534,614,788,917
2009,Camden,426,556,656,886,908
2009,Carteret,527,527,634,923,1112
2009,Caswell,483,484,592,723,755
2009,Catawba,508,534,614,788,917
2009,Chatham,538,738,827,1081,1165
2009,Cherokee,375,486,577,838,1010
2009,Chowan,426,556,656,886,908
2009,Clay,479,481,577,757,882
2009,Cleveland,566,567,682,898,1009
2009,Columbus,404,520,577,691,711
2009,Craven,482,549,630,849,1061
2009,Cumberland,561,607,678,963,1139
2009,Currituck,749,781,904,1236,1490
2009,Dare,653,654,802,1060,1091
2009,Davidson,495,496,598,779,890
2009,Davie,505,575,666,908,1067
2009,Duplin,479,518,577,730,752
2009,Durham,538,738,827,1081,1165
2009,Edgecombe,376,453,577,717,738
2009,Forsyth,505,575,666,908,1067
