Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,333,387,475,629,657
2006,Barnes,394,396,475,665,835
2006,Benson,389,390,475,655,826
2006,Billings,333,387,475,629,657
2006,Bottineau,363,399,496,698,761
2006,Bowman,333,387,475,629,657
2006,Burke,363,399,496,698,761
2006,Burleigh,399,418,520,753,774
2006,Cass,373,443,563,812,939
2006,Cavalier,389,390,475,655,826
2006,Dickey,389,390,475,655,826
2006,Divide,333,387,475,629,657
2006,Dunn,333,387,475,629,657
2006,Eddy,389,390,475,655,826
2006,Emmons,363,399,496,698,761
2006,Foster,389,390,475,655,826
2006,Golden Valley,333,387,475,629,657
2006,Grand Forks,363,456,559,708,963
2006,Grant,333,387,475,629,657
2006,Griggs,389,390,475,655,826
2006,Hettinger,333,387,475,629,657
2006,Kidder,363,399,496,698,761
2006,LaMoure,389,390,475,655,826
2006,Logan,363,399,496,698,761
2006,McHenry,363,399,496,698,761
2006,McIntosh,363,399,496,698,761
2006,McKenzie,333,387,475,629,657
2006,McLean,363,399,496,698,761
2006,Mercer,333,387,475,629,657
2006,Morton,399,418,520,753,774
2006,Mountrail,363,399,496,698,761
2006,Nelson,370,459,548,741,823
2006,Oliver,333,387,475,629,657
2006,Pembina,370,459,548,741,823
2006,Pierce,363,399,496,698,761
2006,Ramsey,353,363,477,594,752
2006,Ransom,389,390,475,655,826
2006,Renville,363,399,496,698,761
2006,Richland,323,389,492,639,758
2006,Rolette,363,399,496,698,761
2006,Sargent,389,390,475,655,826
2006,Sheridan,363,399,496,698,761
2006,Sioux,333,387,475,629,657
2006,Slope,333,387,475,629,657
2006,Stark,338,410,475,691,835
2006,Steele,370,459,548,741,823
2006,Stutsman,395,397,475,658,835
2006,Towner,389,390,475,655,826
2006,Traill,370,459,548,741,823
2006,Walsh,370,459,548,741,823
2006,Ward,311,386,475,656,779
2006,Wells,389,390,475,655,826
2006,Williams,309,377,475,626,663
2007,Adams,343,399,489,648,677
2007,Barnes,405,408,489,684,859
2007,Benson,400,402,489,674,850
2007,Billings,343,399,489,648,677
2007,Bottineau,374,411,511,719,784
2007,Bowman,343,399,489,648,677
2007,Burke,374,411,511,719,784
2007,Burleigh,412,431,536,776,798
2007,Cass,384,456,580,837,967
2007,Cavalier,400,402,489,674,850
2007,Dickey,400,402,489,674,850
2007,Divide,343,399,489,648,677
2007,Dunn,343,399,489,648,677
2007,Eddy,400,402,489,674,850
2007,Emmons,374,411,511,719,784
2007,Foster,400,402,489,674,850
2007,Golden Valley,343,399,489,648,677
2007,Grand Forks,374,469,576,730,992
2007,Grant,343,399,489,648,677
2007,Griggs,400,402,489,674,850
2007,Hettinger,343,399,489,648,677
2007,Kidder,374,411,511,719,784
2007,LaMoure,400,402,489,674,850
2007,Logan,374,411,511,719,784
2007,McHenry,374,411,511,719,784
2007,McIntosh,374,411,511,719,784
2007,McKenzie,343,399,489,648,677
2007,McLean,374,411,511,719,784
2007,Mercer,343,399,489,648,677
2007,Morton,412,431,536,776,798
2007,Mountrail,374,411,511,719,784
2007,Nelson,381,473,565,764,849
2007,Oliver,343,399,489,648,677
2007,Pembina,381,473,565,764,849
2007,Pierce,374,411,511,719,784
2007,Ramsey,363,373,491,612,774
2007,Ransom,400,402,489,674,850
2007,Renville,374,411,511,719,784
2007,Richland,333,401,507,659,781
2007,Rolette,374,411,511,719,784
2007,Sargent,400,402,489,674,850
2007,Sheridan,374,411,511,719,784
2007,Sioux,343,399,489,648,677
2007,Slope,343,399,489,648,677
2007,Stark,348,422,489,711,860
2007,Steele,381,473,565,764,849
2007,Stutsman,407,408,489,677,859
2007,Towner,400,402,489,674,850
2007,Traill,381,473,565,764,849
2007,Walsh,381,473,565,764,849
2007,Ward,320,398,489,675,801
2007,Wells,400,402,489,674,850
2007,Williams,318,388,489,644,683
2008,Adams,341,397,487,645,674
2008,Barnes,404,406,487,681,856
2008,Benson,398,400,487,672,847
2008,Billings,341,397,487,645,674
2008,Bottineau,371,408,507,714,778
2008,Bowman,341,397,487,645,674
2008,Burke,371,408,507,714,778
2008,Burleigh,409,428,532,770,792
2008,Cass,394,468,595,859,992
2008,Cavalier,398,400,487,672,847
2008,Dickey,398,400,487,672,847
2008,Divide,341,397,487,645,674
2008,Dunn,341,397,487,645,674
2008,Eddy,398,400,487,672,847
2008,Emmons,371,408,507,714,778
2008,Foster,398,400,487,672,847
2008,Golden Valley,341,397,487,645,674
2008,Grand Forks,382,480,589,746,1014
2008,Grant,341,397,487,645,674
2008,Griggs,398,400,487,672,847
2008,Hettinger,341,397,487,645,674
2008,Kidder,371,408,507,714,778
2008,LaMoure,398,400,487,672,847
2008,Logan,371,408,507,714,778
2008,McHenry,371,408,507,714,778
2008,McIntosh,371,408,507,714,778
2008,McKenzie,341,397,487,645,674
2008,McLean,371,408,507,714,778
2008,Mercer,341,397,487,645,674
2008,Morton,409,428,532,770,792
2008,Mountrail,371,408,507,714,778
2008,Nelson,378,469,560,758,841
2008,Oliver,341,397,487,645,674
2008,Pembina,378,469,560,758,841
2008,Pierce,371,408,507,714,778
2008,Ramsey,361,372,489,609,771
2008,Ransom,398,400,487,672,847
2008,Renville,371,408,507,714,778
2008,Richland,330,397,503,653,775
2008,Rolette,371,408,507,714,778
2008,Sargent,398,400,487,672,847
2008,Sheridan,371,408,507,714,778
2008,Sioux,341,397,487,645,674
2008,Slope,341,397,487,645,674
2008,Stark,346,421,487,709,856
2008,Steele,378,469,560,758,841
2008,Stutsman,405,407,487,674,856
2008,Towner,398,400,487,672,847
2008,Traill,378,469,560,758,841
2008,Walsh,378,469,560,758,841
2008,Ward,318,396,487,673,798
2008,Wells,398,400,487,672,847
2008,Williams,317,387,487,641,680
2009,Adams,358,416,511,677,707
2009,Barnes,424,426,511,715,898
2009,Benson,418,420,511,705,889
2009,Billings,358,416,511,677,707
2009,Bottineau,389,428,532,749,816
2009,Bowman,358,416,511,677,707
2009,Burke,389,428,532,749,816
2009,Burleigh,429,449,558,808,831
2009,Cass,410,487,620,895,1034
2009,Cavalier,418,420,511,705,889
2009,Dickey,418,420,511,705,889
2009,Divide,358,416,511,677,707
2009,Dunn,358,416,511,677,707
2009,Eddy,418,420,511,705,889
2009,Emmons,389,428,532,749,816
2009,Foster,418,420,511,705,889
2009,Golden Valley,358,416,511,677,707
2009,Grand Forks,398,500,613,777,1056
2009,Grant,358,416,511,677,707
2009,Griggs,418,420,511,705,889
2009,Hettinger,358,416,511,677,707
2009,Kidder,389,428,532,749,816
2009,LaMoure,418,420,511,705,889
2009,Logan,389,428,532,749,816
2009,McHenry,389,428,532,749,816
2009,McIntosh,389,428,532,749,816
