Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,409,425,503,666,704
2006,Allen,417,422,522,644,661
2006,Ashland,361,430,557,719,739
2006,Ashtabula,394,463,590,750,874
2006,Athens,424,461,511,657,684
2006,Auglaize,373,401,525,683,701
2006,Belmont,327,394,503,632,738
2006,Brown,385,404,533,688,829
2006,Butler,427,506,655,877,910
2006,Carroll,408,452,571,721,764
2006,Champaign,356,435,548,676,727
2006,Clark,419,466,561,725,932
2006,Clermont,427,506,655,877,910
2006,Clinton,396,489,542,790,927
2006,Columbiana,407,429,518,641,779
2006,Coshocton,350,422,503,650,742
2006,Crawford,415,422,503,648,709
2006,Cuyahoga,488,566,682,874,929
2006,Darke,326,417,503,669,689
2006,Defiance,385,441,535,675,822
2006,Delaware,445,517,655,823,895
2006,Erie,377,454,580,757,796
2006,Fairfield,445,517,655,823,895
2006,Fayette,409,471,575,692,923
2006,Franklin,445,517,655,823,895
2006,Fulton,425,473,585,755,823
2006,Gallia,342,454,503,640,840
2006,Geauga,488,566,682,874,929
2006,Greene,437,499,615,828,988
2006,Guernsey,354,437,503,664,683
2006,Hamilton,427,506,655,877,910
2006,Hancock,382,446,579,787,836
2006,Hardin,417,454,503,630,826
2006,Harrison,336,400,503,644,662
2006,Henry,348,427,517,665,686
2006,Highland,423,424,510,687,709
2006,Hocking,326,454,503,718,738
2006,Holmes,418,419,503,663,704
2006,Huron,375,454,555,770,847
2006,Jackson,431,433,519,622,641
2006,Jefferson,333,408,503,628,682
2006,Knox,451,454,545,698,800
2006,Lake,488,566,682,874,929
2006,Lawrence,354,419,503,620,641
2006,Licking,445,517,655,823,895
2006,Logan,464,469,558,702,725
2006,Lorain,488,566,682,874,929
2006,Lucas,425,473,585,755,823
2006,Madison,445,517,655,823,895
2006,Mahoning,398,446,541,681,734
2006,Marion,369,465,568,720,876
2006,Medina,488,566,682,874,929
2006,Meigs,418,453,503,689,710
2006,Mercer,328,426,503,678,698
2006,Miami,437,499,615,828,988
2006,Monroe,418,419,503,618,691
2006,Montgomery,437,499,615,828,988
2006,Morgan,418,419,503,618,691
2006,Morrow,445,517,655,823,895
2006,Muskingum,407,418,503,644,812
2006,Noble,418,419,503,618,691
2006,Ottawa,425,473,585,755,823
2006,Paulding,370,404,503,656,677
2006,Perry,423,424,510,638,656
2006,Pickaway,445,517,655,823,895
2006,Pike,332,427,511,612,637
2006,Portage,468,547,700,890,918
2006,Preble,454,468,568,736,762
2006,Putnam,357,395,521,647,674
2006,Richland,343,419,528,685,713
2006,Ross,383,434,507,627,719
2006,Sandusky,454,464,546,679,741
2006,Scioto,402,421,503,660,790
2006,Seneca,377,396,511,642,661
2006,Shelby,425,434,565,705,781
2006,Stark,408,452,571,721,764
2006,Summit,468,547,700,890,918
2006,Trumbull,398,446,541,681,734
2006,Tuscarawas,342,399,527,667,687
