Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adair,376,377,451,538,554
2006,Alfalfa,376,388,451,612,631
2006,Atoka,327,366,451,586,684
2006,Beaver,376,388,451,612,631
2006,Beckham,375,406,451,590,791
2006,Blaine,376,388,451,612,631
2006,Bryan,366,368,451,583,695
2006,Caddo,310,343,451,540,675
2006,Canadian,425,464,564,761,816
2006,Carter,399,425,481,598,641
2006,Cherokee,365,392,454,570,656
2006,Choctaw,373,404,451,640,658
2006,Cimarron,376,388,451,612,631
2006,Cleveland,425,464,564,761,816
2006,Coal,327,366,451,586,684
2006,Comanche,366,394,496,725,871
2006,Cotton,342,370,467,676,791
2006,Craig,305,356,468,561,823
2006,Creek,456,495,605,799,825
2006,Custer,348,349,451,645,664
2006,Delaware,324,364,451,606,625
2006,Dewey,376,388,451,612,631
2006,Ellis,376,388,451,612,631
2006,Garfield,371,391,470,651,670
2006,Garvin,292,341,451,593,723
2006,Grady,325,363,451,610,701
2006,Grant,376,388,451,612,631
2006,Greer,350,363,451,606,635
2006,Harmon,350,363,451,606,635
2006,Harper,376,388,451,612,631
2006,Haskell,293,352,451,568,622
2006,Hughes,364,415,495,631,648
2006,Jackson,310,403,452,634,654
2006,Jefferson,342,370,467,676,791
2006,Johnston,327,366,451,586,684
2006,Kay,306,378,470,649,671
2006,Kingfisher,376,388,451,634,652
2006,Kiowa,350,363,451,606,635
2006,Latimer,293,352,451,568,622
2006,Le Flore,305,355,451,558,683
2006,Lincoln,373,374,451,594,613
2006,Logan,425,464,564,761,816
2006,Love,327,366,451,586,684
2006,McClain,425,464,564,761,816
2006,McCurtain,293,341,451,585,604
2006,McIntosh,334,378,452,565,641
2006,Major,376,388,451,612,631
2006,Marshall,327,366,451,586,684
2006,Mayes,293,406,451,565,645
2006,Murray,376,377,451,606,776
2006,Muskogee,342,402,477,603,666
2006,Noble,330,384,462,642,662
2006,Nowata,344,364,451,601,679
2006,Okfuskee,364,415,495,631,648
2006,Oklahoma,425,464,564,761,816
2006,Okmulgee,304,342,451,612,650
2006,Osage,456,495,605,799,825
2006,Ottawa,377,377,451,615,634
2006,Pawnee,381,392,456,591,608
2006,Payne,402,460,564,799,822
2006,Pittsburg,307,359,473,596,726
2006,Pontotoc,317,354,451,615,634
2006,Pottawatomie,393,447,497,630,731
2006,Pushmataha,293,352,451,568,622
2006,Roger Mills,350,363,451,606,635
