Year,County,0BR,1BR,2BR,3BR,4BR
2006,Baker,357,415,548,797,821
2006,Benton,461,560,697,1013,1165
2006,Clackamas,539,625,723,1053,1265
2006,Clatsop,405,503,622,900,928
2006,Columbia,539,625,723,1053,1265
2006,Coos,389,471,597,792,912
2006,Crook,384,494,591,800,936
2006,Curry,439,505,596,871,1051
2006,Deschutes,488,567,676,985,1015
2006,Douglas,380,453,584,792,980
2006,Gilliam,412,483,583,790,924
2006,Grant,412,483,583,790,924
2006,Harney,369,429,540,746,794
2006,Hood River,415,514,640,911,940
2006,Jackson,455,540,679,988,1017
2006,Jefferson,460,490,555,807,909
2006,Josephine,445,510,617,877,974
2006,Klamath,367,431,549,768,853
2006,Lake,369,429,540,746,794
2006,Lane,462,561,710,993,1105
2006,Lincoln,460,525,670,929,1049
2006,Linn,439,532,663,914,1132
2006,Malheur,390,445,542,784,806
2006,Marion,468,520,622,904,1090
2006,Morrow,412,483,583,790,924
2006,Multnomah,539,625,723,1053,1265
2006,Polk,468,520,622,904,1090
2006,Sherman,412,483,583,790,924
2006,Tillamook,424,506,651,910,937
2006,Umatilla,384,438,560,786,877
2006,Union,367,427,563,821,845
2006,Wallowa,364,424,559,800,860
2006,Wasco,424,475,592,841,1041
2006,Washington,539,625,723,1053,1265
2006,Wheeler,412,483,583,790,924
2006,Yamhill,539,625,723,1053,1265
2007,Baker,369,430,567,825,849
2007,Benton,477,579,721,1048,1205
2007,Clackamas,550,638,737,1073,1289
2007,Clatsop,419,521,644,932,961
2007,Columbia,550,638,737,1073,1289
2007,Coos,402,488,618,820,944
2007,Crook,398,512,612,828,969
2007,Curry,455,523,617,901,1088
2007,Deschutes,505,587,700,1020,1051
2007,Douglas,393,468,604,819,1014
2007,Gilliam,426,499,603,817,956
2007,Grant,426,499,603,817,956
2007,Harney,382,444,559,773,822
2007,Hood River,430,532,662,942,972
2007,Jackson,471,560,703,1023,1053
2007,Jefferson,476,507,574,835,940
2007,Josephine,461,528,639,909,1008
2007,Klamath,380,446,568,795,883
2007,Lake,382,444,559,773,822
2007,Lane,478,581,735,1028,1144
2007,Lincoln,476,543,693,960,1085
2007,Linn,454,550,686,946,1171
2007,Malheur,404,461,561,811,835
2007,Marion,477,530,634,921,1111
2007,Morrow,426,499,603,817,956
2007,Multnomah,550,638,737,1073,1289
2007,Polk,477,530,634,921,1111
2007,Sherman,426,499,603,817,956
2007,Tillamook,439,524,674,942,971
2007,Umatilla,398,454,580,814,908
2007,Union,380,442,583,851,875
2007,Wallowa,377,439,579,829,891
2007,Wasco,440,492,613,871,1078
2007,Washington,550,638,737,1073,1289
2007,Wheeler,426,499,603,817,956
2007,Yamhill,550,638,737,1073,1289
2008,Baker,387,450,594,864,890
2008,Benton,496,601,749,1088,1252
2008,Clackamas,565,655,757,1102,1324
2008,Clatsop,437,544,672,972,1003
2008,Columbia,565,655,757,1102,1324
2008,Coos,422,512,649,861,992
2008,Crook,416,535,640,866,1014
2008,Curry,477,548,647,945,1141
2008,Deschutes,529,614,732,1067,1099
2008,Douglas,412,491,634,860,1064
2008,Gilliam,448,524,633,858,1003
2008,Grant,448,524,633,858,1003
2008,Harney,400,466,586,810,861
2008,Hood River,449,556,692,985,1016
2008,Jackson,489,581,730,1062,1094
2008,Jefferson,497,530,600,872,982
2008,Josephine,482,552,667,948,1053
2008,Klamath,398,467,595,832,925
2008,Lake,400,466,586,810,861
2008,Lane,495,600,760,1063,1183
2008,Lincoln,497,567,723,1002,1131
2008,Linn,475,576,718,990,1226
2008,Malheur,424,484,589,852,876
2008,Marion,478,531,635,923,1113
2008,Morrow,448,524,633,858,1003
2008,Multnomah,565,655,757,1102,1324
2008,Polk,478,531,635,923,1113
2008,Sherman,448,524,633,858,1003
2008,Tillamook,460,550,707,988,1018
2008,Umatilla,416,475,607,852,951
2008,Union,397,462,610,890,916
2008,Wallowa,394,459,605,866,930
2008,Wasco,461,516,643,914,1131
2008,Washington,565,655,757,1102,1324
2008,Wheeler,448,524,633,858,1003
2008,Yamhill,565,655,757,1102,1324
2009,Baker,395,460,607,883,909
2009,Benton,506,613,764,1110,1277
2009,Clackamas,604,700,809,1178,1415
2009,Clatsop,446,554,685,991,1022
2009,Columbia,604,700,809,1178,1415
2009,Coos,432,523,663,880,1013
2009,Crook,424,546,653,884,1034
2009,Curry,487,560,661,966,1165
2009,Deschutes,539,627,747,1088,1122
2009,Douglas,421,501,647,877,1086
2009,Gilliam,457,535,646,875,1024
2009,Grant,457,535,646,875,1024
2009,Harney,408,475,598,826,879
2009,Hood River,459,568,707,1006,1038
2009,Jackson,499,593,745,1084,1116
2009,Jefferson,507,540,612,890,1002
2009,Josephine,492,563,681,968,1075
2009,Klamath,407,477,608,851,945
2009,Lake,408,475,598,826,879
2009,Lane,500,607,768,1074,1196
2009,Lincoln,507,579,738,1023,1155
2009,Linn,485,588,733,1011,1251
2009,Malheur,433,493,601,869,894
2009,Marion,508,564,675,981,1183
2009,Morrow,457,535,646,875,1024
2009,Multnomah,604,700,809,1178,1415
2009,Polk,508,564,675,981,1183
2009,Sherman,457,535,646,875,1024
2009,Tillamook,469,561,721,1008,1038
2009,Umatilla,425,484,619,869,969
2009,Union,405,471,622,907,934
2009,Wallowa,402,468,618,884,950
2009,Wasco,470,527,656,932,1154
2009,Washington,604,700,809,1178,1415
2009,Wheeler,457,535,646,875,1024
2009,Yamhill,604,700,809,1178,1415
2010,Baker,406,473,624,908,935
2010,Benton,520,631,786,1142,1313
2010,Clackamas,626,726,839,1222,1467
2010,Clatsop,459,570,705,1020,1052
2010,Columbia,626,726,839,1222,1467
2010,Coos,444,538,682,905,1042
2010,Crook,437,562,672,909,1064
2010,Curry,501,576,680,993,1199
2010,Deschutes,554,644,768,1119,1154
2010,Douglas,433,516,666,903,1118
2010,Gilliam,470,551,665,901,1054
2010,Grant,470,551,665,901,1054
2010,Harney,420,489,615,850,904
2010,Hood River,472,584,727,1035,1067
2010,Jackson,513,610,766,1115,1147
2010,Jefferson,522,556,630,916,1031
2010,Josephine,505,579,700,995,1105
2010,Klamath,418,491,625,874,971
2010,Lake,420,489,615,850,904
2010,Lane,499,605,766,1072,1193
2010,Lincoln,521,595,759,1052,1188
2010,Linn,498,604,753,1038,1285
2010,Malheur,445,507,618,894,920
2010,Marion,508,564,675,981,1183
2010,Morrow,470,551,665,901,1054
2010,Multnomah,626,726,839,1222,1467
2010,Polk,508,564,675,981,1183
2010,Sherman,470,551,665,901,1054
2010,Tillamook,483,577,742,1037,1068
2010,Umatilla,436,497,636,893,996
2010,Union,417,485,640,934,961
2010,Wallowa,413,481,635,909,977
2010,Wasco,484,542,675,959,1187
2010,Washington,626,726,839,1222,1467
2010,Wheeler,470,551,665,901,1054
2010,Yamhill,626,726,839,1222,1467
2011,Baker,419,488,644,937,965
2011,Benton,537,651,811,1178,1355
2011,Clackamas,675,783,905,1318,1583
2011,Clatsop,474,589,728,1053,1086
2011,Columbia,675,783,905,1318,1583
2011,Coos,458,555,704,934,1076
2011,Crook,451,580,694,939,1099
2011,Curry,517,595,702,1026,1238
2011,Deschutes,572,664,792,1154,1190
2011,Douglas,447,532,687,932,1153
2011,Gilliam,485,568,686,930,1087
2011,Grant,485,568,686,930,1087
2011,Harney,434,505,635,878,933
2011,Hood River,487,602,750,1067,1101
2011,Jackson,529,629,790,1149,1183
2011,Jefferson,538,573,649,944,1062
2011,Josephine,521,597,722,1027,1139
2011,Klamath,432,506,645,902,1002
2011,Lake,434,505,635,878,933
2011,Lane,523,634,803,1123,1250
2011,Lincoln,538,614,783,1085,1225
2011,Linn,514,623,777,1071,1326
2011,Malheur,459,524,638,923,949
2011,Marion,536,595,712,1035,1248
2011,Morrow,485,568,686,930,1087
2011,Multnomah,675,783,905,1318,1583
2011,Polk,536,595,712,1035,1248
2011,Sherman,485,568,686,930,1087
2011,Tillamook,498,595,765,1069,1102
2011,Umatilla,450,513,656,921,1027
2011,Union,430,501,661,964,992
2011,Wallowa,426,496,655,937,1007
2011,Wasco,499,559,696,989,1224
2011,Washington,675,783,905,1318,1583
2011,Wheeler,485,568,686,930,1087
2011,Yamhill,675,783,905,1318,1583
2012,Baker,380,443,584,850,875
2012,Benton,512,622,774,1125,1293
2012,Clackamas,665,771,891,1297,1558
2012,Clatsop,478,595,735,1064,1097
2012,Columbia,665,771,891,1297,1558
2012,Coos,417,505,640,849,978
2012,Crook,437,563,673,911,1066
2012,Curry,541,622,734,1072,1294
2012,Deschutes,596,693,826,1203,1241
2012,Douglas,388,463,597,810,1002
2012,Gilliam,493,577,697,944,1105
2012,Grant,413,484,584,791,926
2012,Harney,425,494,622,860,914
2012,Hood River,384,475,592,842,869
2012,Jackson,541,642,807,1174,1209
2012,Jefferson,484,516,584,849,956
2012,Josephine,490,561,678,964,1070
2012,Klamath,407,478,609,852,946
2012,Lake,399,464,584,807,858
2012,Lane,525,637,806,1128,1255
2012,Lincoln,453,517,659,913,1031
2012,Linn,457,553,690,952,1178
2012,Malheur,420,479,584,844,869
2012,Marion,559,620,742,1078,1301
2012,Morrow,425,498,601,814,953
2012,Multnomah,665,771,891,1297,1558
2012,Polk,559,620,742,1078,1301
2012,Sherman,425,498,601,814,953
2012,Tillamook,430,513,660,923,950
2012,Umatilla,407,464,593,833,929
2012,Union,384,447,590,861,886
2012,Wallowa,398,464,612,876,941
2012,Wasco,462,518,645,917,1135
2012,Washington,665,771,891,1297,1558
2012,Wheeler,413,484,584,791,926
2012,Yamhill,665,771,891,1297,1558
2013,Baker,477,493,627,803,881
2013,Benton,450,578,757,1115,1341
2013,Clackamas,659,766,912,1344,1615
2013,Clatsop,543,590,797,1136,1412
2013,Columbia,659,766,912,1344,1615
2013,Coos,460,524,684,969,1193
2013,Crook,416,537,663,977,1135
2013,Curry,515,591,799,1175,1226
2013,Deschutes,557,645,803,1147,1373
2013,Douglas,476,562,740,1090,1311
2013,Gilliam,404,475,626,903,1053
2013,Grant,404,487,626,922,1109
2013,Harney,404,463,626,780,837
2013,Hood River,671,701,831,1225,1355
2013,Jackson,602,608,823,1213,1367
2013,Jefferson,390,497,626,922,926
2013,Josephine,424,541,713,1031,1126
2013,Klamath,422,555,684,986,1193
2013,Lake,404,528,626,780,1109
2013,Lane,488,611,821,1182,1387
2013,Lincoln,553,590,738,1087,1091
2013,Linn,469,543,734,1069,1172
2013,Malheur,432,481,626,882,942
2013,Marion,530,560,756,1114,1339
2013,Morrow,440,504,682,871,1056
2013,Multnomah,659,766,912,1344,1615
2013,Polk,530,560,756,1114,1339
2013,Sherman,410,536,636,836,1070
2013,Tillamook,453,571,714,988,1260
2013,Umatilla,374,471,629,827,1114
2013,Union,391,486,657,899,1134
2013,Wallowa,434,539,673,838,949
2013,Wasco,506,557,705,1032,1146
2013,Washington,659,766,912,1344,1615
2013,Wheeler,404,463,626,780,1053
2013,Yamhill,659,766,912,1344,1615
2014,Baker,498,514,654,837,919
2014,Benton,490,629,824,1214,1459
2014,Clackamas,666,774,922,1359,1633
2014,Clatsop,523,568,767,1093,1358
2014,Columbia,666,774,922,1359,1633
2014,Coos,465,530,691,979,1206
2014,Crook,426,550,678,999,1161
2014,Curry,515,591,799,1175,1226
2014,Deschutes,557,645,803,1147,1373
2014,Douglas,420,496,654,964,1158
2014,Gilliam,411,484,637,919,1072
2014,Grant,411,495,637,939,1128
2014,Harney,411,471,637,793,851
2014,Hood River,675,704,835,1230,1361
2014,Jackson,610,616,834,1229,1385
2014,Jefferson,397,506,637,939,942
2014,Josephine,484,618,814,1177,1286
2014,Klamath,427,561,692,998,1207
2014,Lake,411,537,637,793,1128
2014,Lane,496,621,834,1200,1409
2014,Lincoln,563,601,751,1107,1110
