Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,461,504,603,812,900
2006,Allegheny,548,601,719,894,965
2006,Armstrong,421,457,506,648,850
2006,Beaver,548,601,719,894,965
2006,Bedford,374,425,491,587,779
2006,Berks,465,519,640,856,883
2006,Blair,391,428,518,679,700
2006,Bradford,320,428,491,614,752
2006,Bucks,649,742,886,1061,1262
2006,Butler,548,601,719,894,965
2006,Cambria,393,400,491,618,708
2006,Cameron,410,425,492,652,702
2006,Carbon,523,636,753,974,1031
2006,Centre,538,599,706,844,870
2006,Chester,649,742,886,1061,1262
2006,Clarion,408,443,491,627,655
2006,Clearfield,374,413,491,704,830
2006,Clinton,443,444,535,640,658
2006,Columbia,430,472,575,735,872
2006,Crawford,391,434,491,652,744
2006,Cumberland,482,550,693,875,906
2006,Dauphin,482,550,693,875,906
2006,Delaware,649,742,886,1061,1262
2006,Elk,409,427,491,636,769
2006,Erie,388,438,565,676,768
2006,Fayette,548,601,719,894,965
2006,Forest,409,435,491,636,655
2006,Franklin,381,433,547,720,882
2006,Fulton,327,417,491,605,708
2006,Greene,408,434,491,587,604
2006,Huntingdon,319,395,491,634,653
2006,Indiana,436,454,525,627,686
2006,Jefferson,334,413,491,650,670
2006,Juniata,378,410,493,670,691
2006,Lackawanna,415,495,594,753,795
2006,Lancaster,458,544,670,850,893
2006,Lawrence,356,465,547,654,768
2006,Lebanon,376,449,578,784,809
2006,Lehigh,523,636,753,974,1031
2006,Luzerne,415,495,594,753,795
2006,Lycoming,380,437,526,691,710
2006,McKean,412,433,494,662,712
2006,Mercer,398,446,541,681,734
2006,Mifflin,346,400,491,637,798
2006,Monroe,504,621,776,991,1109
2006,Montgomery,649,742,886,1061,1262
2006,Montour,439,504,580,694,716
2006,Northampton,523,636,753,974,1031
2006,Northumberland,337,440,491,608,630
2006,Perry,482,550,693,875,906
2006,Philadelphia,649,742,886,1061,1262
2006,Pike,706,734,850,1151,1409
2006,Potter,408,443,491,651,669
2006,Schuylkill,327,427,491,613,674
2006,Snyder,342,449,528,661,713
2006,Somerset,408,408,491,603,638
2006,Sullivan,324,434,498,624,743
2006,Susquehanna,397,433,507,609,672
2006,Tioga,421,462,514,675,722
2006,Union,471,491,567,745,802
2006,Venango,377,412,491,620,704
2006,Warren,319,410,491,637,675
2006,Washington,548,601,719,894,965
2006,Wayne,478,480,603,753,849
2006,Westmoreland,548,601,719,894,965
2006,Wyoming,415,495,594,753,795
2006,York,438,503,638,771,799
2007,Adams,485,530,634,853,947
2007,Allegheny,570,625,748,930,1004
2007,Armstrong,438,476,526,673,883
2007,Beaver,570,625,748,930,1004
2007,Bedford,393,446,516,617,819
2007,Berks,489,546,673,900,928
2007,Blair,411,450,544,713,735
2007,Bradford,336,450,516,646,791
2007,Bucks,676,773,923,1105,1314
2007,Butler,570,625,748,930,1004
2007,Cambria,413,420,516,650,744
2007,Cameron,431,447,517,686,737
2007,Carbon,549,668,791,1024,1083
2007,Centre,565,630,742,887,914
2007,Chester,676,773,923,1105,1314
2007,Clarion,429,466,516,658,688
2007,Clearfield,393,434,516,740,873
2007,Clinton,465,466,562,673,691
2007,Columbia,452,496,604,773,916
2007,Crawford,411,456,516,685,782
2007,Cumberland,506,578,728,919,952
2007,Dauphin,506,578,728,919,952
2007,Delaware,676,773,923,1105,1314
2007,Elk,430,449,516,669,809
2007,Erie,407,460,594,710,808
2007,Fayette,570,625,748,930,1004
2007,Forest,430,457,516,669,688
2007,Franklin,401,455,575,757,927
2007,Fulton,344,439,516,636,744
2007,Greene,428,456,516,617,635
2007,Huntingdon,335,415,516,667,686
2007,Indiana,459,477,552,659,721
2007,Jefferson,351,434,516,683,704
2007,Juniata,397,430,518,704,726
2007,Lackawanna,436,520,624,791,836
2007,Lancaster,482,572,704,893,938
2007,Lawrence,374,489,575,688,807
2007,Lebanon,395,472,608,825,851
2007,Lehigh,549,668,791,1024,1083
2007,Luzerne,436,520,624,791,836
2007,Lycoming,400,459,553,726,747
2007,McKean,432,455,519,695,748
2007,Mercer,441,461,562,688,756
2007,Mifflin,363,421,516,670,839
2007,Monroe,530,653,816,1042,1166
2007,Montgomery,676,773,923,1105,1314
2007,Montour,462,530,610,730,753
2007,Northampton,549,668,791,1024,1083
2007,Northumberland,354,462,516,639,662
2007,Perry,506,578,728,919,952
2007,Philadelphia,676,773,923,1105,1314
2007,Pike,747,777,900,1219,1492
2007,Potter,429,465,516,684,703
2007,Schuylkill,344,448,516,644,708
2007,Snyder,360,472,555,694,749
2007,Somerset,429,429,516,634,671
2007,Sullivan,340,456,523,655,780
2007,Susquehanna,418,455,533,641,706
2007,Tioga,442,485,540,710,758
2007,Union,495,516,596,783,843
2007,Venango,396,433,516,652,739
2007,Warren,335,431,516,670,709
2007,Washington,570,625,748,930,1004
2007,Wayne,502,505,634,792,893
2007,Westmoreland,570,625,748,930,1004
2007,Wyoming,436,520,624,791,836
2007,York,460,529,671,811,840
2008,Adams,513,560,670,902,1000
2008,Allegheny,507,557,666,828,894
2008,Armstrong,454,494,546,699,917
2008,Beaver,507,557,666,828,894
2008,Bedford,416,472,546,652,867
2008,Berks,519,580,715,956,986
2008,Blair,439,480,581,761,786
2008,Bradford,355,476,546,683,836
2008,Bucks,682,781,932,1116,1327
2008,Butler,507,557,666,828,894
2008,Cambria,437,444,546,687,787
2008,Cameron,456,473,548,727,781
2008,Carbon,566,690,816,1056,1117
2008,Centre,600,669,788,942,971
2008,Chester,682,781,932,1116,1327
2008,Clarion,454,493,546,697,728
2008,Clearfield,416,459,546,783,923
2008,Clinton,493,495,596,713,733
2008,Columbia,441,484,589,753,893
2008,Crawford,435,482,546,725,828
2008,Cumberland,502,573,722,911,944
2008,Dauphin,502,573,722,911,944
2008,Delaware,682,781,932,1116,1327
2008,Elk,455,475,546,708,856
2008,Erie,433,489,631,755,858
2008,Fayette,507,557,666,828,894
2008,Forest,455,483,546,708,728
2008,Franklin,425,483,610,803,984
2008,Fulton,364,464,546,673,787
2008,Greene,453,483,546,652,672
2008,Huntingdon,355,440,546,705,726
2008,Indiana,485,505,584,697,763
2008,Jefferson,371,459,546,723,745
2008,Juniata,421,456,549,746,770
2008,Lackawanna,438,522,627,795,840
2008,Lancaster,489,581,715,907,953
2008,Lawrence,397,519,610,730,856
2008,Lebanon,418,499,643,873,900
2008,Lehigh,566,690,816,1056,1117
2008,Luzerne,438,522,627,795,840
2008,Lycoming,424,487,587,771,792
2008,McKean,459,483,551,738,794
2008,Mercer,457,478,583,714,785
2008,Mifflin,384,445,546,709,887
2008,Monroe,559,690,862,1101,1232
2008,Montgomery,682,781,932,1116,1327
2008,Montour,488,561,645,771,796
2008,Northampton,566,690,816,1056,1117
2008,Northumberland,375,489,546,676,701
2008,Perry,502,573,722,911,944
2008,Philadelphia,682,781,932,1116,1327
2008,Pike,766,797,923,1250,1530
2008,Potter,454,492,546,723,744
2008,Schuylkill,364,474,546,682,750
2008,Snyder,380,498,586,733,791
2008,Somerset,454,454,546,671,710
2008,Sullivan,361,483,554,694,827
2008,Susquehanna,444,483,566,680,750
2008,Tioga,468,514,572,752,803
2008,Union,524,546,631,829,892
2008,Venango,419,458,546,690,782
2008,Warren,355,456,546,709,750
2008,Washington,507,557,666,828,894
2008,Wayne,531,533,670,837,943
2008,Westmoreland,507,557,666,828,894
2008,Wyoming,438,522,627,795,840
2008,York,489,562,713,861,893
2009,Adams,526,575,688,926,1027
2009,Allegheny,541,594,710,883,953
2009,Armstrong,467,507,561,718,942
2009,Beaver,541,594,710,883,953
2009,Bedford,427,485,561,670,890
2009,Berks,532,594,733,980,1011
2009,Blair,450,493,596,781,806
2009,Bradford,365,489,561,702,859
2009,Bucks,736,842,1005,1203,1431
