Year,County,0BR,1BR,2BR,3BR,4BR
2006,Barrington town,Metro,757,827,965,1155
2006,Bristol town,Metro,757,827,965,1155
2006,Warren town,Metro,757,827,965,1155
2006,Coventry town,Metro,757,827,965,1155
2006,East Greenwich,town,Metro,757,827,965
2006,Warwick city,Metro,757,827,965,1155
2006,West Greenwich,town,Metro,757,827,965
2006,West Warwick,town,Metro,757,827,965
2006,Jamestown town,Metro,757,827,965,1155
2006,Little Compton,town,Metro,757,827,965
2006,Middletown town,Metro,623,760,939,1275
2006,Newport city,Metro,623,760,939,1275
2006,Portsmouth town,Metro,623,760,939,1275
2006,Tiverton town,Metro,757,827,965,1155
2006,Burrillville town,Metro,757,827,965,1155
2006,Central Falls,city,Metro,757,827,965
2006,Cranston city,Metro,757,827,965,1155
2006,Cumberland town,Metro,757,827,965,1155
2006,East Providence,city,Metro,757,827,965
2006,Foster town,Metro,757,827,965,1155
2006,Glocester town,Metro,757,827,965,1155
2006,Johnston town,Metro,757,827,965,1155
2006,Lincoln town,Metro,757,827,965,1155
2006,North Providence,town,Metro,757,827,965
2006,North Smithfield,town,Metro,757,827,965
2006,Pawtucket city,Metro,757,827,965,1155
2006,Providence city,Metro,757,827,965,1155
2006,Scituate town,Metro,757,827,965,1155
2006,Smithfield town,Metro,757,827,965,1155
2006,Woonsocket city,Metro,757,827,965,1155
2006,Charlestown town,Metro,757,827,965,1155
2006,Exeter town,Metro,757,827,965,1155
2006,Hopkinton town,Metro,517,650,760,908
2006,Narragansett town,Metro,757,827,965,1155
2006,New Shoreham,town,Metro,517,650,760
2006,North Kingstown,town,Metro,757,827,965
2006,Richmond town,Metro,757,827,965,1155
2006,South Kingstown,town,Metro,757,827,965
2006,Westerly town,Metro,517,650,760,908
2007,Barrington town,Metro,795,869,1014,1214
2007,Bristol town,Metro,795,869,1014,1214
2007,Warren town,Metro,795,869,1014,1214
2007,Coventry town,Metro,795,869,1014,1214
2007,East Greenwich,town,Metro,795,869,1014
2007,Warwick city,Metro,795,869,1014,1214
2007,West Greenwich,town,Metro,795,869,1014
2007,West Warwick,town,Metro,795,869,1014
2007,Jamestown town,Metro,795,869,1014,1214
2007,Little Compton,town,Metro,795,869,1014
2007,Middletown town,Metro,654,798,987,1340
2007,Newport city,Metro,654,798,987,1340
2007,Portsmouth town,Metro,654,798,987,1340
2007,Tiverton town,Metro,795,869,1014,1214
2007,Burrillville town,Metro,795,869,1014,1214
2007,Central Falls,city,Metro,795,869,1014
2007,Cranston city,Metro,795,869,1014,1214
2007,Cumberland town,Metro,795,869,1014,1214
2007,East Providence,city,Metro,795,869,1014
2007,Foster town,Metro,795,869,1014,1214
2007,Glocester town,Metro,795,869,1014,1214
2007,Johnston town,Metro,795,869,1014,1214
2007,Lincoln town,Metro,795,869,1014,1214
2007,North Providence,town,Metro,795,869,1014
2007,North Smithfield,town,Metro,795,869,1014
2007,Pawtucket city,Metro,795,869,1014,1214
2007,Providence city,Metro,795,869,1014,1214
2007,Scituate town,Metro,795,869,1014,1214
2007,Smithfield town,Metro,795,869,1014,1214
2007,Woonsocket city,Metro,795,869,1014,1214
2007,Charlestown town,Metro,795,869,1014,1214
2007,Exeter town,Metro,795,869,1014,1214
2007,Hopkinton town,Metro,543,683,799,955
2007,Narragansett town,Metro,795,869,1014,1214
2007,New Shoreham,town,Metro,543,683,799
2007,North Kingstown,town,Metro,795,869,1014
2007,Richmond town,Metro,795,869,1014,1214
2007,South Kingstown,town,Metro,795,869,1014
2007,Westerly town,Metro,543,683,799,955
2008,Barrington town,Metro,800,874,1020,1221
2008,Bristol town,Metro,800,874,1020,1221
2008,Warren town,Metro,800,874,1020,1221
2008,Coventry town,Metro,800,874,1020,1221
2008,East Greenwich,town,Metro,800,874,1020
2008,Warwick city,Metro,800,874,1020,1221
2008,West Greenwich,town,Metro,800,874,1020
2008,West Warwick,town,Metro,800,874,1020
2008,Jamestown town,Metro,800,874,1020,1221
2008,Little Compton,town,Metro,800,874,1020
2008,Middletown town,Metro,774,945,1168,1586
2008,Newport city,Metro,774,945,1168,1586
2008,Portsmouth town,Metro,774,945,1168,1586
2008,Tiverton town,Metro,800,874,1020,1221
2008,Burrillville town,Metro,800,874,1020,1221
2008,Central Falls,city,Metro,800,874,1020
2008,Cranston city,Metro,800,874,1020,1221
2008,Cumberland town,Metro,800,874,1020,1221
2008,East Providence,city,Metro,800,874,1020
2008,Foster town,Metro,800,874,1020,1221
2008,Glocester town,Metro,800,874,1020,1221
2008,Johnston town,Metro,800,874,1020,1221
2008,Lincoln town,Metro,800,874,1020,1221
2008,North Providence,town,Metro,800,874,1020
2008,North Smithfield,town,Metro,800,874,1020
2008,Pawtucket city,Metro,800,874,1020,1221
2008,Providence city,Metro,800,874,1020,1221
2008,Scituate town,Metro,800,874,1020,1221
