Year,County,0BR,1BR,2BR,3BR,4BR
2006,Abbeville,312,433,481,584,601
2006,Aiken,461,500,562,753,791
2006,Allendale,400,433,481,597,772
2006,Anderson,360,467,531,672,691
2006,Bamberg,399,401,481,642,660
2006,Barnwell,398,419,481,579,749
2006,Beaufort,567,682,772,941,1000
2006,Berkeley,529,586,663,864,1006
2006,Calhoun,521,567,632,781,805
2006,Charleston,529,586,663,864,1006
2006,Cherokee,393,394,481,576,611
2006,Chester,413,414,496,593,630
2006,Chesterfield,340,424,481,575,844
2006,Clarendon,419,420,504,604,688
2006,Colleton,312,389,481,680,698
2006,Darlington,312,400,481,578,622
2006,Dillon,399,406,481,601,660
2006,Dorchester,529,586,663,864,1006
2006,Edgefield,461,500,562,753,791
2006,Fairfield,521,567,632,781,805
2006,Florence,372,418,484,581,729
2006,Georgetown,471,472,569,737,890
2006,Greenville,496,539,599,791,813
2006,Greenwood,423,442,508,737,760
2006,Hampton,400,407,481,593,673
2006,Horry,533,586,684,817,990
2006,Jasper,442,480,534,637,723
2006,Kershaw,323,407,500,629,730
2006,Lancaster,326,411,481,661,728
2006,Laurens,425,461,511,646,754
2006,Lee,329,403,481,592,741
2006,Lexington,521,567,632,781,805
2006,McCormick,404,423,486,672,694
2006,Marion,397,398,481,584,600
2006,Marlboro,399,400,481,607,719
2006,Newberry,398,433,481,611,753
2006,Oconee,315,369,484,600,852
2006,Orangeburg,400,433,481,597,740
2006,Pickens,496,539,599,791,813
2006,Richland,521,567,632,781,805
2006,Saluda,521,567,632,781,805
2006,Spartanburg,462,478,558,702,723
2006,Sumter,414,450,498,640,677
2006,Union,400,401,481,664,746
2006,Williamsburg,419,420,504,604,688
2006,York,565,613,680,857,997
2007,Abbeville,324,450,500,607,625
2007,Aiken,480,521,585,783,824
2007,Allendale,416,450,500,621,803
2007,Anderson,374,486,552,699,719
2007,Bamberg,415,417,500,667,687
2007,Barnwell,414,436,500,602,779
2007,Beaufort,590,710,803,979,1040
2007,Berkeley,551,610,690,899,1047
2007,Calhoun,541,589,657,811,837
2007,Charleston,551,610,690,899,1047
2007,Cherokee,409,410,500,599,635
2007,Chester,429,430,516,617,655
2007,Chesterfield,354,441,500,598,878
2007,Clarendon,435,436,524,628,715
2007,Colleton,325,405,500,707,726
2007,Darlington,325,416,500,601,647
