Year,County,0BR,1BR,2BR,3BR,4BR
2006,Aurora,316,368,484,620,662
2006,Beadle,403,404,484,704,799
2006,Bennett,365,379,484,648,720
2006,Bon Homme,316,368,484,620,662
2006,Brookings,316,396,487,687,856
2006,Brown,355,380,501,636,756
2006,Brule,316,368,484,620,662
2006,Buffalo,316,368,484,620,662
2006,Butte,365,379,484,648,720
2006,Campbell,352,368,484,639,759
2006,Charles Mix,316,368,484,620,662
2006,Clark,324,377,484,654,772
2006,Clay,370,393,517,713,907
2006,Codington,361,422,555,717,819
2006,Corson,365,379,484,648,720
2006,Custer,365,379,484,648,720
2006,Davison,336,394,517,663,713
2006,Day,352,368,484,639,759
2006,Deuel,324,377,484,654,772
2006,Dewey,365,379,484,648,720
2006,Douglas,316,368,484,620,662
2006,Edmunds,352,368,484,639,759
2006,Fall River,359,374,492,638,710
2006,Faulk,352,368,484,639,759
2006,Grant,324,377,484,654,772
2006,Gregory,316,368,484,620,662
2006,Haakon,365,379,484,648,720
2006,Hamlin,324,377,484,654,772
2006,Hand,352,368,484,639,759
2006,Hanson,316,368,484,620,662
2006,Harding,365,379,484,648,720
2006,Hughes,323,405,500,627,647
2006,Hutchinson,316,368,484,620,662
2006,Hyde,316,368,484,620,662
2006,Jackson,365,379,484,648,720
2006,Jerauld,352,368,484,639,759
2006,Jones,365,379,484,648,720
2006,Kingsbury,324,377,484,654,772
2006,Lake,324,377,484,654,772
2006,Lawrence,343,416,512,713,761
2006,Lincoln,463,486,621,811,897
2006,Lyman,316,368,484,620,662
2006,McCook,463,486,621,811,897
2006,McPherson,352,368,484,639,759
2006,Marshall,352,368,484,639,759
2006,Meade,321,383,496,721,805
2006,Mellette,365,379,484,648,720
2006,Miner,324,377,484,654,772
2006,Minnehaha,463,486,621,811,897
2006,Moody,324,377,484,654,772
2006,Pennington,454,530,667,883,908
2006,Perkins,365,379,484,648,720
2006,Potter,365,379,484,648,720
2006,Roberts,352,368,484,639,759
2006,Sanborn,316,368,484,620,662
