Year,County,0BR,1BR,2BR,3BR,4BR
2006,Anderson,411,472,569,762,787
2006,Bedford,374,458,576,721,742
2006,Benton,363,364,460,569,624
2006,Bledsoe,301,377,460,604,622
2006,Blount,411,472,569,762,787
2006,Bradley,401,410,528,663,842
2006,Campbell,382,383,460,592,705
2006,Cannon,507,579,666,864,889
2006,Carroll,381,382,460,567,634
2006,Carter,334,404,501,622,776
2006,Cheatham,507,579,666,864,889
2006,Chester,431,470,593,794,815
2006,Claiborne,299,381,460,615,690
2006,Clay,372,373,460,597,615
2006,Cocke,300,370,460,551,751
2006,Coffee,411,412,494,670,732
2006,Crockett,382,415,460,600,619
2006,Cumberland,381,382,460,652,807
2006,Davidson,507,579,666,864,889
2006,Decatur,344,378,460,591,673
2006,DeKalb,382,383,460,664,686
2006,Dickson,507,579,666,864,889
2006,Dyer,310,365,478,637,696
2006,Fayette,527,572,636,847,874
2006,Fentress,372,373,460,597,615
2006,Franklin,316,380,488,710,854
2006,Gibson,377,385,460,578,639
2006,Giles,324,381,502,604,621
2006,Grainger,393,394,473,620,699
2006,Greene,299,376,460,623,640
2006,Grundy,301,377,460,604,622
2006,Hamblen,393,394,473,620,699
2006,Hamilton,469,496,584,719,845
2006,Hancock,381,382,460,589,708
2006,Hardeman,333,412,460,623,807
2006,Hardin,337,376,460,610,628
2006,Hawkins,362,389,483,647,774
2006,Haywood,386,400,523,625,687
2006,Henderson,322,427,498,594,612
2006,Henry,300,352,463,554,674
2006,Hickman,308,428,474,691,712
2006,Houston,363,364,460,569,624
2006,Humphreys,382,414,460,656,677
2006,Jackson,372,373,460,597,615
2006,Jefferson,393,394,473,620,699
2006,Johnson,298,371,460,617,647
2006,Knox,411,472,569,762,787
2006,Lake,342,382,460,597,633
2006,Lauderdale,405,406,488,593,612
2006,Lawrence,316,355,460,569,650
2006,Lewis,308,358,462,589,606
2006,Lincoln,381,382,460,562,579
2006,Loudon,411,472,569,762,787
2006,McMinn,405,407,489,585,779
2006,McNairy,299,351,460,664,684
2006,Macon,299,364,460,548,609
2006,Madison,431,470,593,794,815
2006,Marion,469,496,584,719,845
2006,Marshall,372,395,518,623,782
2006,Maury,397,496,611,778,801
2006,Meigs,301,377,460,604,622
2006,Monroe,363,364,462,553,705
2006,Montgomery,466,485,563,814,838
2006,Moore,403,404,483,638,658
2006,Morgan,380,380,460,575,671
