Year,County,0BR,1BR,2BR,3BR,4BR
2006,Anderson,432,453,522,687,901
2006,Andrews,401,412,484,648,724
2006,Angelina,413,470,526,681,702
2006,Aransas,362,449,535,780,804
2006,Archer,437,459,547,768,790
2006,Armstrong,409,443,553,762,854
2006,Atascosa,315,367,484,611,629
2006,Austin,476,477,574,762,786
2006,Bailey,373,416,484,630,798
2006,Bandera,500,556,687,886,1077
2006,Bastrop,578,658,804,1093,1265
2006,Baylor,328,389,484,617,732
2006,Bee,403,404,484,650,728
2006,Bell,430,475,604,879,1059
2006,Bexar,500,556,687,886,1077
2006,Blanco,385,414,523,687,787
2006,Borden,400,401,484,624,645
2006,Bosque,402,403,484,588,705
2006,Bowie,422,426,525,641,697
2006,Brazoria,501,559,642,885,951
2006,Brazos,497,562,686,869,896
2006,Brewster,352,368,484,579,627
2006,Briscoe,394,396,484,645,665
2006,Brooks,402,432,484,692,770
2006,Brown,385,418,527,670,769
2006,Burleson,497,562,686,869,896
2006,Burnet,392,459,603,759,780
2006,Caldwell,578,658,804,1093,1265
2006,Calhoun,345,408,523,659,882
2006,Callahan,398,419,528,687,870
2006,Cameron,373,430,493,609,689
2006,Camp,405,406,499,681,703
2006,Carson,409,443,553,762,854
2006,Cass,316,436,484,665,783
2006,Castro,394,396,484,645,665
2006,Chambers,551,612,743,990,1245
2006,Cherokee,393,431,484,647,673
2006,Childress,394,396,484,645,665
2006,Clay,437,459,547,768,790
2006,Cochran,373,416,484,630,798
2006,Coke,378,435,553,796,867
2006,Coleman,385,414,523,687,787
2006,Collin,548,607,733,954,1129
2006,Collingsworth,394,396,484,645,665
2006,Colorado,387,427,484,639,657
2006,Comal,500,556,687,886,1077
2006,Comanche,391,420,497,633,690
2006,Concho,400,401,484,624,645
2006,Cooke,445,446,562,694,714
2006,Coryell,430,475,604,879,1059
2006,Cottle,328,389,484,617,732
2006,Crane,401,425,484,628,746
2006,Crockett,400,401,484,624,645
2006,Crosby,386,470,594,841,868
2006,Culberson,401,425,484,628,746
2006,Dallam,361,396,523,625,641
2006,Dallas,548,607,733,954,1129
2006,Dawson,400,401,484,624,645
2006,Deaf Smith,315,401,484,703,801
2006,Delta,548,607,733,954,1129
2006,Denton,548,607,733,954,1129
2006,DeWitt,358,371,484,632,684
2006,Dickens,373,416,484,630,798
2006,Dimmit,397,398,484,659,781
2006,Donley,394,396,484,645,665
2006,Duval,334,420,484,645,686
2006,Eastland,391,420,497,633,690
2006,Ector,350,371,486,700,814
2006,Edwards,397,398,484,659,781
2006,Ellis,548,607,733,954,1129
2006,El Paso,442,473,564,809,959
2006,Erath,390,423,528,644,664
2006,Falls,318,434,489,624,647
2006,Fannin,420,423,504,628,647
2006,Fayette,400,453,549,682,702
2006,Fisher,374,375,484,692,752
2006,Floyd,373,416,484,630,798
2006,Foard,328,389,484,617,732
2006,Fort Bend,551,612,743,990,1245
2006,Franklin,362,416,502,615,739
2006,Freestone,318,434,489,639,659
2006,Frio,388,476,579,733,872
2006,Gaines,402,428,484,628,752
2006,Galveston,551,612,743,990,1245
2006,Garza,373,416,484,630,798
2006,Gillespie,409,478,628,870,896
2006,Glasscock,400,401,484,624,645
2006,Goliad,399,460,589,733,868
2006,Gonzales,332,378,484,704,725
