Year,County,0BR,1BR,2BR,3BR,4BR
2006,Beaver,482,483,591,837,891
2006,Box Elder,375,459,578,764,889
2006,Cache,440,475,594,797,984
2006,Carbon,429,430,517,679,797
2006,Daggett,445,483,536,695,942
2006,Davis,416,501,617,848,1003
2006,Duchesne,445,483,536,692,942
2006,Emery,445,483,536,695,942
2006,Garfield,482,483,591,837,891
2006,Grand,446,486,539,695,946
2006,Iron,441,466,536,781,942
2006,Juab,507,558,652,949,1143
2006,Kane,482,483,591,837,889
2006,Millard,482,483,591,837,891
2006,Morgan,416,501,617,848,1003
2006,Piute,482,483,591,837,891
2006,Rich,450,477,597,802,974
2006,Salt Lake,526,572,690,971,1130
2006,San Juan,445,483,536,695,942
2006,Sanpete,482,483,591,837,891
2006,Sevier,482,483,591,837,891
2006,Summit,638,886,984,1378,1726
2006,Tooele,473,530,630,796,1104
2006,Uintah,417,454,503,660,743
2006,Utah,507,558,652,949,1143
2006,Wasatch,499,584,769,919,1104
2006,Washington,504,529,628,913,1027
2006,Wayne,482,483,591,837,891
2006,Weber,416,501,617,848,1003
2007,Beaver,499,501,612,867,922
2007,Box Elder,388,475,598,791,920
2007,Cache,456,492,615,825,1018
2007,Carbon,444,445,535,703,825
2007,Daggett,461,501,555,720,975
2007,Davis,431,519,639,879,1039
2007,Duchesne,461,501,555,717,975
2007,Emery,461,501,555,720,975
2007,Garfield,499,501,612,867,922
2007,Grand,462,503,558,719,979
2007,Iron,457,482,555,809,975
2007,Juab,525,578,675,982,1183
2007,Kane,499,501,612,867,921
2007,Millard,499,501,612,867,922
2007,Morgan,431,519,639,879,1039
2007,Piute,499,501,612,867,922
2007,Rich,465,494,618,831,1008
2007,Salt Lake,545,592,714,1005,1170
2007,San Juan,461,501,555,720,975
2007,Sanpete,499,501,612,867,922
2007,Sevier,499,501,612,867,922
2007,Summit,660,916,1018,1425,1786
2007,Tooele,490,548,652,824,1142
2007,Uintah,431,468,519,681,767
2007,Utah,525,578,675,982,1183
2007,Wasatch,517,604,796,951,1142
2007,Washington,522,547,650,945,1063
2007,Wayne,499,501,612,867,922
2007,Weber,431,519,639,879,1039
2008,Beaver,495,497,607,860,915
2008,Box Elder,385,472,594,785,914
2008,Cache,454,490,613,822,1015
2008,Carbon,461,462,555,729,856
2008,Daggett,461,501,555,720,975
2008,Davis,467,562,692,952,1125
2008,Duchesne,620,673,747,964,1312
2008,Emery,461,501,555,720,975
2008,Garfield,495,497,607,860,915
2008,Grand,460,501,555,715,974
2008,Iron,457,482,555,809,975
2008,Juab,519,571,667,970,1169
2008,Kane,495,497,607,860,914
2008,Millard,495,497,607,860,915
2008,Morgan,467,562,692,952,1125
2008,Piute,495,497,607,860,915
2008,Rich,461,489,612,823,998
2008,Salt Lake,575,625,754,1061,1235
2008,San Juan,461,501,555,720,975
2008,Sanpete,495,497,607,860,915
2008,Sevier,495,497,607,860,915
2008,Summit,636,884,982,1375,1722
2008,Tooele,479,537,638,806,1118
2008,Uintah,534,580,643,845,950
2008,Utah,519,571,667,970,1169
2008,Wasatch,511,598,788,942,1131
2008,Washington,517,542,644,936,1053
2008,Wayne,495,497,607,860,915
2008,Weber,467,562,692,952,1125
2009,Beaver,512,514,628,889,946
2009,Box Elder,399,488,615,813,946
2009,Cache,471,508,635,852,1052
2009,Carbon,479,480,577,758,890
2009,Daggett,479,520,577,748,1014
2009,Davis,484,582,717,986,1166
2009,Duchesne,638,694,769,993,1351
2009,Emery,479,520,577,748,1014
2009,Garfield,512,514,628,889,946
2009,Grand,478,520,577,744,1013
2009,Iron,475,501,577,841,1014
2009,Juab,521,574,670,975,1175
2009,Kane,512,514,628,889,945
2009,Millard,512,514,628,889,946
2009,Morgan,484,582,717,986,1166
2009,Piute,512,514,628,889,946
2009,Rich,477,507,634,852,1034
2009,Salt Lake,612,665,802,1128,1314
2009,San Juan,479,520,577,748,1014
2009,Sanpete,512,514,628,889,946
2009,Sevier,512,514,628,889,946
2009,Summit,658,914,1016,1422,1782
2009,Tooele,509,570,678,857,1188
2009,Uintah,550,598,663,871,979
2009,Utah,521,574,670,975,1175
2009,Wasatch,530,619,816,975,1171
2009,Washington,536,562,667,970,1091
2009,Wayne,512,514,628,889,946
2009,Weber,484,582,717,986,1166
2010,Beaver,535,537,656,929,989
2010,Box Elder,417,511,643,850,989
2010,Cache,491,530,663,889,1098
2010,Carbon,488,489,588,773,907
2010,Daggett,495,538,596,773,1047
2010,Davis,506,608,749,1030,1218
2010,Duchesne,662,720,798,1030,1402
2010,Emery,495,538,596,773,1047
2010,Garfield,535,537,656,929,989
2010,Grand,496,540,599,772,1051
2010,Iron,491,518,596,868,1047
2010,Juab,544,598,699,1017,1225
2010,Kane,535,537,656,929,987
2010,Millard,535,537,656,929,989
2010,Morgan,506,608,749,1030,1218
2010,Piute,535,537,656,929,989
2010,Rich,499,530,663,891,1081
2010,Salt Lake,638,693,836,1176,1369
2010,San Juan,495,538,596,773,1047
2010,Sanpete,535,537,656,929,989
2010,Sevier,535,537,656,929,989
2010,Summit,686,953,1059,1483,1857
2010,Tooele,532,595,708,895,1240
2010,Uintah,571,621,688,903,1016
2010,Utah,544,598,699,1017,1225
2010,Wasatch,554,647,853,1019,1224
2010,Washington,560,587,697,1013,1140
2010,Wayne,535,537,656,929,989
2010,Weber,506,608,749,1030,1218
2011,Beaver,548,550,672,952,1013
2011,Box Elder,426,522,658,870,1012
2011,Cache,502,542,677,908,1121
2011,Carbon,495,496,596,783,919
2011,Daggett,507,551,611,792,1074
2011,Davis,518,623,767,1055,1247
2011,Duchesne,678,737,817,1055,1435
2011,Emery,507,551,611,792,1074
2011,Garfield,548,550,672,952,1013
2011,Grand,508,553,613,790,1076
2011,Iron,503,531,611,890,1074
2011,Juab,556,612,715,1040,1253
2011,Kane,548,550,672,952,1011
2011,Millard,548,550,672,952,1013
2011,Morgan,518,623,767,1055,1247
2011,Piute,548,550,672,952,1013
2011,Rich,511,542,678,911,1106
2011,Salt Lake,630,685,826,1162,1353
2011,San Juan,507,551,611,792,1074
2011,Sanpete,548,550,672,952,1013
2011,Sevier,548,550,672,952,1013
2011,Summit,695,966,1073,1502,1882
2011,Tooele,544,610,725,916,1270
2011,Uintah,584,635,704,924,1040
2011,Utah,556,612,715,1040,1253
2011,Wasatch,567,663,873,1043,1253
2011,Washington,573,600,713,1037,1166
2011,Wayne,548,550,672,952,1013
2011,Weber,518,623,767,1055,1247
2012,Beaver,477,478,584,827,880
2012,Box Elder,388,475,598,791,920
2012,Cache,461,498,622,834,1030
2012,Carbon,485,486,584,767,901
2012,Daggett,510,554,614,796,1079
2012,Davis,493,593,730,1004,1187
2012,Duchesne,496,538,597,771,1049
2012,Emery,485,527,584,757,1026
2012,Garfield,477,478,584,827,880
2012,Grand,546,594,659,849,1157
2012,Iron,509,537,618,900,1086
2012,Juab,531,585,683,994,1197
2012,Kane,477,478,584,827,879
2012,Millard,477,478,584,827,880
2012,Morgan,493,593,730,1004,1187
2012,Piute,534,535,654,926,986
2012,Rich,657,697,872,1172,1422
2012,Salt Lake,591,642,774,1089,1268
2012,San Juan,485,527,584,757,1026
2012,Sanpete,480,481,588,833,886
2012,Sevier,477,478,584,827,880
2012,Summit,574,797,886,1240,1554
2012,Tooele,519,581,691,873,1211
2012,Uintah,531,577,640,840,945
2012,Utah,531,585,683,994,1197
2012,Wasatch,573,670,883,1055,1267
2012,Washington,603,632,751,1092,1228
2012,Wayne,732,734,897,1270,1352
2012,Weber,493,593,730,1004,1187
2013,Beaver,467,519,615,850,853
2013,Box Elder,467,519,615,906,1089
2013,Cache,473,476,631,908,1108
2013,Carbon,466,469,615,766,871
2013,Daggett,602,669,793,988,1238
2013,Davis,473,579,759,1070,1285
2013,Duchesne,486,540,640,943,1134
2013,Emery,467,519,615,766,923
2013,Garfield,479,482,648,807,938
2013,Grand,534,593,703,1036,1039
2013,Iron,435,543,644,907,1141
2013,Juab,483,617,737,1066,1305
2013,Kane,467,519,615,906,909
2013,Millard,467,519,615,906,1065
2013,Morgan,473,579,759,1070,1285
2013,Piute,617,685,812,1011,1268
2013,Rich,699,776,920,1146,1436
2013,Salt Lake,564,677,839,1197,1408
2013,San Juan,467,519,615,830,833
2013,Sanpete,464,467,615,766,822
2013,Sevier,467,519,615,795,951
2013,Summit,619,681,921,1277,1282
2013,Tooele,539,569,758,979,1242
2013,Uintah,607,611,827,1117,1294
2013,Utah,483,617,737,1066,1305
2013,Wasatch,645,717,850,1253,1257
2013,Washington,518,595,782,1073,1378
2013,Wayne,467,519,615,874,986
2013,Weber,473,579,759,1070,1285
2014,Beaver,474,526,624,863,866
2014,Box Elder,473,525,623,918,1103
2014,Cache,478,481,637,917,1118
2014,Carbon,472,475,623,776,882
2014,Daggett,586,651,772,961,1205
2014,Davis,481,589,772,1089,1307
2014,Duchesne,510,567,672,990,1190
2014,Emery,473,525,623,776,935
2014,Garfield,484,488,655,816,948
2014,Grand,532,590,700,1031,1035
2014,Iron,421,525,623,878,1103
2014,Juab,477,610,729,1054,1291
2014,Kane,600,666,790,1164,1168
2014,Millard,473,525,623,918,1079
2014,Morgan,481,589,772,1089,1307
2014,Piute,591,657,779,970,1216
2014,Rich,598,664,787,980,1229
2014,Salt Lake,589,707,876,1249,1471
2014,San Juan,473,525,623,841,844
2014,Sanpete,481,484,637,793,851
2014,Sevier,473,525,623,805,963
2014,Summit,615,676,914,1268,1272
2014,Tooele,545,575,767,990,1257
2014,Uintah,667,671,908,1227,1421
2014,Utah,477,610,729,1054,1291
2014,Wasatch,639,709,841,1239,1243
2014,Washington,499,573,753,1033,1327
2014,Wayne,473,525,623,885,999
2014,Weber,481,589,772,1089,1307
2015,Beaver,460,511,606,838,841
2015,Box Elder,460,511,606,893,1073
2015,Cache,487,490,649,934,1140
2015,Carbon,461,464,608,757,861
2015,Daggett,604,671,795,990,1241
2015,Davis,485,594,778,1097,1317
2015,Duchesne,558,620,735,1083,1302
2015,Emery,460,511,606,755,910
2015,Garfield,448,451,606,755,877
2015,Grand,575,638,757,1115,1119
2015,Iron,410,511,606,854,1073
2015,Juab,500,639,763,1103,1351
2015,Kane,525,584,692,1020,1023
2015,Millard,460,511,606,893,1050
2015,Morgan,485,594,778,1097,1317
2015,Piute,603,670,794,989,1240
2015,Rich,460,511,606,755,946
2015,Salt Lake,606,727,901,1285,1513
