Year,County,0BR,1BR,2BR,3BR,4BR
2006,Addison,472,591,711,935,1247
2006,Bridport,472,591,711,935,1247
2006,Bristol,472,591,711,935,1247
2006,Cornwall,472,591,711,935,1247
2006,Ferrisburg,472,591,711,935,1247
2006,Goshen,472,591,711,935,1247
2006,Granville,472,591,711,935,1247
2006,Hancock,472,591,711,935,1247
2006,Leicester,472,591,711,935,1247
2006,Lincoln,472,591,711,935,1247
2006,Middlebury,472,591,711,935,1247
2006,Monkton,472,591,711,935,1247
2006,New Haven,472,591,711,935,1247
2006,Orwell,472,591,711,935,1247
2006,Panton,472,591,711,935,1247
2006,Ripton,472,591,711,935,1247
2006,Salisbury,472,591,711,935,1247
2006,Shoreham,472,591,711,935,1247
2006,Starksboro,472,591,711,935,1247
2006,Vergennes,472,591,711,935,1247
2006,Waltham,472,591,711,935,1247
2006,Weybridge,472,591,711,935,1247
2006,Whiting,472,591,711,935,1247
2006,Arlington,471,590,687,895,1052
2006,Bennington,471,590,687,895,1052
2006,Dorset,471,590,687,895,1052
2006,Glastenbury,471,590,687,895,1052
2006,Landgrove,471,590,687,895,1052
2006,Manchester,471,590,687,895,1052
2006,Peru,471,590,687,895,1052
2006,Pownal,471,590,687,895,1052
2006,Readsboro,471,590,687,895,1052
2006,Rupert,471,590,687,895,1052
2006,Sandgate,471,590,687,895,1052
2006,Searsburg,471,590,687,895,1052
2006,Shaftsbury,471,590,687,895,1052
2006,Stamford,471,590,687,895,1052
2006,Sunderland,471,590,687,895,1052
2006,Winhall,471,590,687,895,1052
2006,Woodford,471,590,687,895,1052
2006,Barnet,446,463,581,736,762
2006,Burke,446,463,581,736,762
2006,Danville,446,463,581,736,762
2006,Groton,446,463,581,736,762
2006,Hardwick,446,463,581,736,762
2006,Kirby,446,463,581,736,762
2006,Lyndon,446,463,581,736,762
2006,Newark,446,463,581,736,762
2006,Peacham,446,463,581,736,762
2006,Ryegate,446,463,581,736,762
2006,St. Johnsbury,446,463,581,736,762
2006,Sheffield,446,463,581,736,762
2006,Stannard,446,463,581,736,762
2006,Sutton,446,463,581,736,762
2006,Walden,446,463,581,736,762
2006,Waterford,446,463,581,736,762
2006,Wheelock,446,463,581,736,762
2006,Bolton,673,745,935,1197,1342
2006,Buels gore,673,745,935,1197,1342
2006,Burlington,673,745,935,1197,1342
2006,Charlotte,673,745,935,1197,1342
2006,Colchester,673,745,935,1197,1342
2006,Essex,673,745,935,1197,1342
2006,Hinesburg,673,745,935,1197,1342
2006,Huntington,673,745,935,1197,1342
2006,Jericho,673,745,935,1197,1342
2006,Milton,673,745,935,1197,1342
2006,Richmond,673,745,935,1197,1342
2006,St. George,673,745,935,1197,1342
2006,Shelburne,673,745,935,1197,1342
2006,South Burlington,673,745,935,1197,1342
2006,Underhill,673,745,935,1197,1342
2006,Westford,673,745,935,1197,1342
2006,Williston,673,745,935,1197,1342
2006,Winooski,673,745,935,1197,1342
2006,Averill,459,515,626,798,936
2006,Avery's gore,459,515,626,798,936
2006,Bloomfield,459,515,626,798,936
2006,Brighton,459,515,626,798,936
2006,Brunswick,459,515,626,798,936
2006,Canaan,459,515,626,798,936
2006,Concord,459,515,626,798,936
2006,East Haven,459,515,626,798,936
2006,Ferdinand,459,515,626,798,936
2006,Granby,459,515,626,798,936
2006,Guildhall,459,515,626,798,936
2006,Lemington,459,515,626,798,936
2006,Lewis,459,515,626,798,936
2006,Lunenburg,459,515,626,798,936
2006,Maidstone,459,515,626,798,936
2006,Norton,459,515,626,798,936
2006,Victory,459,515,626,798,936
2006,Warner's grant,459,515,626,798,936
2006,Warren's gore,459,515,626,798,936
2006,Bakersfield,673,745,935,1197,1342
2006,Berkshire,673,745,935,1197,1342
2006,Enosburg,673,745,935,1197,1342
2006,Fairfax,673,745,935,1197,1342
2006,Fairfield,673,745,935,1197,1342
2006,Fletcher,673,745,935,1197,1342
2006,Franklin,673,745,935,1197,1342
2006,Georgia,673,745,935,1197,1342
2006,Highgate,673,745,935,1197,1342
2006,Montgomery,673,745,935,1197,1342
2006,Richford,673,745,935,1197,1342
2006,St. Albans,673,745,935,1197,1342
2006,St. Albans,673,745,935,1197,1342
2006,Sheldon,673,745,935,1197,1342
2006,Swanton,673,745,935,1197,1342
2006,Alburg,673,745,935,1197,1342
2006,Grand Isle,673,745,935,1197,1342
2006,Isle La,Motte,673,745,935,1197
2006,North Hero,673,745,935,1197,1342
2006,South Hero,673,745,935,1197,1342
2006,Belvidere,465,559,651,907,1143
2006,Cambridge,465,559,651,907,1143
2006,Eden,465,559,651,907,1143
2006,Elmore,465,559,651,907,1143
2006,Hyde Park,465,559,651,907,1143
2006,Johnson,465,559,651,907,1143
2006,Morristown,465,559,651,907,1143
2006,Stowe,465,559,651,907,1143
2006,Waterville,465,559,651,907,1143
2006,Wolcott,465,559,651,907,1143
2006,Bradford,496,560,652,908,936
2006,Braintree,496,560,652,908,936
2006,Brookfield,496,560,652,908,936
2006,Chelsea,496,560,652,908,936
2006,Corinth,496,560,652,908,936
2006,Fairlee,496,560,652,908,936
2006,Newbury,496,560,652,908,936
2006,Orange,496,560,652,908,936
2006,Randolph,496,560,652,908,936
2006,Strafford,496,560,652,908,936
2006,Thetford,496,560,652,908,936
2006,Topsham,496,560,652,908,936
2006,Tunbridge,496,560,652,908,936
2006,Vershire,496,560,652,908,936
2006,Washington,496,560,652,908,936
2006,West Fairlee,496,560,652,908,936
2006,Williamstown,496,560,652,908,936
2006,Albany,334,462,516,652,819
