Year,County,0BR,1BR,2BR,3BR,4BR
2006,Accomack,330,452,508,617,760
2006,Albemarle,535,643,761,986,1091
2006,Alleghany,314,402,483,587,612
2006,Amelia,625,678,757,1010,1206
2006,Amherst,432,443,534,658,735
2006,Appomattox,432,443,534,658,735
2006,Arlington,948,1080,1225,1580,2068
2006,Augusta,421,433,565,808,929
2006,Bath,413,429,533,736,888
2006,Bedford,432,443,534,658,735
2006,Bland,402,416,483,616,684
2006,Botetourt,428,456,589,747,816
2006,Brunswick,415,428,499,622,861
2006,Buchanan,402,416,483,616,684
2006,Buckingham,402,434,483,621,785
2006,Campbell,432,443,534,658,735
2006,Caroline,625,678,757,1010,1206
2006,Carroll,401,436,483,579,644
2006,Charles City,625,678,757,1010,1206
2006,Charlotte,402,434,483,621,785
2006,Chesterfield,625,678,757,1010,1206
2006,Clarke,948,1080,1225,1580,2068
2006,Craig,428,456,589,747,816
2006,Culpeper,599,610,722,934,992
2006,Cumberland,625,678,757,1010,1206
2006,Dickenson,402,431,483,630,648
2006,Dinwiddie,625,678,757,1010,1206
2006,Essex,388,479,590,803,828
2006,Fairfax,948,1080,1225,1580,2068
2006,Fauquier,948,1080,1225,1580,2068
2006,Floyd,443,482,534,743,940
2006,Fluvanna,535,643,761,986,1091
2006,Franklin,313,375,483,578,615
2006,Frederick,472,490,647,893,919
2006,Giles,314,408,483,616,850
2006,Gloucester,672,706,811,1118,1401
2006,Goochland,625,678,757,1010,1206
2006,Grayson,402,416,483,616,684
2006,Greene,535,643,761,986,1091
2006,Greensville,416,451,500,604,750
2006,Halifax,314,436,483,649,849
2006,Hanover,625,678,757,1010,1206
2006,Henrico,625,678,757,1010,1206
2006,Henry,372,387,483,619,710
2006,Highland,413,429,533,736,888
2006,Isle of,Wight,672,706,811,1118
2006,James City,672,706,811,1118,1401
2006,King and,Queen,625,678,757,1010
2006,King George,604,606,728,1059,1090
2006,King William,625,678,757,1010,1206
2006,Lancaster,388,477,581,715,769
2006,Lee,313,378,483,621,657
2006,Loudoun,948,1080,1225,1580,2068
2006,Louisa,444,504,574,687,707
2006,Lunenburg,415,428,499,622,861
2006,Madison,426,475,574,794,820
2006,Mathews,672,706,811,1118,1401
2006,Mecklenburg,316,394,486,596,795
2006,Middlesex,388,477,581,708,769
2006,Montgomery,469,513,575,789,1010
2006,Nelson,535,643,761,986,1091
2006,New Kent,625,678,757,1010,1206
2006,Northampton,388,477,581,708,769
2006,Northumberland,388,477,581,708,769
2006,Nottoway,402,434,483,686,785
2006,Orange,387,533,593,863,1041
2006,Page,327,382,501,646,666
2006,Patrick,400,436,483,598,616
2006,Pittsylvania,340,390,503,627,674
2006,Powhatan,625,678,757,1010,1206
2006,Prince Edward,468,469,564,675,904
2006,Prince George,625,678,757,1010,1206
2006,Prince William,948,1080,1225,1580,2068
2006,Pulaski,367,387,483,692,744
2006,Rappahannock,426,475,574,794,820
2006,Richmond,388,477,581,708,769
2006,Roanoke,428,456,589,747,816
2006,Rockbridge,386,434,483,703,847
2006,Rockingham,434,482,586,821,843
2006,Russell,315,417,483,591,610
2006,Scott,362,389,483,647,774
2006,Shenandoah,398,426,521,695,770
2006,Smyth,399,434,483,613,794
2006,Southampton,349,483,535,662,942
2006,Spotsylvania,948,1080,1225,1580,2068
2006,Stafford,948,1080,1225,1580,2068
2006,Surry,672,706,811,1118,1401
2006,Sussex,625,678,757,1010,1206
2006,Tazewell,402,403,483,620,701
2006,Warren,451,524,653,918,946
2006,Washington,362,389,483,647,774
2006,Westmoreland,392,478,603,827,852
2006,Wise,402,410,483,628,792
2006,Wythe,314,398,483,633,850
2006,York,672,706,811,1118,1401
2006,Alexandria city,Metro,948,1080,1225,1580
2006,Bedford city,Metro,432,443,534,658
2006,Bristol city,Metro,362,389,483,647
2006,Buena Vista,city,386,434,483,703
2006,Charlottesville city,Metro,535,643,761,986
2006,Chesapeake city,Metro,672,706,811,1118
2006,Colonial Heights,city,Metro,625,678,757
2006,Covington city,314,402,483,587,612
2006,Danville city,Metro,340,390,503,627
2006,Emporia city,416,451,500,604,750
2006,Fairfax city,Metro,948,1080,1225,1580
2006,Falls Church,city,Metro,948,1080,1225
2006,Franklin city,349,483,535,662,942
2006,Fredericksburg city,Metro,948,1080,1225,1580
2006,Galax city,401,436,483,579,644
2006,Hampton city,Metro,672,706,811,1118
2006,Harrisonburg city,Metro,434,482,586,821
2006,Hopewell city,Metro,625,678,757,1010
2006,Lexington city,386,434,483,703,847
2006,Lynchburg city,Metro,432,443,534,658
2006,Manassas city,Metro,948,1080,1225,1580
2006,Manassas Park,city,Metro,948,1080,1225
2006,Martinsville city,372,387,483,619,710
2006,Newport News,city,Metro,672,706,811
2006,Norfolk city,Metro,672,706,811,1118
2006,Norton city,402,410,483,628,792
2006,Petersburg city,Metro,625,678,757,1010
2006,Poquoson city,Metro,672,706,811,1118
2006,Portsmouth city,Metro,672,706,811,1118
2006,Radford city,Metro,469,513,575,789
2006,Richmond city,Metro,625,678,757,1010
2006,Roanoke city,Metro,428,456,589,747
2006,Salem city,Metro,428,456,589,747
2006,Staunton city,421,433,565,808,929
2006,Suffolk city,Metro,672,706,811,1118
2006,Virginia Beach,city,Metro,672,706,811
2006,Waynesboro city,421,433,565,808,929
2006,Williamsburg city,Metro,672,706,811,1118
2006,Winchester city,Metro,472,490,647,893
2007,Accomack,343,469,528,642,790
2007,Albemarle,557,669,792,1026,1136
2007,Alleghany,326,418,502,610,636
2007,Amelia,651,705,788,1051,1255
2007,Amherst,450,461,556,686,765
2007,Appomattox,450,461,556,686,765
2007,Arlington,995,1134,1286,1659,2171
2007,Augusta,438,451,588,841,967
2007,Bath,429,446,554,765,923
2007,Bedford,450,461,556,686,765
2007,Bland,418,433,502,640,711
2007,Botetourt,446,474,613,778,849
2007,Brunswick,431,445,519,647,896
2007,Buchanan,418,433,502,640,711
2007,Buckingham,418,451,502,645,816
2007,Campbell,450,461,556,686,765
2007,Caroline,651,705,788,1051,1255
2007,Carroll,417,453,502,602,669
2007,Charles City,651,705,788,1051,1255
2007,Charlotte,418,451,502,645,816
2007,Chesterfield,651,705,788,1051,1255
2007,Clarke,995,1134,1286,1659,2171
2007,Craig,446,474,613,778,849
2007,Culpeper,631,642,760,983,1044
2007,Cumberland,651,705,788,1051,1255
2007,Dickenson,418,448,502,655,674
2007,Dinwiddie,651,705,788,1051,1255
2007,Essex,404,499,614,836,861
2007,Fairfax,995,1134,1286,1659,2171
2007,Fauquier,995,1134,1286,1659,2171
2007,Floyd,461,502,556,773,979
2007,Fluvanna,557,669,792,1026,1136
