Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,366,436,559,750,774
2006,Asotin,424,440,551,782,953
2006,Benton,457,498,625,845,1001
2006,Chelan,469,497,628,847,975
2006,Clallam,414,458,596,871,898
2006,Clark,539,625,723,1053,1265
2006,Columbia,377,440,581,785,937
2006,Cowlitz,403,506,588,857,977
2006,Douglas,469,497,628,847,975
2006,Ferry,366,433,559,750,774
2006,Franklin,457,498,625,845,1001
2006,Garfield,377,440,581,785,937
2006,Grant,372,443,573,774,795
2006,Grays Harbor,378,444,583,821,844
2006,Island,538,540,651,947,1143
2006,Jefferson,472,579,708,1029,1059
2006,King,612,698,840,1187,1450
2006,Kitsap,555,623,767,1098,1199
2006,Kittitas,422,492,648,868,901
2006,Klickitat,488,495,588,826,850
2006,Lewis,408,522,627,838,876
2006,Lincoln,366,433,559,750,774
2006,Mason,459,540,647,884,1047
2006,Okanogan,406,489,575,787,866
2006,Pacific,401,432,566,803,834
2006,Pend Oreille,366,433,559,750,774
2006,Pierce,532,621,774,1128,1269
2006,San Juan,578,621,768,1104,1348
2006,Skagit,516,638,792,1083,1352
2006,Skamania,539,625,723,1053,1265
2006,Snohomish,612,698,840,1187,1450
2006,Spokane,411,481,634,870,987
2006,Stevens,363,437,558,764,835
2006,Thurston,522,586,749,1088,1315
2006,Wahkiakum,406,504,589,858,984
2006,Walla Walla,377,440,581,835,861
2006,Whatcom,517,571,716,1045,1177
2006,Whitman,408,449,583,823,1008
2006,Yakima,436,511,661,871,918
2007,Adams,379,452,579,777,801
2007,Asotin,438,455,570,809,986
2007,Benton,473,516,647,875,1036
2007,Chelan,486,514,650,877,1009
2007,Clallam,477,528,687,1004,1035
2007,Clark,550,638,737,1073,1289
2007,Columbia,390,456,601,812,969
2007,Cowlitz,417,524,609,887,1012
2007,Douglas,486,514,650,877,1009
2007,Ferry,379,448,579,777,801
2007,Franklin,473,516,647,875,1036
2007,Garfield,390,456,601,812,969
2007,Grant,385,458,593,801,822
2007,Grays Harbor,391,459,603,849,873
2007,Island,681,682,823,1197,1445
2007,Jefferson,489,600,733,1066,1097
2007,King,623,710,854,1207,1474
2007,Kitsap,566,635,782,1119,1222
2007,Kittitas,437,509,671,899,933
2007,Klickitat,505,513,609,855,881
2007,Lewis,422,540,649,867,907
2007,Lincoln,379,448,579,777,801
2007,Mason,475,559,670,915,1084
2007,Okanogan,420,506,595,814,896
2007,Pacific,415,447,586,831,864
2007,Pend Oreille,379,448,579,777,801
2007,Pierce,541,632,788,1148,1292
2007,San Juan,598,643,795,1142,1395
2007,Skagit,534,661,820,1122,1400
2007,Skamania,550,638,737,1073,1289
2007,Snohomish,623,710,854,1207,1474
2007,Spokane,425,498,656,901,1021
2007,Stevens,375,452,577,790,863
2007,Thurston,532,597,763,1108,1340
2007,Wahkiakum,420,522,610,888,1019
2007,Walla Walla,390,456,601,864,891
2007,Whatcom,535,591,741,1081,1218
2007,Whitman,422,465,603,851,1043
2007,Yakima,451,529,684,901,950
2008,Adams,390,465,596,800,825
2008,Asotin,461,479,599,851,1036
2008,Benton,484,528,662,895,1061
2008,Chelan,500,529,669,902,1039
2008,Clallam,491,544,707,1033,1065
2008,Clark,565,655,757,1102,1324
2008,Columbia,402,469,619,836,998
2008,Cowlitz,430,541,628,915,1043
2008,Douglas,500,529,669,902,1039
2008,Ferry,390,461,596,800,825
2008,Franklin,484,528,662,895,1061
2008,Garfield,402,469,619,836,998
2008,Grant,397,472,611,825,847
2008,Grays Harbor,404,473,622,876,900
2008,Island,702,704,849,1235,1491
2008,Jefferson,503,617,754,1096,1128
2008,King,687,783,942,1331,1626
2008,Kitsap,577,647,797,1141,1246
2008,Kittitas,450,524,691,926,961
2008,Klickitat,521,529,628,882,908
2008,Lewis,435,556,668,892,933
2008,Lincoln,390,461,596,800,825
2008,Mason,489,575,690,943,1116
2008,Okanogan,436,525,617,844,929
2008,Pacific,427,460,603,855,889
2008,Pend Oreille,390,461,596,800,825
2008,Pierce,581,678,845,1231,1385
2008,San Juan,615,662,818,1175,1436
2008,Skagit,551,682,846,1157,1444
2008,Skamania,565,655,757,1102,1324
2008,Snohomish,687,783,942,1331,1626
2008,Spokane,437,512,674,925,1049
2008,Stevens,387,466,595,815,890
2008,Thurston,542,609,778,1130,1366
2008,Wahkiakum,433,538,629,916,1050
2008,Walla Walla,402,469,619,890,917
2008,Whatcom,549,606,760,1109,1249
2008,Whitman,435,480,622,878,1075
2008,Yakima,461,541,700,922,972
2009,Adams,405,483,619,831,857
2009,Asotin,477,495,620,880,1073
2009,Benton,503,548,688,930,1102
2009,Chelan,520,551,696,939,1081
2009,Clallam,511,565,735,1074,1107
2009,Clark,604,700,809,1178,1415
2009,Columbia,417,487,643,869,1037
2009,Cowlitz,447,561,652,950,1083
2009,Douglas,520,551,696,939,1081
2009,Ferry,405,479,619,831,857
2009,Franklin,503,548,688,930,1102
2009,Garfield,417,487,643,869,1037
2009,Grant,413,491,635,858,881
2009,Grays Harbor,419,492,646,910,935
2009,Island,748,749,904,1315,1587
2009,Jefferson,523,641,784,1140,1173
2009,King,720,820,987,1395,1704
2009,Kitsap,619,694,855,1224,1336
2009,Kittitas,468,546,719,963,1000
2009,Klickitat,541,549,652,915,943
2009,Lewis,452,577,694,927,970
2009,Lincoln,405,479,619,831,857
2009,Mason,508,598,717,979,1160
2009,Okanogan,453,545,641,877,965
2009,Pacific,444,478,627,889,924
2009,Pend Oreille,405,479,619,831,857
2009,Pierce,636,743,926,1349,1518
