Year,County,0BR,1BR,2BR,3BR,4BR
2006,Barbour,353,369,459,601,633
2006,Berkeley,442,506,629,874,971
2006,Boone,299,387,459,568,629
2006,Braxton,353,369,459,601,633
2006,Brooke,333,408,503,628,682
2006,Cabell,354,419,503,620,641
2006,Calhoun,336,400,485,630,724
2006,Clay,396,432,540,688,708
2006,Doddridge,318,405,478,576,681
2006,Fayette,382,383,459,568,610
2006,Gilmer,353,369,459,601,633
2006,Grant,402,465,522,684,848
2006,Greenbrier,364,415,459,552,726
2006,Hampshire,472,490,647,893,919
2006,Hancock,333,408,503,628,682
2006,Hardy,402,465,522,684,848
2006,Harrison,395,396,475,595,665
2006,Jackson,336,400,485,630,724
2006,Jefferson,404,544,620,905,1090
2006,Kanawha,396,432,540,688,708
2006,Lewis,362,392,459,576,592
2006,Lincoln,396,432,540,688,708
2006,Logan,320,389,459,564,580
2006,McDowell,383,396,459,626,795
2006,Marion,328,420,504,603,734
2006,Marshall,327,394,503,632,738
2006,Mason,381,389,459,582,621
2006,Mercer,381,396,459,621,786
2006,Mineral,354,429,503,679,792
2006,Mingo,299,403,459,578,751
2006,Monongalia,416,433,512,664,787
2006,Monroe,381,414,459,572,592
2006,Morgan,442,506,629,874,971
2006,Nicholas,381,414,459,584,639
2006,Ohio,327,394,503,632,738
2006,Pendleton,402,464,524,684,848
2006,Pleasants,367,393,503,668,721
2006,Pocahontas,381,396,459,562,666
2006,Preston,416,433,512,664,787
2006,Putnam,396,432,540,688,708
2006,Raleigh,387,412,464,593,610
2006,Randolph,362,363,468,604,621
2006,Ritchie,336,400,485,630,724
2006,Roane,336,400,485,630,724
2006,Summers,381,414,459,572,592
2006,Taylor,318,405,478,573,681
2006,Tucker,353,369,459,601,633
2006,Tyler,336,400,485,630,724
2006,Upshur,298,373,459,616,636
2006,Wayne,354,419,503,620,641
2006,Webster,381,396,459,562,666
2006,Wetzel,300,409,459,584,665
2006,Wirt,367,393,503,668,721
2006,Wood,367,393,503,668,721
2006,Wyoming,383,396,459,626,795
2007,Barbour,367,383,477,625,658
2007,Berkeley,483,545,655,876,1051
2007,Boone,311,403,477,590,654
2007,Braxton,367,383,477,625,658
2007,Brooke,344,421,519,648,704
2007,Cabell,365,432,519,640,661
2007,Calhoun,349,416,505,656,754
2007,Clay,412,450,562,716,737
2007,Doddridge,331,421,497,598,708
2007,Fayette,397,398,477,590,634
2007,Gilmer,367,383,477,625,658
2007,Grant,419,483,543,711,882
2007,Greenbrier,379,431,477,573,754
2007,Hampshire,491,510,673,929,956
2007,Hancock,344,421,519,648,704
2007,Hardy,419,483,543,711,882
2007,Harrison,411,412,494,619,692
2007,Jackson,349,416,505,656,754
2007,Jefferson,423,571,650,949,1143
2007,Kanawha,412,450,562,716,737
2007,Lewis,376,407,477,598,615
2007,Lincoln,412,450,562,716,737
2007,Logan,333,404,477,586,602
2007,McDowell,398,412,477,651,827
2007,Marion,341,436,524,627,763
2007,Marshall,337,406,519,652,761
2007,Mason,396,404,477,604,645
2007,Mercer,396,411,477,645,817
2007,Mineral,365,442,519,700,817
2007,Mingo,311,418,477,601,780
2007,Monongalia,433,450,533,691,820
2007,Monroe,396,430,477,594,615
2007,Morgan,483,545,655,876,1051
2007,Nicholas,396,430,477,607,664
2007,Ohio,337,406,519,652,761
2007,Pendleton,419,483,545,711,882
2007,Pleasants,379,405,519,689,744
2007,Pocahontas,396,412,477,584,693
2007,Preston,433,450,533,691,820
2007,Putnam,412,450,562,716,737
2007,Raleigh,403,428,483,617,635
2007,Randolph,377,378,487,628,646
2007,Ritchie,349,416,505,656,754
2007,Roane,349,416,505,656,754
2007,Summers,396,430,477,594,615
2007,Taylor,331,421,497,595,708
2007,Tucker,367,383,477,625,658
2007,Tyler,349,416,505,656,754
2007,Upshur,310,387,477,641,661
2007,Wayne,365,432,519,640,661
2007,Webster,396,412,477,584,693
2007,Wetzel,311,425,477,607,691
2007,Wirt,379,405,519,689,744
2007,Wood,379,405,519,689,744
2007,Wyoming,398,412,477,651,827
2008,Barbour,397,414,515,675,710
2008,Berkeley,503,567,681,911,1093
2008,Boone,335,435,515,637,706
2008,Braxton,397,414,515,675,710
2008,Brooke,367,450,555,693,753
2008,Cabell,396,468,562,693,716
2008,Calhoun,376,447,543,705,811
2008,Clay,444,485,606,772,795
2008,Doddridge,355,452,534,643,760
2008,Fayette,429,430,515,637,685
2008,Gilmer,397,414,515,675,710
2008,Grant,449,518,582,762,946
2008,Greenbrier,409,466,515,619,814
2008,Hampshire,524,544,718,991,1020
2008,Hancock,367,450,555,693,753
2008,Hardy,449,518,582,762,946
2008,Harrison,441,442,531,665,743
2008,Jackson,376,447,543,705,811
2008,Jefferson,445,601,684,999,1202
2008,Kanawha,444,485,606,772,795
2008,Lewis,406,440,515,646,664
2008,Lincoln,444,485,606,772,795
2008,Logan,359,436,515,633,650
2008,McDowell,430,444,515,702,892
2008,Marion,367,470,564,675,822
2008,Marshall,361,435,555,698,814
2008,Mason,427,437,515,653,697
2008,Mercer,428,444,515,696,882
2008,Mineral,391,473,555,749,874
2008,Mingo,335,452,515,649,843
2008,Monongalia,467,485,574,744,883
2008,Monroe,428,465,515,642,664
2008,Morgan,503,567,681,911,1093
2008,Nicholas,428,464,515,655,717
2008,Ohio,361,435,555,698,814
2008,Pendleton,449,517,584,762,945
2008,Pleasants,407,435,557,740,798
2008,Pocahontas,428,444,515,630,748
2008,Preston,467,485,574,744,883
2008,Putnam,444,485,606,772,795
2008,Raleigh,433,460,519,663,682
2008,Randolph,406,407,524,676,695
2008,Ritchie,376,447,543,705,811
2008,Roane,376,447,543,705,811
2008,Summers,428,465,515,642,664
2008,Taylor,355,452,534,640,760
2008,Tucker,397,414,515,675,710
2008,Tyler,376,447,543,705,811
2008,Upshur,335,418,515,692,714
2008,Wayne,396,468,562,693,716
2008,Webster,428,444,515,630,748
2008,Wetzel,336,458,515,656,746
2008,Wirt,407,435,557,740,798
2008,Wood,407,435,557,740,798
2008,Wyoming,430,444,515,702,892
2009,Barbour,416,434,540,707,745
2009,Berkeley,534,602,723,967,1160
2009,Boone,352,456,540,668,740
2009,Braxton,416,434,540,707,745
2009,Brooke,382,468,577,721,782
2009,Cabell,410,485,582,718,741
2009,Calhoun,394,469,569,739,850
2009,Clay,466,509,636,810,834
2009,Doddridge,372,474,560,674,797
2009,Fayette,450,451,540,668,718
2009,Gilmer,416,434,540,707,745
2009,Grant,471,544,611,800,993
2009,Greenbrier,429,488,540,649,854
2009,Hampshire,547,568,749,1034,1064
2009,Hancock,382,468,577,721,782
2009,Hardy,471,544,611,800,993
2009,Harrison,463,464,557,698,780
2009,Jackson,394,469,569,739,850
2009,Jefferson,476,642,731,1067,1285
2009,Kanawha,466,509,636,810,834
2009,Lewis,426,461,540,677,697
2009,Lincoln,466,509,636,810,834
2009,Logan,377,457,540,664,682
2009,McDowell,450,466,540,737,936
2009,Marion,385,492,591,707,861
2009,Marshall,375,452,577,725,846
2009,Mason,448,458,540,684,731
2009,Mercer,449,465,540,730,924
2009,Mineral,406,492,577,778,908
2009,Mingo,352,474,540,680,883
2009,Monongalia,489,509,602,781,926
2009,Monroe,449,487,540,673,696
2009,Morgan,534,602,723,967,1160
2009,Nicholas,449,487,540,687,752
2009,Ohio,375,452,577,725,846
2009,Pendleton,470,542,612,799,991
2009,Pleasants,422,451,578,768,828
2009,Pocahontas,449,466,540,661,784
2009,Preston,489,509,602,781,926
2009,Putnam,466,509,636,810,834
2009,Raleigh,455,483,545,696,717
2009,Randolph,425,426,549,708,729
2009,Ritchie,394,469,569,739,850
2009,Roane,394,469,569,739,850
2009,Summers,449,487,540,673,696
2009,Taylor,372,474,560,671,797
2009,Tucker,416,434,540,707,745
2009,Tyler,394,469,569,739,850
2009,Upshur,351,438,540,725,748
2009,Wayne,410,485,582,718,741
2009,Webster,449,466,540,661,784
2009,Wetzel,353,481,540,687,782
2009,Wirt,422,451,578,768,828
2009,Wood,422,451,578,768,828
2009,Wyoming,450,466,540,737,936
2010,Barbour,418,436,543,711,749
2010,Berkeley,541,610,733,981,1176
2010,Boone,353,458,543,672,744
2010,Braxton,418,436,543,711,749
2010,Brooke,389,477,588,734,797
2010,Cabell,414,490,588,725,749
2010,Calhoun,396,471,572,743,854
2010,Clay,468,511,639,814,838
2010,Doddridge,374,477,563,678,802
2010,Fayette,452,453,543,672,722
2010,Gilmer,418,436,543,711,749
2010,Grant,473,546,614,804,998
2010,Greenbrier,431,491,543,653,858
2010,Hampshire,558,579,764,1054,1085
2010,Hancock,389,477,588,734,797
2010,Hardy,473,546,614,804,998
2010,Harrison,466,467,561,703,785
2010,Jackson,396,471,572,743,854
2010,Jefferson,504,680,774,1130,1361
