Year,County,0BR,1BR,2BR,3BR,4BR
2006,Adams,387,425,525,684,705
2006,Ashland,388,390,503,639,866
2006,Barron,334,422,503,642,660
2006,Bayfield,344,401,503,644,668
2006,Brown,458,468,590,830,855
2006,Buffalo,358,406,519,658,687
2006,Burnett,344,401,503,644,668
2006,Calumet,459,472,586,845,869
2006,Chippewa,363,434,542,734,765
2006,Clark,325,384,503,688,708
2006,Columbia,404,472,621,838,865
2006,Crawford,418,447,503,624,769
2006,Dane,510,636,752,1009,1250
2006,Dodge,512,513,618,782,845
2006,Door,378,483,581,780,875
2006,Douglas,351,427,539,677,862
2006,Dunn,391,422,529,771,792
2006,Eau Claire,363,434,542,734,765
2006,Florence,337,406,503,640,672
2006,Fond du,Lac,439,471,567,745
2006,Forest,387,425,525,684,705
2006,Grant,417,418,503,651,883
2006,Green,377,406,533,677,790
2006,Green Lake,384,440,510,668,814
2006,Iowa,389,454,597,713,734
2006,Iron,344,401,503,644,668
2006,Jackson,358,406,519,658,687
2006,Jefferson,441,516,680,815,1027
2006,Juneau,339,418,521,686,707
2006,Kenosha,572,596,739,1016,1169
2006,Kewaunee,458,468,590,830,855
2006,La Crosse,359,420,553,734,901
2006,Lafayette,374,394,507,649,728
2006,Langlade,417,418,503,663,723
2006,Lincoln,419,420,503,732,755
2006,Manitowoc,342,401,527,630,784
2006,Marathon,363,453,558,745,824
2006,Marinette,419,453,503,659,679
2006,Marquette,396,444,540,696,772
2006,Menominee,396,444,540,696,772
2006,Milwaukee,496,591,706,890,916
2006,Monroe,353,412,543,689,753
2006,Oconto,374,453,503,651,679
2006,Oneida,383,419,550,703,968
2006,Outagamie,459,472,586,845,869
2006,Ozaukee,496,591,706,890,916
2006,Pepin,358,406,519,658,687
2006,Pierce,598,705,855,1119,1258
2006,Polk,391,457,600,738,761
2006,Portage,449,455,543,719,740
2006,Price,344,401,503,644,668
2006,Racine,460,538,675,840,921
2006,Richland,354,395,503,645,665
2006,Rock,431,503,627,821,845
2006,Rusk,344,401,503,644,668
2006,St. Croix,598,705,855,1119,1258
2006,Sauk,388,516,592,796,821
2006,Sawyer,344,404,503,644,668
2006,Shawano,346,408,503,628,721
2006,Sheboygan,366,470,555,686,842
2006,Taylor,344,401,503,644,668
2006,Trempealeau,395,397,503,687,708
2006,Vernon,399,401,503,636,693
2006,Vilas,387,425,525,715,737
2006,Walworth,454,534,696,869,896
2006,Washburn,344,401,503,644,668
2006,Washington,496,591,706,890,916
2006,Waukesha,496,591,706,890,916
2006,Waupaca,347,436,530,692,713
2006,Waushara,396,444,540,696,772
2006,Winnebago,406,478,566,743,962
2006,Wood,340,418,518,630,690
2007,Adams,399,438,541,704,726
2007,Ashland,401,403,519,660,893
2007,Barron,345,435,519,662,681
2007,Bayfield,354,414,519,664,689
2007,Brown,472,483,608,855,881
2007,Buffalo,369,419,535,678,708
2007,Burnett,354,414,519,664,689
2007,Calumet,474,487,604,871,896
2007,Chippewa,374,446,558,756,787
2007,Clark,335,397,519,709,731
2007,Columbia,416,486,640,864,892
2007,Crawford,431,461,519,644,794
2007,Dane,525,656,775,1040,1288
2007,Dodge,527,529,637,806,871
2007,Door,389,498,599,804,902
2007,Douglas,361,440,555,697,888
2007,Dunn,403,434,545,795,816
2007,Eau Claire,374,446,558,756,787
2007,Florence,347,419,519,660,693
2007,Fond du,Lac,453,485,584,767
2007,Forest,399,438,541,704,726
2007,Grant,431,432,519,672,911
2007,Green,388,418,549,697,814
2007,Green Lake,395,453,525,687,838
2007,Iowa,400,467,615,735,756
2007,Iron,354,414,519,664,689
2007,Jackson,369,419,535,678,708
2007,Jefferson,454,532,701,840,1059
2007,Juneau,350,431,537,707,729
2007,Kenosha,594,618,767,1055,1213
2007,Kewaunee,472,483,608,855,881
2007,La Crosse,370,433,570,756,929
2007,Lafayette,385,406,522,668,749
2007,Langlade,431,432,519,685,746
2007,Lincoln,432,433,519,756,779
2007,Manitowoc,352,413,543,649,808
2007,Marathon,374,466,575,768,849
2007,Marinette,432,467,519,680,701
2007,Marquette,408,457,556,716,795
2007,Menominee,408,457,556,716,795
2007,Milwaukee,510,608,726,915,942
2007,Monroe,363,424,559,709,775
2007,Oconto,386,468,519,672,700
2007,Oneida,395,432,567,725,998
2007,Outagamie,474,487,604,871,896
2007,Ozaukee,510,608,726,915,942
2007,Pepin,369,419,535,678,708
2007,Pierce,600,707,858,1123,1262
2007,Polk,402,470,618,760,784
2007,Portage,462,468,559,740,761
2007,Price,354,414,519,664,689
2007,Racine,474,554,695,865,949
2007,Richland,365,407,519,665,687
2007,Rock,444,519,646,846,870
2007,Rusk,354,414,519,664,689
2007,St. Croix,600,707,858,1123,1262
2007,Sauk,400,532,610,820,846
2007,Sawyer,354,417,519,664,689
2007,Shawano,357,421,519,648,744
2007,Sheboygan,377,484,572,707,868
2007,Taylor,354,414,519,664,689
2007,Trempealeau,408,409,519,709,730
2007,Vernon,412,414,519,656,715
2007,Vilas,399,438,541,737,759
2007,Walworth,467,550,717,895,923
2007,Washburn,354,414,519,664,689
2007,Washington,510,608,726,915,942
2007,Waukesha,510,608,726,915,942
2007,Waupaca,358,449,546,713,734
2007,Waushara,408,457,556,716,795
2007,Winnebago,419,493,583,765,991
2007,Wood,351,431,534,650,712
2008,Adams,427,469,580,755,778
2008,Ashland,428,431,555,705,955
2008,Barron,369,465,555,708,729
2008,Bayfield,379,442,555,710,737
2008,Brown,521,533,671,943,972
2008,Buffalo,395,449,574,728,759
2008,Burnett,379,442,555,710,737
2008,Calumet,509,523,649,936,962
2008,Chippewa,402,480,600,813,847
2008,Clark,359,424,555,759,781
2008,Columbia,449,524,690,932,961
2008,Crawford,461,493,555,689,849
2008,Dane,547,683,807,1083,1341
2008,Dodge,565,566,682,863,932
2008,Door,417,533,641,861,965
2008,Douglas,394,480,605,760,968
2008,Dunn,432,465,584,851,875
2008,Eau Claire,402,480,600,813,847
2008,Florence,371,448,555,706,741
2008,Fond du,Lac,485,520,626,823
2008,Forest,427,469,580,755,778
2008,Grant,461,462,555,719,974
2008,Green,416,448,588,747,872
2008,Green Lake,422,484,561,734,896
2008,Iowa,432,505,664,793,816
2008,Iron,379,442,555,710,737
2008,Jackson,395,449,574,728,759
2008,Jefferson,486,569,750,899,1133
2008,Juneau,375,462,576,758,782
2008,Kenosha,598,623,773,1063,1223
2008,Kewaunee,521,533,671,943,972
2008,La Crosse,398,466,613,813,999
2008,Lafayette,413,435,559,716,802
2008,Langlade,461,462,555,732,798
2008,Lincoln,462,463,555,808,833
2008,Manitowoc,378,442,582,696,866
2008,Marathon,401,500,617,824,911
2008,Marinette,462,500,555,727,749
2008,Marquette,437,490,596,768,852
2008,Menominee,437,490,596,768,852
2008,Milwaukee,558,665,795,1002,1032
2008,Monroe,390,455,600,761,832
2008,Oconto,412,500,555,719,749
2008,Oneida,423,463,607,776,1068
2008,Outagamie,509,523,649,936,962
2008,Ozaukee,558,665,795,1002,1032
2008,Pepin,395,449,574,728,759
2008,Pierce,593,699,848,1110,1247
2008,Polk,432,505,663,815,841
2008,Portage,496,503,600,794,817
2008,Price,379,442,555,710,737
2008,Racine,487,569,714,888,975
2008,Richland,390,436,555,712,734
2008,Rock,477,557,694,908,935
2008,Rusk,379,442,555,710,737
2008,St. Croix,593,699,848,1110,1247
2008,Sauk,429,570,654,879,907
2008,Sawyer,379,446,555,710,737
2008,Shawano,382,451,555,693,796
2008,Sheboygan,404,519,613,758,930
2008,Taylor,379,442,555,710,737
2008,Trempealeau,436,438,555,758,781
2008,Vernon,441,443,555,702,765
2008,Vilas,427,469,580,790,814
2008,Walworth,501,590,769,960,990
2008,Washburn,379,442,555,710,737
2008,Washington,558,665,795,1002,1032
2008,Waukesha,558,665,795,1002,1032
2008,Waupaca,384,482,586,765,788
2008,Waushara,437,490,596,768,852
2008,Winnebago,450,530,627,823,1066
2008,Wood,376,462,573,697,764
2009,Adams,436,479,592,771,794
2009,Ashland,445,448,577,733,993
2009,Barron,384,484,577,736,758
2009,Bayfield,394,460,577,739,766
2009,Brown,536,549,691,972,1001
2009,Buffalo,404,459,586,743,775
2009,Burnett,394,460,577,739,766
2009,Calumet,520,534,663,956,983
2009,Chippewa,411,490,613,831,865
2009,Clark,373,441,577,789,812
2009,Columbia,470,549,723,976,1007
2009,Crawford,479,513,577,716,882
2009,Dane,574,716,846,1135,1406
2009,Dodge,577,579,697,882,953
2009,Door,426,544,655,880,986
2009,Douglas,404,492,621,780,994
2009,Dunn,441,476,597,870,894
2009,Eau Claire,411,490,613,831,865
2009,Florence,386,466,577,734,770
2009,Fond du,Lac,495,531,639,840
2009,Forest,436,479,592,771,794
2009,Grant,479,480,577,747,1013
2009,Green,425,458,601,763,891
2009,Green Lake,434,497,577,755,921
2009,Iowa,453,529,696,832,855
2009,Iron,394,460,577,739,766
2009,Jackson,404,459,586,743,775
2009,Jefferson,496,581,766,918,1157
2009,Juneau,383,472,588,774,798
2009,Kenosha,636,663,822,1130,1300
2009,Kewaunee,536,549,691,972,1001
2009,La Crosse,407,477,627,832,1022
2009,Lafayette,426,449,577,739,828
2009,Langlade,479,480,577,761,830
2009,Lincoln,481,482,577,840,866
2009,Manitowoc,386,452,595,712,885
2009,Marathon,410,512,631,842,931
2009,Marinette,481,519,577,756,779
2009,Marquette,446,501,609,784,871
2009,Menominee,446,501,609,784,871
2009,Milwaukee,589,702,839,1057,1089
2009,Monroe,398,465,613,778,850
2009,Oconto,429,520,577,747,778
2009,Oneida,432,472,620,793,1091
2009,Outagamie,520,534,663,956,983
2009,Ozaukee,589,702,839,1057,1089
2009,Pepin,404,459,586,743,775
2009,Pierce,610,719,873,1143,1284
2009,Polk,441,515,677,833,859
2009,Portage,507,514,613,812,835
2009,Price,394,460,577,739,766
2009,Racine,494,578,725,902,990
2009,Richland,406,453,577,740,763
2009,Rock,487,569,709,928,955
2009,Rusk,394,460,577,739,766
2009,St. Croix,610,719,873,1143,1284
2009,Sauk,438,582,668,898,927
2009,Sawyer,394,464,577,739,766
2009,Shawano,397,469,577,720,827
2009,Sheboygan,413,530,626,774,950
2009,Taylor,394,460,577,739,766
2009,Trempealeau,454,455,577,788,812
2009,Vernon,458,460,577,729,795
2009,Vilas,436,479,592,806,831
2009,Walworth,512,602,785,980,1011
2009,Washburn,394,460,577,739,766
2009,Washington,589,702,839,1057,1089
2009,Waukesha,589,702,839,1057,1089
2009,Waupaca,392,493,599,782,806
2009,Waushara,446,501,609,784,871
2009,Winnebago,460,542,641,841,1090
2009,Wood,385,473,586,713,781
2010,Adams,442,485,600,781,805
2010,Ashland,454,456,588,747,1012
2010,Barron,391,493,588,750,772
2010,Bayfield,402,469,588,753,781
2010,Brown,543,556,700,984,1014
2010,Buffalo,409,464,593,752,785
2010,Burnett,402,469,588,753,781
2010,Calumet,527,542,672,969,997
2010,Chippewa,416,497,621,841,876
2010,Clark,380,449,588,804,828
2010,Columbia,500,584,769,1038,1071
2010,Crawford,489,523,588,730,899
2010,Dane,610,761,899,1206,1494
2010,Dodge,585,587,707,895,966
2010,Door,432,552,664,892,1000
2010,Douglas,409,499,629,790,1006
2010,Dunn,447,482,605,882,906
2010,Eau Claire,416,497,621,841,876
2010,Florence,393,475,588,748,785
2010,Fond du,Lac,502,538,648,851
2010,Forest,442,485,600,781,805
2010,Grant,488,489,588,761,1032
2010,Green,431,464,609,773,903
2010,Green Lake,442,507,588,770,939
2010,Iowa,482,562,740,884,909
2010,Iron,402,469,588,753,781
2010,Jackson,409,464,593,752,785
2010,Jefferson,503,589,776,930,1172
2010,Juneau,388,478,596,784,809
2010,Kenosha,652,679,843,1159,1334
2010,Kewaunee,543,556,700,984,1014
2010,La Crosse,412,483,635,843,1035
2010,Lafayette,434,457,588,753,844
2010,Langlade,488,489,588,776,846
2010,Lincoln,490,491,588,856,883
2010,Manitowoc,391,458,603,721,897
2010,Marathon,415,518,639,853,943
2010,Marinette,490,529,588,770,794
2010,Marquette,452,507,617,795,882
2010,Menominee,452,507,617,795,882
2010,Milwaukee,602,718,858,1081,1114
2010,Monroe,404,471,621,788,861
2010,Oconto,437,530,588,761,793
2010,Oneida,438,479,628,803,1105
2010,Outagamie,527,542,672,969,997
2010,Ozaukee,602,718,858,1081,1114
2010,Pepin,409,464,593,752,785
2010,Pierce,628,741,899,1177,1322
2010,Polk,447,522,686,844,871
2010,Portage,514,520,621,822,846
2010,Price,402,469,588,753,781
2010,Racine,506,591,742,923,1013
2010,Richland,413,462,588,754,778
2010,Rock,494,577,719,941,968
2010,Rusk,402,469,588,753,781
2010,St. Croix,628,741,899,1177,1322
2010,Sauk,444,590,677,910,939
2010,Sawyer,402,473,588,753,781
2010,Shawano,405,477,588,734,843
2010,Sheboygan,418,538,635,785,963
2010,Taylor,402,469,588,753,781
2010,Trempealeau,462,464,588,803,827
2010,Vernon,467,469,588,743,810
2010,Vilas,442,485,600,817,842
2010,Walworth,518,610,795,992,1024
2010,Washburn,402,469,588,753,781
2010,Washington,602,718,858,1081,1114
2010,Waukesha,602,718,858,1081,1114
2010,Waupaca,397,499,606,791,815
2010,Waushara,452,507,617,795,882
2010,Winnebago,466,548,649,851,1103
2010,Wood,390,479,593,722,790
2011,Adams,453,497,614,799,824
2011,Ashland,460,462,596,758,1026
2011,Barron,396,499,596,760,783
2011,Bayfield,407,475,596,763,791
2011,Brown,529,542,682,959,988
2011,Buffalo,418,475,607,770,803
2011,Burnett,407,475,596,763,791
2011,Calumet,539,554,687,991,1019
2011,Chippewa,425,508,635,860,896
2011,Clark,385,455,596,815,839
2011,Columbia,512,598,787,1062,1096
2011,Crawford,495,530,596,740,911
2011,Dane,595,742,877,1177,1458
2011,Dodge,599,600,723,915,988
2011,Door,441,564,679,912,1023
2011,Douglas,416,507,639,803,1022
2011,Dunn,457,493,619,903,927
2011,Eau Claire,425,508,635,860,896
2011,Florence,399,481,596,758,796
2011,Fond du,Lac,514,551,663,871
2011,Forest,453,497,614,799,824
2011,Grant,495,496,596,772,1046
2011,Green,440,474,622,790,922
2011,Green Lake,448,514,596,780,952
2011,Iowa,493,575,757,905,930
2011,Iron,407,475,596,763,791
2011,Jackson,418,475,607,770,803
2011,Jefferson,515,603,794,951,1199
2011,Juneau,396,488,609,801,826
2011,Kenosha,653,680,844,1161,1335
2011,Kewaunee,529,542,682,959,988
2011,La Crosse,421,492,648,860,1056
2011,Lafayette,440,464,596,763,855
2011,Langlade,495,496,596,786,857
2011,Lincoln,496,498,596,868,895
2011,Manitowoc,400,469,617,738,918
2011,Marathon,425,530,654,873,965
2011,Marinette,496,536,596,781,805
2011,Marquette,463,519,631,813,902
2011,Menominee,463,519,631,813,902
2011,Milwaukee,608,725,866,1091,1124
2011,Monroe,413,482,635,806,880
2011,Oconto,443,537,596,772,804
2011,Oneida,448,490,643,822,1132
2011,Outagamie,539,554,687,991,1019
2011,Ozaukee,608,725,866,1091,1124
2011,Pepin,418,475,607,770,803
2011,Pierce,646,761,924,1210,1359
2011,Polk,457,534,702,863,891
2011,Portage,525,532,635,841,865
2011,Price,407,475,596,763,791
2011,Racine,518,606,760,945,1037
2011,Richland,419,468,596,764,789
2011,Rock,505,590,735,962,990
2011,Rusk,407,475,596,763,791
2011,St. Croix,646,761,924,1210,1359
2011,Sauk,455,604,693,931,961
2011,Sawyer,407,479,596,763,791
2011,Shawano,410,484,596,744,855
2011,Sheboygan,428,550,649,802,985
2011,Taylor,407,475,596,763,791
2011,Trempealeau,468,470,596,814,839
2011,Vernon,473,476,596,753,821
2011,Vilas,453,497,614,836,861
2011,Walworth,530,624,813,1015,1047
2011,Washburn,407,475,596,763,791
2011,Washington,608,725,866,1091,1124
2011,Waukesha,608,725,866,1091,1124
2011,Waupaca,406,510,620,810,834
2011,Waushara,463,519,631,813,902
2011,Winnebago,477,561,664,871,1129
2011,Wood,399,490,607,739,809
2012,Adams,430,472,584,760,784
2012,Ashland,451,453,584,742,1005
2012,Barron,408,515,614,783,806
2012,Bayfield,399,465,584,748,776
2012,Brown,531,543,684,962,991
2012,Buffalo,402,457,584,741,773
2012,Burnett,399,465,584,748,776
2012,Calumet,510,524,650,937,964
2012,Chippewa,434,518,648,878,914
2012,Clark,377,446,584,798,822
2012,Columbia,454,530,698,942,972
2012,Crawford,485,519,584,725,893
2012,Dane,576,719,850,1141,1413
2012,Dodge,585,587,707,895,966
2012,Door,421,538,647,869,974
2012,Douglas,447,545,687,863,1099
2012,Dunn,462,498,625,911,936
2012,Eau Claire,434,518,648,878,914
2012,Florence,391,471,584,743,780
2012,Fond du,Lac,512,549,661,869
2012,Forest,430,472,584,760,784
2012,Grant,485,486,584,756,1025
2012,Green,467,504,661,839,980
2012,Green Lake,439,503,584,764,933
2012,Iowa,452,528,695,831,854
2012,Iron,399,465,584,748,776
2012,Jackson,415,471,602,763,796
2012,Jefferson,474,555,731,876,1104
2012,Juneau,383,472,589,775,799
2012,Kenosha,658,685,850,1169,1345
2012,Kewaunee,531,543,684,962,991
2012,La Crosse,424,496,653,867,1064
2012,Lafayette,431,454,584,748,838
2012,Langlade,485,486,584,770,840
2012,Lincoln,488,489,586,853,880
2012,Manitowoc,379,444,584,698,869
2012,Marathon,413,515,635,848,937
2012,Marinette,486,526,584,765,788
2012,Marquette,453,508,618,796,884
2012,Menominee,457,512,623,802,891
2012,Milwaukee,577,688,822,1036,1067
