Year,County,0BR,1BR,2BR,3BR,4BR
2006,Albany,396,453,575,789,836
2006,Big Horn,396,414,495,646,773
2006,Campbell,440,474,531,719,783
2006,Carbon,322,385,495,620,754
2006,Converse,322,398,495,675,870
2006,Crook,396,414,495,646,773
2006,Fremont,388,390,495,620,791
2006,Goshen,410,411,495,610,840
2006,Hot Springs,396,414,495,646,773
2006,Johnson,393,409,504,640,765
2006,Laramie,458,483,612,833,1073
2006,Lincoln,433,459,522,697,825
2006,Natrona,358,392,495,720,868
2006,Niobrara,396,414,495,646,773
2006,Park,368,422,497,624,823
2006,Platte,396,414,495,646,773
2006,Sheridan,395,426,523,669,816
2006,Sublette,436,459,532,696,825
2006,Sweetwater,325,395,495,692,718
2006,Teton,674,751,945,1246,1282
2006,Uinta,345,435,495,676,802
2006,Washakie,396,414,495,646,773
2006,Weston,396,414,495,646,773
2007,Albany,409,469,595,817,865
2007,Big Horn,410,428,512,668,800
2007,Campbell,456,491,550,745,811
2007,Carbon,333,398,512,642,780
2007,Converse,333,412,512,698,900
2007,Crook,410,428,512,668,800
2007,Fremont,401,403,512,642,818
2007,Goshen,424,425,512,631,869
2007,Hot Springs,410,428,512,668,800
2007,Johnson,407,423,522,663,792
2007,Laramie,473,499,633,862,1110
2007,Lincoln,448,475,540,721,853
2007,Natrona,370,405,512,745,898
2007,Niobrara,410,428,512,668,800
2007,Park,380,437,514,646,851
2007,Platte,410,428,512,668,800
2007,Sheridan,408,440,541,692,845
2007,Sublette,451,475,551,721,854
2007,Sweetwater,336,408,512,716,743
2007,Teton,697,778,978,1289,1327
2007,Uinta,356,450,512,699,830
2007,Washakie,410,428,512,668,800
2007,Weston,410,428,512,668,800
2008,Albany,449,514,652,895,948
2008,Big Horn,445,465,556,726,868
2008,Campbell,498,537,601,814,886
2008,Carbon,361,432,555,695,845
2008,Converse,361,446,555,757,976
2008,Crook,445,465,556,726,868
2008,Fremont,438,441,560,702,894
2008,Goshen,460,461,555,684,942
2008,Hot Springs,445,465,556,726,868
2008,Johnson,446,464,572,726,868
2008,Laramie,492,519,658,896,1153
2008,Lincoln,491,519,591,789,934
2008,Natrona,448,490,619,901,1085
2008,Niobrara,445,465,556,726,868
2008,Park,416,478,562,706,930
2008,Platte,445,465,556,726,868
2008,Sheridan,447,482,592,757,924
2008,Sublette,494,520,603,789,935
2008,Sweetwater,446,542,680,951,987
2008,Teton,764,852,1072,1413,1455
2008,Uinta,463,585,666,909,1079
2008,Washakie,445,465,556,726,868
2008,Weston,445,465,556,726,868
2009,Albany,483,553,702,964,1021
2009,Big Horn,479,501,599,782,936
2009,Campbell,537,579,648,877,956
2009,Carbon,376,449,577,723,879
2009,Converse,376,464,577,787,1014
2009,Crook,479,501,599,782,936
2009,Fremont,473,475,604,757,965
2009,Goshen,478,479,577,711,979
2009,Hot Springs,479,501,599,782,936
2009,Johnson,481,500,617,784,937
2009,Laramie,530,559,709,965,1243
2009,Lincoln,529,560,637,850,1006
2009,Natrona,461,505,638,928,1118
2009,Niobrara,479,501,599,782,936
2009,Park,448,515,606,761,1003
2009,Platte,479,501,599,782,936
2009,Sheridan,482,519,638,816,996
2009,Sublette,532,560,650,851,1008
2009,Sweetwater,460,559,701,980,1017
2009,Teton,824,918,1155,1522,1567
2009,Uinta,477,602,686,937,1112
2009,Washakie,479,501,599,782,936
2009,Weston,479,501,599,782,936
2010,Albany,520,596,756,1038,1099
2010,Big Horn,516,539,645,842,1007
2010,Campbell,579,623,698,945,1030
2010,Carbon,402,481,618,774,941
2010,Converse,383,473,588,802,1034
2010,Crook,516,539,645,842,1007
2010,Fremont,510,512,651,816,1040
2010,Goshen,496,497,599,739,1017
2010,Hot Springs,516,539,645,842,1007
2010,Johnson,517,539,664,843,1008
2010,Laramie,571,603,764,1040,1339
2010,Lincoln,569,603,686,916,1084
2010,Natrona,479,524,662,963,1160
2010,Niobrara,516,539,645,842,1007
2010,Park,483,555,653,820,1081
2010,Platte,516,539,645,842,1007
2010,Sheridan,519,559,687,879,1072
2010,Sublette,573,603,700,916,1085
2010,Sweetwater,478,580,728,1018,1056
2010,Teton,887,989,1244,1640,1688
2010,Uinta,496,625,712,973,1154
2010,Washakie,516,539,645,842,1007
2010,Weston,516,539,645,842,1007
2011,Albany,506,580,736,1011,1070
2011,Big Horn,502,525,628,820,981
2011,Campbell,563,606,679,919,1002
2011,Carbon,392,468,602,754,917
2011,Converse,388,479,596,813,1048
2011,Crook,502,525,628,820,981
2011,Fremont,496,499,634,794,1012
2011,Goshen,493,495,596,735,1011
2011,Hot Springs,502,525,628,820,981
2011,Johnson,503,524,646,820,981
2011,Laramie,556,586,743,1011,1302
2011,Lincoln,554,586,667,890,1054
2011,Natrona,466,510,645,938,1131
2011,Niobrara,502,525,628,820,981
2011,Park,470,540,635,798,1051
2011,Platte,502,525,628,820,981
2011,Sheridan,504,544,668,854,1043
2011,Sublette,558,587,681,891,1056
2011,Sweetwater,465,565,709,991,1029
2011,Teton,863,962,1210,1595,1642
2011,Uinta,482,608,693,947,1123
2011,Washakie,502,525,628,820,981
2011,Weston,502,525,628,820,981
2012,Albany,442,506,642,881,933
2012,Big Horn,467,488,584,762,912
2012,Campbell,582,627,702,951,1035
2012,Carbon,380,454,584,732,889
2012,Converse,380,470,584,797,1027
2012,Crook,467,488,584,762,912
2012,Fremont,471,474,602,754,961
2012,Goshen,484,485,584,720,991
2012,Hot Springs,467,488,584,762,912
