Year,County,0BR,1BR,2BR,3BR,4BR
2006,District of,Columbia,Metro,948,1080,1225
2007,District of,Columbia,Metro,995,1134,1286
2008,District of,Columbia,Metro,1025,1168,1324
2009,District of,Columbia,Metro,1002,1131,1288
2010,District of,Columbia,Metro,1156,1318,1494
2011,District of,Columbia,Metro,1131,1289,1461
2012,District of,Columbia,Metro,1166,1328,1506
2013,District of,Columbia,Metro,1130,1191,1412
2014,District of,Columbia,Metro,1176,1239,1469
2015,District of,Columbia,Metro,1167,1230,1458
2016,District of,Columbia,Metro,1307,1402,1623
2017,District of,Columbia,Metro,1440,1513,1746
2018,District of,Columbia,Metro,1504,1561,1793
2019,District of,Columbia,Metro,1415,1454,1665
2020,District of,Columbia,Metro,1457,1500,1707
2021,District of,Columbia,Metro,1513,1548,1765
