State,Population
California,39.03
Texas,30.03
Florida,22.24
New York,19.68
Pennsylvania,12.97
Illinois,12.58
Ohio,11.76
Georgia,10.91
North Carolina,10.70
Michigan,10.03
New Jersey,9.26
Virginia,8.68
Washington,7.79
Arizona,7.36
Tennessee,7.05
Massachusetts,6.98
Indiana,6.83
Missouri,6.18
Maryland,6.16
Wisconsin,5.89
Colorado,5.84
Minnesota,5.72
South Carolina,5.28
Alabama,5.07
Louisiana,4.59
Kentucky,4.51
Oregon,4.24
Oklahoma,4.02
Connecticut,3.63
Utah,3.38
Iowa,3.20
Nevada,3.18
Arkansas,3.01
Mississippi,2.94
Kansas,2.94
New Mexico,2.11
Nebraska,1.97
Idaho,1.94
West Virginia,1.78
Hawaii,1.44
New Hampshire,1.40
Maine,1.34
Montana,1.12
Rhode Island,1.09
Delaware,1.02
South Dakota,0.91
North Dakota,0.78
Alaska,0.73
District of Columbia,0.67
Vermont,0.65
Wyoming,0.58
