month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202301,Colorado,CO,577000,0.0035,0.0035,12401,-0.1292,1.0853,82,0.1164,0.3583,6242,0.5254,-0.1149,262,0.213,-0.5747,3834,0.0329,3.5861,5720,-0.0612,-0.296,271,0.0121,0.0035,2129,-0.0082,0.0313,1164082,0.0783,-0.1294,18025,-0.1098,0.2968,0.4613,0.0334,-0.905,0
202301,Wisconsin,WI,362400,0.0357,0.2084,5988,-0.1578,0.1341,81,0.209,0.0946,3278,0.2686,-0.1578,66,0.8333,-0.6413,1228,0,0.5825,3518,-0.1411,-0.3244,197,0.0553,0.1553,1772,-0.0045,0.0548,446116,0.0187,0.1619,9504,-0.1502,-0.0668,0.5875,0.0114,-0.3987,0
202301,Nebraska,NE,347600,0.0227,0.2196,3117,-0.0774,0.6446,75,0.1288,0.2213,1688,0.2597,-0.0071,134,1.0938,0.2885,554,0.0654,1.2339,1991,-0.0677,-0.3155,169,0.0248,0.1529,2133,0.0045,0.1058,387946,0.0171,0.0896,5099,-0.0745,0.0644,0.6387,0.0067,-0.8959,0
202301,Kansas,KS,282450,0.0271,0.345,4498,-0.0801,0.5022,84,0.1667,0.1831,2414,0.3264,0.0092,162,0.6875,-0.3571,936,-0.0751,0.7463,2957,-0.0538,-0.2907,146,0.0402,0.2616,2016,0.0075,0.1228,396225,0.0231,0.2254,7479,-0.0661,0.052,0.6575,0.0183,-0.735,0
202301,West Virginia,WV,209950,-0.0336,0.1997,2791,-0.1172,0.1632,86,0.1026,0.0238,1220,0.2348,0.2348,48,0.3333,-0.5556,636,0.06,0.8929,1556,-0.0541,-0.2695,118,-0.0015,0.1346,1726,-0.0106,0.0228,289530,0.0042,0.0853,4355,-0.092,-0.0363,0.5576,0.0372,-0.3303,0
202301,Vermont,VT,400750,-0.0214,0.1163,937,-0.1076,0.1222,107,0.1514,0.1211,368,0.2432,-0.0891,8,,-0.6667,128,0.1034,0.7778,340,-0.1113,-0.3725,221,0.0122,0.1612,2009,-0.0131,-0.0112,720153,0.0275,0.2272,1276,-0.1089,-0.0645,0.3623,-0.0015,-0.2856,0
202301,Pennsylvania,PA,269900,0,0.0796,18122,-0.1007,0.2569,81,0.1408,0.125,9074,0.2773,-0.0827,696,0.234,-0.3176,5236,0.1333,0.7834,10391,-0.1055,-0.3293,166,0.0018,0.0514,1671,-0.0045,0.0252,402242,0.0059,0.0358,28467,-0.102,-0.0386,0.5734,-0.0031,-0.5012,0
202301,Nevada,NV,449900,-0.0002,-0.0426,10533,-0.1227,1.1512,83,0.0714,0.9186,3952,0.2602,-0.1416,136,0.3077,-0.6304,3456,0.1803,3.3636,1437,0.0335,0.1025,251,-0.0066,0.0144,1840,0.0014,-0.0434,711726,-0.0015,-0.1045,11300,-0.1203,0.8241,0.1364,0.0206,-0.1297,1
202301,Iowa,IA,289950,0.0374,0.2612,6263,-0.1041,0.2196,86,0.1712,0.1554,2718,0.263,-0.0138,164,0.0789,-0.6435,1594,-0.0797,0.4081,3093,-0.0626,-0.3401,173,0.0321,0.1725,1601,0.0003,0.0499,332861,-0.0141,0.1987,9278,-0.09,-0.0435,0.4938,0.0219,-0.4187,0
202301,Connecticut,CT,468050,0.0401,0.0885,3780,-0.1557,-0.0021,79,0.1214,0.0608,2444,0.2782,-0.1382,64,-0.0588,-0.6,764,0.0053,0.3546,4005,-0.1331,-0.3533,235,0.0252,-0.0028,2014,-0.0044,0.1072,1069762,0.0292,0.0127,7775,-0.144,-0.2171,1.0595,0.0276,-0.5754,0
