Geographic area ,Total,Federal Sources,State Sources,Local Sources
 United States,"771,110,574","57,778,509","362,372,071","350,959,994"
Alabama,"8,714,919","936,078","4,942,651","2,836,190"
Alaska,"2,611,686","381,757","1,659,732","570,197"
Arizona...........................................................................,"10,103,394","1,231,345","4,457,403","4,414,646"
Arkansas........................................................................,"5,635,653","600,660","4,241,285","793,708"
California........................................................................,"95,534,088","7,995,360","52,444,323","35,094,405"
Colorado.........................................................................,"12,918,630","834,034","5,353,295","6,731,301"
Connecticut....................................................................,"12,018,214","469,771","4,486,792","7,061,651"
Delaware........................................................................,"2,475,301","149,476","1,555,571","770,254"
District of Columbia..........................................................,"1,590,525","130,955",(X),"1,459,570"
Florida............................................................................,"32,717,733","3,379,157","12,426,925","16,911,651"
Georgia..........................................................................,"23,612,314","1,823,882","10,908,377","10,880,055"
Hawaii...........................................................................,"3,396,555","278,259","3,066,973","51,323"
Idaho..............................................................................,"2,835,350","263,513","1,837,980","733,857"
Illinois............................................................................,"38,878,282","2,397,020","16,476,355","20,004,907"
Indiana...........................................................................,"13,339,886","947,532","8,340,649","4,051,705"
Iowa..............................................................................,"7,402,943","509,936","3,930,905","2,962,102"
Kansas..........................................................................,"7,254,188","521,925","4,856,838","1,875,425"
Kentucky........................................................................,"8,796,565","993,783","4,745,415","3,057,367"
Louisiana........................................................................,"8,769,179","1,000,268","3,648,629","4,120,282"
Maine.............................................................................,"3,118,484","177,918","1,233,140","1,707,426"
Maryland........................................................................,"16,890,112","889,990","7,294,460","8,705,662"
Massachusetts................................................................,"18,974,555","849,717","8,049,936","10,074,902"
Michigan........................................................................,"20,751,370","1,806,080","11,709,228","7,236,062"
Minnesota......................................................................,"13,806,604","727,672","8,859,266","4,219,666"
Mississippi.....................................................................,"4,991,434","663,957","2,503,616","1,823,861"
Missouri........................................................................,"10,980,506","976,492","4,716,645","5,287,369"
Montana........................................................................,"2,045,414","253,600","878,223","913,591"
Nebraska.......................................................................,"4,846,201","350,388","1,612,512","2,883,301"
Nevada...........................................................................,"5,257,992","408,478","3,271,431","1,578,083"
New Hampshire...............................................................,"3,388,505","159,663","1,057,616","2,171,226"
New Jersey.....................................................................,"32,426,796","1,202,624","14,026,671","17,197,501"
New Mexico...................................................................,"4,539,516","633,201","3,078,214","828,101"
New York.......................................................................,"77,773,992","3,320,619","30,932,741","43,520,632"
North Carolina.................................................................,"15,554,592","1,632,281","9,582,965","4,339,346"
North Dakota...................................................................,"1,930,536","192,922","1,057,921","679,693"
Ohio...............................................................................,"25,331,881","1,737,921","9,762,130","13,831,830"
Oklahoma.......................................................................,"7,203,289","761,956","3,430,205","3,011,128"
Oregon...........................................................................,"9,198,231","578,939","4,914,741","3,704,551"
Pennsylvania..................................................................,"33,724,564","2,102,759","13,000,534","18,621,271"
Rhode Island...................................................................,"2,596,111","198,415","1,043,263","1,354,433"
South Carolina.................................................................,"10,809,432","867,801","5,125,873","4,815,758"
South Dakota..................................................................,"1,733,553","240,569","581,957","911,027"
Tennessee.......................................................................,"11,114,919","1,121,222","5,232,584","4,761,113"
Texas.............................................................................,"68,895,446","6,833,974","23,549,431","38,512,041"
Utah................................................................................,"6,084,923","430,641","3,127,438","2,526,844"
Vermont..........................................................................,"2,029,693","128,512","1,842,411","58,770"
Virginia...........................................................................,"18,152,959","1,123,175","7,349,822","9,679,962"
Washington.....................................................................,"20,095,266","1,168,659","14,181,651","4,744,956"
West Virginia...................................................................,"3,731,715","431,832","2,051,717","1,248,166"
Wisconsin.......................................................................,"12,699,933","823,625","6,971,026","4,905,282"
Wyoming.........................................................................,"1,826,645","138,196","962,605","725,844"
